# Incidents,Incident Reported Month,Incident Reported Quarter,Incident Reported Year,Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident)
3,10,Q4,2011,ALBERTA AVENUE,Theft Of Vehicle
2,11,Q4,2011,ALBERTA AVENUE,Theft Of Vehicle
4,12,Q4,2011,ALBERTA AVENUE,Theft Of Vehicle
1,5,Q2,2011,ALBERTA AVENUE,Theft Over $5000
1,10,Q4,2011,ALBERTA AVENUE,Theft Over $5000
3,1,Q1,2011,ALBERTA PARK INDUSTRIAL,Break and Enter
1,4,Q2,2011,ALBERTA PARK INDUSTRIAL,Break and Enter
1,9,Q3,2011,ALBERTA PARK INDUSTRIAL,Break and Enter
4,10,Q4,2011,ALBERTA PARK INDUSTRIAL,Break and Enter
1,4,Q2,2011,ALBERTA PARK INDUSTRIAL,Theft From Vehicle
1,11,Q4,2011,ALBERTA PARK INDUSTRIAL,Theft From Vehicle
1,12,Q4,2011,ALBERTA PARK INDUSTRIAL,Theft From Vehicle
1,2,Q1,2011,ALBERTA PARK INDUSTRIAL,Theft Of Vehicle
1,5,Q2,2011,ALBERTA PARK INDUSTRIAL,Theft Of Vehicle
1,11,Q4,2011,ALBERTA PARK INDUSTRIAL,Theft Over $5000
1,3,Q1,2011,ALDERGROVE,Assault
2,4,Q2,2011,ALDERGROVE,Assault
2,6,Q2,2011,ALDERGROVE,Assault
1,7,Q3,2011,ALDERGROVE,Assault
1,9,Q3,2011,ALDERGROVE,Assault
2,3,Q1,2011,ALDERGROVE,Break and Enter
1,5,Q2,2011,ALDERGROVE,Break and Enter
2,7,Q3,2011,ALDERGROVE,Break and Enter
2,8,Q3,2011,ALDERGROVE,Break and Enter
2,9,Q3,2011,ALDERGROVE,Break and Enter
1,12,Q4,2011,ALDERGROVE,Break and Enter
3,4,Q2,2011,ALDERGROVE,Robbery
2,5,Q2,2011,ALDERGROVE,Robbery
2,8,Q3,2011,ALDERGROVE,Robbery
2,12,Q4,2011,ALDERGROVE,Robbery
1,1,Q1,2011,ALDERGROVE,Sexual Assaults
1,2,Q1,2011,ALDERGROVE,Sexual Assaults
1,9,Q3,2011,ALDERGROVE,Sexual Assaults
1,11,Q4,2011,ALDERGROVE,Sexual Assaults
1,1,Q1,2011,ALDERGROVE,Theft From Vehicle
1,2,Q1,2011,ALDERGROVE,Theft From Vehicle
4,3,Q1,2011,ALDERGROVE,Theft From Vehicle
3,4,Q2,2011,ALDERGROVE,Theft From Vehicle
2,6,Q2,2011,ALDERGROVE,Theft From Vehicle
1,7,Q3,2011,ALDERGROVE,Theft From Vehicle
3,8,Q3,2011,ALDERGROVE,Theft From Vehicle
3,9,Q3,2011,ALDERGROVE,Theft From Vehicle
3,10,Q4,2011,ALDERGROVE,Theft From Vehicle
1,11,Q4,2011,ALDERGROVE,Theft From Vehicle
2,12,Q4,2011,ALDERGROVE,Theft From Vehicle
1,1,Q1,2011,ALDERGROVE,Theft Of Vehicle
1,2,Q1,2011,ALDERGROVE,Theft Of Vehicle
2,3,Q1,2011,ALDERGROVE,Theft Of Vehicle
1,6,Q2,2011,ALDERGROVE,Theft Of Vehicle
1,7,Q3,2011,ALDERGROVE,Theft Of Vehicle
1,9,Q3,2011,ALDERGROVE,Theft Of Vehicle
1,10,Q4,2011,ALDERGROVE,Theft Of Vehicle
1,12,Q4,2011,ALDERGROVE,Theft Of Vehicle
3,9,Q3,2011,ALLARD,Break and Enter
1,10,Q4,2011,ALLARD,Theft From Vehicle
1,1,Q1,2011,ALLARD,Theft Over $5000
1,11,Q4,2011,ALLARD,Theft Over $5000
1,3,Q1,2011,ALLENDALE,Assault
1,4,Q2,2011,ALLENDALE,Assault
1,6,Q2,2011,ALLENDALE,Assault
1,8,Q3,2011,ALLENDALE,Assault
2,9,Q3,2011,ALLENDALE,Assault
2,10,Q4,2011,ALLENDALE,Assault
2,11,Q4,2011,ALLENDALE,Assault
1,12,Q4,2011,ALLENDALE,Assault
1,1,Q1,2011,ALLENDALE,Break and Enter
1,2,Q1,2011,ALLENDALE,Break and Enter
2,4,Q2,2011,ALLENDALE,Break and Enter
2,5,Q2,2011,ALLENDALE,Break and Enter
2,6,Q2,2011,ALLENDALE,Break and Enter
2,7,Q3,2011,ALLENDALE,Break and Enter
3,8,Q3,2011,ALLENDALE,Break and Enter
2,9,Q3,2011,ALLENDALE,Break and Enter
2,10,Q4,2011,ALLENDALE,Break and Enter
3,11,Q4,2011,ALLENDALE,Break and Enter
1,3,Q1,2011,ALLENDALE,Robbery
1,1,Q1,2011,ALLENDALE,Sexual Assaults
1,6,Q2,2011,ALLENDALE,Sexual Assaults
3,1,Q1,2011,ALLENDALE,Theft From Vehicle
4,3,Q1,2011,ALLENDALE,Theft From Vehicle
5,4,Q2,2011,ALLENDALE,Theft From Vehicle
3,5,Q2,2011,ALLENDALE,Theft From Vehicle
2,6,Q2,2011,ALLENDALE,Theft From Vehicle
3,7,Q3,2011,ALLENDALE,Theft From Vehicle
8,8,Q3,2011,ALLENDALE,Theft From Vehicle
1,9,Q3,2011,ALLENDALE,Theft From Vehicle
3,10,Q4,2011,ALLENDALE,Theft From Vehicle
3,11,Q4,2011,ALLENDALE,Theft From Vehicle
3,12,Q4,2011,ALLENDALE,Theft From Vehicle
1,1,Q1,2011,ALLENDALE,Theft Of Vehicle
1,2,Q1,2011,ALLENDALE,Theft Of Vehicle
3,3,Q1,2011,ALLENDALE,Theft Of Vehicle
2,4,Q2,2011,ALLENDALE,Theft Of Vehicle
1,6,Q2,2011,ALLENDALE,Theft Of Vehicle
2,7,Q3,2011,ALLENDALE,Theft Of Vehicle
1,9,Q3,2011,ALLENDALE,Theft Of Vehicle
2,10,Q4,2011,ALLENDALE,Theft Of Vehicle
1,11,Q4,2011,ALLENDALE,Theft Of Vehicle
1,6,Q2,2011,AMBLESIDE,Assault
1,7,Q3,2011,AMBLESIDE,Assault
2,2,Q1,2011,AMBLESIDE,Break and Enter
2,5,Q2,2011,AMBLESIDE,Break and Enter
4,7,Q3,2011,AMBLESIDE,Break and Enter
3,10,Q4,2011,AMBLESIDE,Break and Enter
1,11,Q4,2011,AMBLESIDE,Break and Enter
1,3,Q1,2011,AMBLESIDE,Theft From Vehicle
1,5,Q2,2011,AMBLESIDE,Theft From Vehicle
1,6,Q2,2011,AMBLESIDE,Theft From Vehicle
2,7,Q3,2011,AMBLESIDE,Theft From Vehicle
2,10,Q4,2011,AMBLESIDE,Theft From Vehicle
1,1,Q1,2011,AMBLESIDE,Theft Of Vehicle
1,6,Q2,2011,AMBLESIDE,Theft Of Vehicle
1,7,Q3,2011,AMBLESIDE,Theft Of Vehicle
1,8,Q3,2011,AMBLESIDE,Theft Of Vehicle
1,9,Q3,2011,AMBLESIDE,Theft Of Vehicle
1,10,Q4,2011,AMBLESIDE,Theft Of Vehicle
1,12,Q4,2011,AMBLESIDE,Theft Of Vehicle
1,2,Q1,2011,AMBLESIDE,Theft Over $5000
1,9,Q3,2011,ANTHONY HENDAY,Assault
2,4,Q2,2011,ANTHONY HENDAY,Theft From Vehicle
1,6,Q2,2011,ANTHONY HENDAY,Theft From Vehicle
1,6,Q2,2011,ANTHONY HENDAY,Theft Of Vehicle
1,3,Q1,2011,ANTHONY HENDAY BIG LAKE,Theft Of Vehicle
1,11,Q4,2011,ANTHONY HENDAY RAMPART,Sexual Assaults
1,7,Q3,2011,ANTHONY HENDAY SOUTH,Break and Enter
1,8,Q3,2011,ANTHONY HENDAY SOUTH,Break and Enter
1,10,Q4,2011,ANTHONY HENDAY SOUTH,Theft Of Vehicle
1,8,Q3,2011,ANTHONY HENDAY SOUTH,Theft Over $5000
1,11,Q4,2011,ANTHONY HENDAY SOUTH,Theft Over $5000
1,1,Q1,2011,ANTHONY HENDAY SOUTH EAST,Assault
1,3,Q1,2011,ANTHONY HENDAY SOUTH EAST,Assault
1,5,Q2,2011,ANTHONY HENDAY SOUTH EAST,Assault
1,12,Q4,2011,ANTHONY HENDAY SOUTH EAST,Assault
1,3,Q1,2011,ANTHONY HENDAY SOUTH EAST,Break and Enter
1,6,Q2,2011,ANTHONY HENDAY SOUTH EAST,Theft From Vehicle
2,10,Q4,2011,ANTHONY HENDAY SOUTH EAST,Theft From Vehicle
4,12,Q4,2011,ANTHONY HENDAY SOUTH EAST,Theft From Vehicle
1,4,Q2,2011,ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle
1,8,Q3,2011,ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle
1,4,Q2,2011,ANTHONY HENDAY SOUTH WEST,Assault
1,7,Q3,2011,ANTHONY HENDAY TERWILLEGAR,Theft Over $5000
1,2,Q1,2011,ARGYLL,Assault
1,8,Q3,2011,ARGYLL,Assault
1,9,Q3,2011,ARGYLL,Break and Enter
1,7,Q3,2011,ARGYLL,Robbery
1,10,Q4,2011,ARGYLL,Sexual Assaults
1,5,Q2,2011,ARGYLL,Theft From Vehicle
2,6,Q2,2011,ARGYLL,Theft From Vehicle
2,7,Q3,2011,ARGYLL,Theft From Vehicle
1,11,Q4,2011,ARGYLL,Theft From Vehicle
1,3,Q1,2011,ARGYLL,Theft Of Vehicle
1,5,Q2,2011,ARGYLL,Theft Of Vehicle
1,6,Q2,2011,ARGYLL,Theft Of Vehicle
1,2,Q1,2011,ARMSTRONG INDUSTRIAL,Assault
1,3,Q1,2011,ARMSTRONG INDUSTRIAL,Assault
1,5,Q2,2011,ARMSTRONG INDUSTRIAL,Assault
1,8,Q3,2011,ARMSTRONG INDUSTRIAL,Assault
2,9,Q3,2011,ARMSTRONG INDUSTRIAL,Assault
1,10,Q4,2011,ARMSTRONG INDUSTRIAL,Assault
1,11,Q4,2011,ARMSTRONG INDUSTRIAL,Assault
2,1,Q1,2011,ARMSTRONG INDUSTRIAL,Break and Enter
1,3,Q1,2011,ARMSTRONG INDUSTRIAL,Break and Enter
1,10,Q4,2011,ARMSTRONG INDUSTRIAL,Break and Enter
1,1,Q1,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
1,4,Q2,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
1,5,Q2,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
2,6,Q2,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
1,11,Q4,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
1,12,Q4,2011,ARMSTRONG INDUSTRIAL,Theft From Vehicle
1,3,Q1,2011,ARMSTRONG INDUSTRIAL,Theft Of Vehicle
1,8,Q3,2011,ARMSTRONG INDUSTRIAL,Theft Of Vehicle
1,10,Q4,2011,ARMSTRONG INDUSTRIAL,Theft Of Vehicle
2,11,Q4,2011,ARMSTRONG INDUSTRIAL,Theft Of Vehicle
1,3,Q1,2011,ARMSTRONG INDUSTRIAL,Theft Over $5000
1,11,Q4,2011,ASPEN GARDENS,Break and Enter
1,1,Q1,2011,ASPEN GARDENS,Robbery
1,7,Q3,2011,ASPEN GARDENS,Robbery
1,1,Q1,2011,ASPEN GARDENS,Theft From Vehicle
1,2,Q1,2011,ASPEN GARDENS,Theft From Vehicle
1,7,Q3,2011,ASPEN GARDENS,Theft From Vehicle
4,10,Q4,2011,ASPEN GARDENS,Theft From Vehicle
1,7,Q3,2011,ASPEN GARDENS,Theft Of Vehicle
1,8,Q3,2011,ASPEN GARDENS,Theft Of Vehicle
1,2,Q1,2011,ATHLONE,Assault
2,5,Q2,2011,ATHLONE,Assault
1,8,Q3,2011,ATHLONE,Assault
3,9,Q3,2011,ATHLONE,Assault
1,10,Q4,2011,ATHLONE,Assault
3,11,Q4,2011,ATHLONE,Assault
1,1,Q1,2011,ATHLONE,Break and Enter
1,3,Q1,2011,ATHLONE,Break and Enter
1,4,Q2,2011,ATHLONE,Break and Enter
4,6,Q2,2011,ATHLONE,Break and Enter
1,7,Q3,2011,ATHLONE,Break and Enter
2,11,Q4,2011,ATHLONE,Break and Enter
2,12,Q4,2011,ATHLONE,Break and Enter
2,3,Q1,2011,ATHLONE,Robbery
1,9,Q3,2011,ATHLONE,Sexual Assaults
1,12,Q4,2011,ATHLONE,Sexual Assaults
2,1,Q1,2011,ATHLONE,Theft From Vehicle
1,2,Q1,2011,ATHLONE,Theft From Vehicle
1,3,Q1,2011,ATHLONE,Theft From Vehicle
2,4,Q2,2011,ATHLONE,Theft From Vehicle
1,5,Q2,2011,ATHLONE,Theft From Vehicle
5,7,Q3,2011,ATHLONE,Theft From Vehicle
2,8,Q3,2011,ATHLONE,Theft From Vehicle
3,9,Q3,2011,ATHLONE,Theft From Vehicle
1,10,Q4,2011,ATHLONE,Theft From Vehicle
3,11,Q4,2011,ATHLONE,Theft From Vehicle
2,1,Q1,2011,ATHLONE,Theft Of Vehicle
1,4,Q2,2011,ATHLONE,Theft Of Vehicle
2,6,Q2,2011,ATHLONE,Theft Of Vehicle
2,8,Q3,2011,ATHLONE,Theft Of Vehicle
1,9,Q3,2011,ATHLONE,Theft Of Vehicle
1,11,Q4,2011,ATHLONE,Theft Of Vehicle
1,1,Q1,2011,AVONMORE,Assault
2,2,Q1,2011,AVONMORE,Assault
1,3,Q1,2011,AVONMORE,Assault
1,4,Q2,2011,AVONMORE,Assault
1,10,Q4,2011,AVONMORE,Assault
1,12,Q4,2011,AVONMORE,Assault
2,2,Q1,2011,AVONMORE,Break and Enter
1,3,Q1,2011,AVONMORE,Break and Enter
1,4,Q2,2011,AVONMORE,Break and Enter
1,6,Q2,2011,AVONMORE,Break and Enter
1,7,Q3,2011,AVONMORE,Break and Enter
1,10,Q4,2011,AVONMORE,Break and Enter
1,12,Q4,2011,AVONMORE,Break and Enter
1,1,Q1,2011,AVONMORE,Robbery
3,1,Q1,2011,AVONMORE,Theft From Vehicle
1,2,Q1,2011,AVONMORE,Theft From Vehicle
1,3,Q1,2011,AVONMORE,Theft From Vehicle
1,4,Q2,2011,AVONMORE,Theft From Vehicle
1,5,Q2,2011,AVONMORE,Theft From Vehicle
5,6,Q2,2011,AVONMORE,Theft From Vehicle
2,7,Q3,2011,AVONMORE,Theft From Vehicle
4,8,Q3,2011,AVONMORE,Theft From Vehicle
1,11,Q4,2011,AVONMORE,Theft From Vehicle
1,6,Q2,2011,AVONMORE,Theft Of Vehicle
1,7,Q3,2011,AVONMORE,Theft Of Vehicle
2,12,Q4,2011,AVONMORE,Theft Of Vehicle
3,1,Q1,2011,BALWIN,Assault
3,2,Q1,2011,BALWIN,Assault
5,3,Q1,2011,BALWIN,Assault
5,4,Q2,2011,BALWIN,Assault
1,5,Q2,2011,BALWIN,Assault
2,6,Q2,2011,BALWIN,Assault
9,7,Q3,2011,BALWIN,Assault
2,8,Q3,2011,BALWIN,Assault
3,9,Q3,2011,BALWIN,Assault
5,10,Q4,2011,BALWIN,Assault
1,11,Q4,2011,BALWIN,Assault
3,12,Q4,2011,BALWIN,Assault
3,1,Q1,2011,BALWIN,Break and Enter
4,3,Q1,2011,BALWIN,Break and Enter
3,4,Q2,2011,BALWIN,Break and Enter
4,5,Q2,2011,BALWIN,Break and Enter
3,6,Q2,2011,BALWIN,Break and Enter
4,7,Q3,2011,BALWIN,Break and Enter
2,8,Q3,2011,BALWIN,Break and Enter
4,9,Q3,2011,BALWIN,Break and Enter
2,11,Q4,2011,BALWIN,Break and Enter
4,12,Q4,2011,BALWIN,Break and Enter
1,3,Q1,2011,BALWIN,Homicide
1,10,Q4,2011,BALWIN,Homicide
1,2,Q1,2011,BALWIN,Robbery
1,4,Q2,2011,BALWIN,Robbery
1,5,Q2,2011,BALWIN,Robbery
2,7,Q3,2011,BALWIN,Robbery
1,8,Q3,2011,BALWIN,Robbery
1,5,Q2,2011,BALWIN,Sexual Assaults
2,9,Q3,2011,BALWIN,Sexual Assaults
1,10,Q4,2011,BALWIN,Sexual Assaults
1,1,Q1,2011,BALWIN,Theft From Vehicle
4,3,Q1,2011,BALWIN,Theft From Vehicle
5,4,Q2,2011,BALWIN,Theft From Vehicle
4,5,Q2,2011,BALWIN,Theft From Vehicle
4,6,Q2,2011,BALWIN,Theft From Vehicle
6,7,Q3,2011,BALWIN,Theft From Vehicle
4,8,Q3,2011,BALWIN,Theft From Vehicle
4,9,Q3,2011,BALWIN,Theft From Vehicle
5,11,Q4,2011,BALWIN,Theft From Vehicle
4,12,Q4,2011,BALWIN,Theft From Vehicle
1,1,Q1,2011,BALWIN,Theft Of Vehicle
1,2,Q1,2011,BALWIN,Theft Of Vehicle
4,3,Q1,2011,BALWIN,Theft Of Vehicle
5,4,Q2,2011,BALWIN,Theft Of Vehicle
9,5,Q2,2011,BALWIN,Theft Of Vehicle
6,6,Q2,2011,BALWIN,Theft Of Vehicle
6,7,Q3,2011,BALWIN,Theft Of Vehicle
5,8,Q3,2011,BALWIN,Theft Of Vehicle
2,10,Q4,2011,BALWIN,Theft Of Vehicle
1,11,Q4,2011,BALWIN,Theft Of Vehicle
5,12,Q4,2011,BALWIN,Theft Of Vehicle
1,1,Q1,2011,BANNERMAN,Assault
2,2,Q1,2011,BANNERMAN,Assault
1,4,Q2,2011,BANNERMAN,Assault
3,6,Q2,2011,BANNERMAN,Assault
1,7,Q3,2011,BANNERMAN,Assault
2,8,Q3,2011,BANNERMAN,Assault
2,11,Q4,2011,BANNERMAN,Assault
5,12,Q4,2011,BANNERMAN,Assault
2,7,Q3,2011,BANNERMAN,Break and Enter
1,8,Q3,2011,BANNERMAN,Break and Enter
1,10,Q4,2011,BANNERMAN,Break and Enter
1,11,Q4,2011,BANNERMAN,Break and Enter
1,1,Q1,2011,BANNERMAN,Robbery
1,2,Q1,2011,BANNERMAN,Robbery
1,3,Q1,2011,BANNERMAN,Robbery
1,4,Q2,2011,BANNERMAN,Robbery
1,7,Q3,2011,BANNERMAN,Robbery
1,8,Q3,2011,BANNERMAN,Robbery
1,8,Q3,2011,BANNERMAN,Sexual Assaults
1,12,Q4,2011,BANNERMAN,Sexual Assaults
1,3,Q1,2011,BANNERMAN,Theft From Vehicle
2,4,Q2,2011,BANNERMAN,Theft From Vehicle
3,5,Q2,2011,BANNERMAN,Theft From Vehicle
5,7,Q3,2011,BANNERMAN,Theft From Vehicle
4,8,Q3,2011,BANNERMAN,Theft From Vehicle
2,9,Q3,2011,BANNERMAN,Theft From Vehicle
5,10,Q4,2011,BANNERMAN,Theft From Vehicle
3,11,Q4,2011,BANNERMAN,Theft From Vehicle
3,12,Q4,2011,BANNERMAN,Theft From Vehicle
2,2,Q1,2011,BANNERMAN,Theft Of Vehicle
1,3,Q1,2011,BANNERMAN,Theft Of Vehicle
4,4,Q2,2011,BANNERMAN,Theft Of Vehicle
3,5,Q2,2011,BANNERMAN,Theft Of Vehicle
4,6,Q2,2011,BANNERMAN,Theft Of Vehicle
1,7,Q3,2011,BANNERMAN,Theft Of Vehicle
1,9,Q3,2011,BANNERMAN,Theft Of Vehicle
1,12,Q4,2011,BANNERMAN,Theft Of Vehicle
1,10,Q4,2011,BANNERMAN,Theft Over $5000
1,1,Q1,2011,BARANOW,Assault
1,2,Q1,2011,BARANOW,Assault
1,8,Q3,2011,BARANOW,Assault
1,9,Q3,2011,BARANOW,Assault
3,10,Q4,2011,BARANOW,Assault
1,12,Q4,2011,BARANOW,Assault
1,1,Q1,2011,BARANOW,Break and Enter
1,2,Q1,2011,BARANOW,Break and Enter
2,4,Q2,2011,BARANOW,Break and Enter
1,5,Q2,2011,BARANOW,Break and Enter
1,8,Q3,2011,BARANOW,Break and Enter
1,9,Q3,2011,BARANOW,Break and Enter
2,12,Q4,2011,BARANOW,Break and Enter
2,1,Q1,2011,BARANOW,Robbery
1,5,Q2,2011,BARANOW,Robbery
1,9,Q3,2011,BARANOW,Sexual Assaults
1,1,Q1,2011,BARANOW,Theft From Vehicle
1,3,Q1,2011,BARANOW,Theft From Vehicle
1,4,Q2,2011,BARANOW,Theft From Vehicle
4,5,Q2,2011,BARANOW,Theft From Vehicle
2,6,Q2,2011,BARANOW,Theft From Vehicle
3,7,Q3,2011,BARANOW,Theft From Vehicle
3,8,Q3,2011,BARANOW,Theft From Vehicle
2,9,Q3,2011,BARANOW,Theft From Vehicle
1,10,Q4,2011,BARANOW,Theft From Vehicle
1,2,Q1,2011,BARANOW,Theft Of Vehicle
2,11,Q4,2011,BARANOW,Theft Of Vehicle
1,2,Q1,2011,BARANOW,Theft Over $5000
1,7,Q3,2011,BARANOW,Theft Over $5000
1,1,Q1,2011,BATURYN,Assault
1,2,Q1,2011,BATURYN,Assault
3,3,Q1,2011,BATURYN,Assault
1,4,Q2,2011,BATURYN,Assault
4,5,Q2,2011,BATURYN,Assault
1,8,Q3,2011,BATURYN,Assault
1,9,Q3,2011,BATURYN,Assault
1,10,Q4,2011,BATURYN,Assault
2,11,Q4,2011,BATURYN,Assault
1,3,Q1,2011,BATURYN,Break and Enter
2,5,Q2,2011,BATURYN,Break and Enter
