Incident Reported Year,Neighbourhood Description (Occurrence),Incident Reported Quarter,Incident Reported Month,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000
2011,ALBERTA AVENUE,Q3,9,9.0,14.0,0.0,2.0,1.0,2.0,5.0,0.0
2011,ALBERTA AVENUE,Q4,10,8.0,7.0,0.0,2.0,0.0,7.0,3.0,1.0
2011,ALBERTA AVENUE,Q4,11,8.0,6.0,0.0,1.0,0.0,7.0,2.0,0.0
2011,ALBERTA AVENUE,Q4,12,3.0,3.0,0.0,4.0,2.0,16.0,4.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q1,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q2,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q2,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q3,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q4,10,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALBERTA PARK INDUSTRIAL,Q4,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2011,ALBERTA PARK INDUSTRIAL,Q4,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ALDERGROVE,Q1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2011,ALDERGROVE,Q1,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2011,ALDERGROVE,Q1,3,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0
2011,ALDERGROVE,Q2,4,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2011,ALDERGROVE,Q2,5,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2011,ALDERGROVE,Q2,6,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,ALDERGROVE,Q3,7,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,ALDERGROVE,Q3,8,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
2011,ALDERGROVE,Q3,9,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0
2011,ALDERGROVE,Q4,10,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,ALDERGROVE,Q4,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2011,ALDERGROVE,Q4,12,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
2011,ALLARD,Q1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ALLARD,Q3,9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALLARD,Q4,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ALLARD,Q4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ALLENDALE,Q1,1,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0
2011,ALLENDALE,Q1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ALLENDALE,Q1,3,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0
2011,ALLENDALE,Q2,4,1.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0
2011,ALLENDALE,Q2,5,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,ALLENDALE,Q2,6,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0
2011,ALLENDALE,Q3,7,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
2011,ALLENDALE,Q3,8,1.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0
2011,ALLENDALE,Q3,9,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,ALLENDALE,Q4,10,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
2011,ALLENDALE,Q4,11,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,ALLENDALE,Q4,12,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,AMBLESIDE,Q1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,AMBLESIDE,Q1,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,AMBLESIDE,Q1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AMBLESIDE,Q2,5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AMBLESIDE,Q2,6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,AMBLESIDE,Q3,7,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,AMBLESIDE,Q3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,AMBLESIDE,Q3,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,AMBLESIDE,Q4,10,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,AMBLESIDE,Q4,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,AMBLESIDE,Q4,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ANTHONY HENDAY,Q2,4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,ANTHONY HENDAY,Q2,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,ANTHONY HENDAY,Q3,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY BIG LAKE,Q1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ANTHONY HENDAY RAMPART,Q4,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH,Q3,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH,Q3,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ANTHONY HENDAY SOUTH,Q4,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ANTHONY HENDAY SOUTH,Q4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ANTHONY HENDAY SOUTH EAST,Q1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q2,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q2,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q4,10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH EAST,Q4,12,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2011,ANTHONY HENDAY SOUTH WEST,Q2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ANTHONY HENDAY TERWILLEGAR,Q3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,ARGYLL,Q1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ARGYLL,Q1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ARGYLL,Q2,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,ARGYLL,Q2,6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,ARGYLL,Q3,7,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
2011,ARGYLL,Q3,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ARGYLL,Q3,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ARGYLL,Q4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,ARGYLL,Q4,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q1,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q1,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2011,ARMSTRONG INDUSTRIAL,Q2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q2,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q3,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q3,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q4,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q4,11,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2011,ARMSTRONG INDUSTRIAL,Q4,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ASPEN GARDENS,Q1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2011,ASPEN GARDENS,Q1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ASPEN GARDENS,Q3,7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2011,ASPEN GARDENS,Q3,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,ASPEN GARDENS,Q4,10,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2011,ASPEN GARDENS,Q4,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ATHLONE,Q1,1,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
2011,ATHLONE,Q1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ATHLONE,Q1,3,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2011,ATHLONE,Q2,4,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,ATHLONE,Q2,5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ATHLONE,Q2,6,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,ATHLONE,Q3,7,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
2011,ATHLONE,Q3,8,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2011,ATHLONE,Q3,9,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2011,ATHLONE,Q4,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,ATHLONE,Q4,11,3.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,ATHLONE,Q4,12,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,AVONMORE,Q1,1,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
2011,AVONMORE,Q1,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AVONMORE,Q1,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AVONMORE,Q2,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AVONMORE,Q2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AVONMORE,Q2,6,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0
2011,AVONMORE,Q3,7,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,AVONMORE,Q3,8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2011,AVONMORE,Q4,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,AVONMORE,Q4,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,AVONMORE,Q4,12,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,BALWIN,Q1,1,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BALWIN,Q1,2,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2011,BALWIN,Q1,3,5.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0
2011,BALWIN,Q2,4,5.0,3.0,0.0,1.0,0.0,5.0,5.0,0.0
2011,BALWIN,Q2,5,1.0,4.0,0.0,1.0,1.0,4.0,9.0,0.0
2011,BALWIN,Q2,6,2.0,3.0,0.0,0.0,0.0,4.0,6.0,0.0
2011,BALWIN,Q3,7,9.0,4.0,0.0,2.0,0.0,6.0,6.0,0.0
2011,BALWIN,Q3,8,2.0,2.0,0.0,1.0,0.0,4.0,5.0,0.0
2011,BALWIN,Q3,9,3.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0
2011,BALWIN,Q4,10,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
2011,BALWIN,Q4,11,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0
2011,BALWIN,Q4,12,3.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0
2011,BANNERMAN,Q1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,BANNERMAN,Q1,2,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2011,BANNERMAN,Q1,3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2011,BANNERMAN,Q2,4,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0
2011,BANNERMAN,Q2,5,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
2011,BANNERMAN,Q2,6,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2011,BANNERMAN,Q3,7,1.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0
2011,BANNERMAN,Q3,8,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0
2011,BANNERMAN,Q3,9,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BANNERMAN,Q4,10,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0
2011,BANNERMAN,Q4,11,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,BANNERMAN,Q4,12,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2011,BARANOW,Q1,1,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2011,BARANOW,Q1,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2011,BARANOW,Q1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BARANOW,Q2,4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BARANOW,Q2,5,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
2011,BARANOW,Q2,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BARANOW,Q3,7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2011,BARANOW,Q3,8,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,BARANOW,Q3,9,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
2011,BARANOW,Q4,10,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BARANOW,Q4,11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,BARANOW,Q4,12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BATURYN,Q1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BATURYN,Q1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BATURYN,Q1,3,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BATURYN,Q2,4,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2011,BATURYN,Q2,5,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
2011,BATURYN,Q2,6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BATURYN,Q3,7,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BATURYN,Q3,8,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
2011,BATURYN,Q3,9,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
2011,BATURYN,Q4,10,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BATURYN,Q4,11,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BATURYN,Q4,12,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,BEACON HEIGHTS,Q1,1,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
2011,BEACON HEIGHTS,Q1,2,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2011,BEACON HEIGHTS,Q1,3,5.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0
2011,BEACON HEIGHTS,Q2,4,2.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0
2011,BEACON HEIGHTS,Q2,5,5.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0
2011,BEACON HEIGHTS,Q2,6,6.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0
2011,BEACON HEIGHTS,Q3,7,5.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0
2011,BEACON HEIGHTS,Q3,8,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
2011,BEACON HEIGHTS,Q3,9,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0
2011,BEACON HEIGHTS,Q4,10,4.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0
2011,BEACON HEIGHTS,Q4,11,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2011,BEACON HEIGHTS,Q4,12,5.0,3.0,0.0,3.0,1.0,3.0,6.0,1.0
2011,BEARSPAW,Q1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BEARSPAW,Q1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BEARSPAW,Q1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BEARSPAW,Q2,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BEARSPAW,Q4,10,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2011,BEARSPAW,Q4,11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BEARSPAW,Q4,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BEAUMARIS,Q1,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BEAUMARIS,Q1,2,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
2011,BEAUMARIS,Q1,3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,BEAUMARIS,Q2,4,1.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BEAUMARIS,Q2,5,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
2011,BEAUMARIS,Q2,6,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,BEAUMARIS,Q3,7,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0
2011,BEAUMARIS,Q3,8,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
2011,BEAUMARIS,Q3,9,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
2011,BEAUMARIS,Q4,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BEAUMARIS,Q4,11,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BEAUMARIS,Q4,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELGRAVIA,Q1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELGRAVIA,Q1,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELGRAVIA,Q1,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELGRAVIA,Q2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELGRAVIA,Q2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,BELGRAVIA,Q3,7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BELGRAVIA,Q3,8,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,BELGRAVIA,Q3,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELGRAVIA,Q4,10,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELGRAVIA,Q4,11,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELLE RIVE,Q1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,BELLE RIVE,Q1,2,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2011,BELLE RIVE,Q1,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2011,BELLE RIVE,Q2,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELLE RIVE,Q2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2011,BELLE RIVE,Q3,7,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BELLE RIVE,Q3,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELLE RIVE,Q3,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,BELLE RIVE,Q4,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELLE RIVE,Q4,11,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELLE RIVE,Q4,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELLEVUE,Q1,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELLEVUE,Q1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,BELLEVUE,Q1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELLEVUE,Q2,4,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BELLEVUE,Q2,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2011,BELLEVUE,Q2,6,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,BELLEVUE,Q3,7,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
2011,BELLEVUE,Q3,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELLEVUE,Q3,9,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2011,BELLEVUE,Q4,10,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BELLEVUE,Q4,11,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BELLEVUE,Q4,12,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BELMEAD,Q1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,BELMEAD,Q1,2,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2011,BELMEAD,Q1,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,BELMEAD,Q2,4,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
2011,BELMEAD,Q2,5,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2011,BELMEAD,Q2,6,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
2011,BELMEAD,Q3,7,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
2011,BELMEAD,Q3,8,3.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0
2011,BELMEAD,Q3,9,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BELMEAD,Q4,10,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
2011,BELMEAD,Q4,11,3.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0
2011,BELMEAD,Q4,12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,BELMONT,Q1,1,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2011,BELMONT,Q1,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BELMONT,Q1,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2011,BELMONT,Q2,4,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
2011,BELMONT,Q2,5,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
2011,BELMONT,Q2,6,3.0,1.0,0.0,1.0,0.0,8.0,3.0,0.0
