Canadian Citizen,Month,Neighbourhood Name,Neighbourhood Number,No Response(Citizen),Non-Canadian Citizen,Quarter,Refugee,WARD,Year
3942,2,BELMEAD,4040,181,480,1,0,Ward 1,2011
3942,3,BELMEAD,4040,181,480,1,0,Ward 1,2011
3942,4,BELMEAD,4040,181,480,2,0,Ward 1,2011
3942,5,BELMEAD,4040,181,480,2,0,Ward 1,2011
3942,6,BELMEAD,4040,181,480,2,0,Ward 1,2011
3942,7,BELMEAD,4040,181,480,3,0,Ward 1,2011
3942,8,BELMEAD,4040,181,480,3,0,Ward 1,2011
3942,9,BELMEAD,4040,181,480,3,0,Ward 1,2011
3942,10,BELMEAD,4040,181,480,4,0,Ward 1,2011
3942,11,BELMEAD,4040,181,480,4,0,Ward 1,2011
3942,12,BELMEAD,4040,181,480,4,0,Ward 1,2011
1787,1,BRECKENRIDGE GREENS,4700,45,79,1,0,Ward 1,2011
1787,2,BRECKENRIDGE GREENS,4700,45,79,1,0,Ward 1,2011
1787,3,BRECKENRIDGE GREENS,4700,45,79,1,0,Ward 1,2011
1787,4,BRECKENRIDGE GREENS,4700,45,79,2,0,Ward 1,2011
1787,5,BRECKENRIDGE GREENS,4700,45,79,2,0,Ward 1,2011
1787,6,BRECKENRIDGE GREENS,4700,45,79,2,0,Ward 1,2011
1787,7,BRECKENRIDGE GREENS,4700,45,79,3,0,Ward 1,2011
1787,8,BRECKENRIDGE GREENS,4700,45,79,3,0,Ward 1,2011
1787,9,BRECKENRIDGE GREENS,4700,45,79,3,0,Ward 1,2011
1787,10,BRECKENRIDGE GREENS,4700,45,79,4,0,Ward 1,2011
1787,11,BRECKENRIDGE GREENS,4700,45,79,4,0,Ward 1,2011
1787,12,BRECKENRIDGE GREENS,4700,45,79,4,0,Ward 1,2011
3597,1,BRITANNIA YOUNGSTOWN,4060,613,549,1,0,Ward 1,2011
3597,2,BRITANNIA YOUNGSTOWN,4060,613,549,1,0,Ward 1,2011
3597,3,BRITANNIA YOUNGSTOWN,4060,613,549,1,0,Ward 1,2011
3597,4,BRITANNIA YOUNGSTOWN,4060,613,549,2,0,Ward 1,2011
3597,5,BRITANNIA YOUNGSTOWN,4060,613,549,2,0,Ward 1,2011
3597,6,BRITANNIA YOUNGSTOWN,4060,613,549,2,0,Ward 1,2011
3597,7,BRITANNIA YOUNGSTOWN,4060,613,549,3,0,Ward 1,2011
3597,8,BRITANNIA YOUNGSTOWN,4060,613,549,3,0,Ward 1,2011
3597,9,BRITANNIA YOUNGSTOWN,4060,613,549,3,0,Ward 1,2011
3597,10,BRITANNIA YOUNGSTOWN,4060,613,549,4,0,Ward 1,2011
3597,11,BRITANNIA YOUNGSTOWN,4060,613,549,4,0,Ward 1,2011
3597,12,BRITANNIA YOUNGSTOWN,4060,613,549,4,0,Ward 1,2011
2650,1,CANORA,4090,384,301,1,0,Ward 1,2011
2650,2,CANORA,4090,384,301,1,0,Ward 1,2011
2650,3,CANORA,4090,384,301,1,0,Ward 1,2011
2650,4,CANORA,4090,384,301,2,0,Ward 1,2011
2650,5,CANORA,4090,384,301,2,0,Ward 1,2011
2650,6,CANORA,4090,384,301,2,0,Ward 1,2011
2650,7,CANORA,4090,384,301,3,0,Ward 1,2011
2650,8,CANORA,4090,384,301,3,0,Ward 1,2011
2650,9,CANORA,4090,384,301,3,0,Ward 1,2011
2650,10,CANORA,4090,384,301,4,0,Ward 1,2011
2650,11,CANORA,4090,384,301,4,0,Ward 1,2011
2650,12,CANORA,4090,384,301,4,0,Ward 1,2011
0,1,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,2011
0,2,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,2011
0,3,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,2011
0,4,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,2011
0,5,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,2011
0,6,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,2011
0,7,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,2011
0,8,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,2011
0,9,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,2011
0,10,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,2011
0,11,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,2011
0,12,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,2011
2007,1,CRESTWOOD,3140,237,79,1,0,Ward 1,2011
2007,2,CRESTWOOD,3140,237,79,1,0,Ward 1,2011
2007,3,CRESTWOOD,3140,237,79,1,0,Ward 1,2011
2007,4,CRESTWOOD,3140,237,79,2,0,Ward 1,2011
2007,5,CRESTWOOD,3140,237,79,2,0,Ward 1,2011
2007,6,CRESTWOOD,3140,237,79,2,0,Ward 1,2011
2007,7,CRESTWOOD,3140,237,79,3,0,Ward 1,2011
2007,8,CRESTWOOD,3140,237,79,3,0,Ward 1,2011
2007,9,CRESTWOOD,3140,237,79,3,0,Ward 1,2011
2007,10,CRESTWOOD,3140,237,79,4,0,Ward 1,2011
2007,11,CRESTWOOD,3140,237,79,4,0,Ward 1,2011
2007,12,CRESTWOOD,3140,237,79,4,0,Ward 1,2011
0,1,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,2011
0,2,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,2011
0,3,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,2011
0,4,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,2011
0,5,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,2011
0,6,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,2011
0,7,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,2011
0,8,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,2011
0,9,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,2011
0,10,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,2011
0,11,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,2011
0,12,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,2011
3805,1,GLENWOOD,4180,660,630,1,0,Ward 1,2011
3805,2,GLENWOOD,4180,660,630,1,0,Ward 1,2011
3805,3,GLENWOOD,4180,660,630,1,0,Ward 1,2011
3805,4,GLENWOOD,4180,660,630,2,0,Ward 1,2011
3805,5,GLENWOOD,4180,660,630,2,0,Ward 1,2011
3805,6,GLENWOOD,4180,660,630,2,0,Ward 1,2011
3805,7,GLENWOOD,4180,660,630,3,0,Ward 1,2011
3805,8,GLENWOOD,4180,660,630,3,0,Ward 1,2011
3805,9,GLENWOOD,4180,660,630,3,0,Ward 1,2011
3805,10,GLENWOOD,4180,660,630,4,0,Ward 1,2011
3805,11,GLENWOOD,4180,660,630,4,0,Ward 1,2011
3805,12,GLENWOOD,4180,660,630,4,0,Ward 1,2011
0,1,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,2011
0,2,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,2011
0,3,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,2011
0,4,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,2011
0,5,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,2011
0,6,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,2011
0,7,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,2011
0,8,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,2011
0,9,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,2011
0,10,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,2011
0,11,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,2011
0,12,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,2011
0,1,HAWKS RIDGE,4473,0,0,1,0,Ward 1,2011
0,2,HAWKS RIDGE,4473,0,0,1,0,Ward 1,2011
0,3,HAWKS RIDGE,4473,0,0,1,0,Ward 1,2011
0,4,HAWKS RIDGE,4473,0,0,2,0,Ward 1,2011
0,5,HAWKS RIDGE,4473,0,0,2,0,Ward 1,2011
0,6,HAWKS RIDGE,4473,0,0,2,0,Ward 1,2011
0,7,HAWKS RIDGE,4473,0,0,3,0,Ward 1,2011
0,8,HAWKS RIDGE,4473,0,0,3,0,Ward 1,2011
0,9,HAWKS RIDGE,4473,0,0,3,0,Ward 1,2011
0,10,HAWKS RIDGE,4473,0,0,4,0,Ward 1,2011
0,11,HAWKS RIDGE,4473,0,0,4,0,Ward 1,2011
0,12,HAWKS RIDGE,4473,0,0,4,0,Ward 1,2011
1176,1,HIGH PARK,4200,167,46,1,0,Ward 1,2011
1176,2,HIGH PARK,4200,167,46,1,0,Ward 1,2011
1176,3,HIGH PARK,4200,167,46,1,0,Ward 1,2011
1176,4,HIGH PARK,4200,167,46,2,0,Ward 1,2011
1176,5,HIGH PARK,4200,167,46,2,0,Ward 1,2011
1176,6,HIGH PARK,4200,167,46,2,0,Ward 1,2011
1176,7,HIGH PARK,4200,167,46,3,0,Ward 1,2011
1176,8,HIGH PARK,4200,167,46,3,0,Ward 1,2011
1176,9,HIGH PARK,4200,167,46,3,0,Ward 1,2011
1176,10,HIGH PARK,4200,167,46,4,0,Ward 1,2011
1176,11,HIGH PARK,4200,167,46,4,0,Ward 1,2011
1176,12,HIGH PARK,4200,167,46,4,0,Ward 1,2011
1329,1,JASPER PARK,4230,401,110,1,0,Ward 1,2011
1329,2,JASPER PARK,4230,401,110,1,0,Ward 1,2011
1329,3,JASPER PARK,4230,401,110,1,0,Ward 1,2011
1329,4,JASPER PARK,4230,401,110,2,0,Ward 1,2011
1329,5,JASPER PARK,4230,401,110,2,0,Ward 1,2011
1329,6,JASPER PARK,4230,401,110,2,0,Ward 1,2011
1329,7,JASPER PARK,4230,401,110,3,0,Ward 1,2011
1329,8,JASPER PARK,4230,401,110,3,0,Ward 1,2011
1329,9,JASPER PARK,4230,401,110,3,0,Ward 1,2011
1329,10,JASPER PARK,4230,401,110,4,0,Ward 1,2011
1329,11,JASPER PARK,4230,401,110,4,0,Ward 1,2011
1329,12,JASPER PARK,4230,401,110,4,0,Ward 1,2011
87,1,KINOKAMAU PLAINS AREA,4475,19,0,1,0,Ward 1,2011
87,2,KINOKAMAU PLAINS AREA,4475,19,0,1,0,Ward 1,2011
87,3,KINOKAMAU PLAINS AREA,4475,19,0,1,0,Ward 1,2011
87,4,KINOKAMAU PLAINS AREA,4475,19,0,2,0,Ward 1,2011
87,5,KINOKAMAU PLAINS AREA,4475,19,0,2,0,Ward 1,2011
87,6,KINOKAMAU PLAINS AREA,4475,19,0,2,0,Ward 1,2011
87,7,KINOKAMAU PLAINS AREA,4475,19,0,3,0,Ward 1,2011
87,8,KINOKAMAU PLAINS AREA,4475,19,0,3,0,Ward 1,2011
87,9,KINOKAMAU PLAINS AREA,4475,19,0,3,0,Ward 1,2011
87,10,KINOKAMAU PLAINS AREA,4475,19,0,4,0,Ward 1,2011
87,11,KINOKAMAU PLAINS AREA,4475,19,0,4,0,Ward 1,2011
87,12,KINOKAMAU PLAINS AREA,4475,19,0,4,0,Ward 1,2011
4038,1,LA PERLE,4240,715,369,1,0,Ward 1,2011
4038,2,LA PERLE,4240,715,369,1,0,Ward 1,2011
4038,3,LA PERLE,4240,715,369,1,0,Ward 1,2011
4038,4,LA PERLE,4240,715,369,2,0,Ward 1,2011
4038,5,LA PERLE,4240,715,369,2,0,Ward 1,2011
4038,6,LA PERLE,4240,715,369,2,0,Ward 1,2011
4038,7,LA PERLE,4240,715,369,3,0,Ward 1,2011
4038,8,LA PERLE,4240,715,369,3,0,Ward 1,2011
4038,9,LA PERLE,4240,715,369,3,0,Ward 1,2011
4038,10,LA PERLE,4240,715,369,4,0,Ward 1,2011
4038,11,LA PERLE,4240,715,369,4,0,Ward 1,2011
4038,12,LA PERLE,4240,715,369,4,0,Ward 1,2011
64,1,LEWIS FARMS INDUSTRIAL,4485,11,0,1,0,Ward 1,2011
64,2,LEWIS FARMS INDUSTRIAL,4485,11,0,1,0,Ward 1,2011
64,3,LEWIS FARMS INDUSTRIAL,4485,11,0,1,0,Ward 1,2011
64,4,LEWIS FARMS INDUSTRIAL,4485,11,0,2,0,Ward 1,2011
64,5,LEWIS FARMS INDUSTRIAL,4485,11,0,2,0,Ward 1,2011
64,6,LEWIS FARMS INDUSTRIAL,4485,11,0,2,0,Ward 1,2011
64,7,LEWIS FARMS INDUSTRIAL,4485,11,0,3,0,Ward 1,2011
64,8,LEWIS FARMS INDUSTRIAL,4485,11,0,3,0,Ward 1,2011
64,9,LEWIS FARMS INDUSTRIAL,4485,11,0,3,0,Ward 1,2011
64,10,LEWIS FARMS INDUSTRIAL,4485,11,0,4,0,Ward 1,2011
64,11,LEWIS FARMS INDUSTRIAL,4485,11,0,4,0,Ward 1,2011
64,12,LEWIS FARMS INDUSTRIAL,4485,11,0,4,0,Ward 1,2011
1738,1,MAYFIELD,4290,137,93,1,0,Ward 1,2011
1738,2,MAYFIELD,4290,137,93,1,0,Ward 1,2011
1738,3,MAYFIELD,4290,137,93,1,0,Ward 1,2011
1738,4,MAYFIELD,4290,137,93,2,0,Ward 1,2011
1738,5,MAYFIELD,4290,137,93,2,0,Ward 1,2011
1738,6,MAYFIELD,4290,137,93,2,0,Ward 1,2011
1738,7,MAYFIELD,4290,137,93,3,0,Ward 1,2011
1738,8,MAYFIELD,4290,137,93,3,0,Ward 1,2011
1738,9,MAYFIELD,4290,137,93,3,0,Ward 1,2011
1738,10,MAYFIELD,4290,137,93,4,0,Ward 1,2011
1738,11,MAYFIELD,4290,137,93,4,0,Ward 1,2011
1738,12,MAYFIELD,4290,137,93,4,0,Ward 1,2011
0,1,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,2011
0,2,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,2011
0,3,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,2011
0,4,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,2011
0,5,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,2011
0,6,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,2011
0,7,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,2011
0,8,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,2011
0,9,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,2011
0,10,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,2011
0,11,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,2011
0,12,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,2011
2168,1,MEADOWLARK PARK,4310,324,116,1,0,Ward 1,2011
2168,2,MEADOWLARK PARK,4310,324,116,1,0,Ward 1,2011
2168,3,MEADOWLARK PARK,4310,324,116,1,0,Ward 1,2011
2168,4,MEADOWLARK PARK,4310,324,116,2,0,Ward 1,2011
2168,5,MEADOWLARK PARK,4310,324,116,2,0,Ward 1,2011
2168,6,MEADOWLARK PARK,4310,324,116,2,0,Ward 1,2011
2168,7,MEADOWLARK PARK,4310,324,116,3,0,Ward 1,2011
2168,8,MEADOWLARK PARK,4310,324,116,3,0,Ward 1,2011
2168,9,MEADOWLARK PARK,4310,324,116,3,0,Ward 1,2011
2168,10,MEADOWLARK PARK,4310,324,116,4,0,Ward 1,2011
2168,11,MEADOWLARK PARK,4310,324,116,4,0,Ward 1,2011
2168,12,MEADOWLARK PARK,4310,324,116,4,0,Ward 1,2011
0,1,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,2011
0,2,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,2011
0,3,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,2011
0,4,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,2011
0,5,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,2011
0,6,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,2011
0,7,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,2011
0,8,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,2011
0,9,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,2011
0,10,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,2011
0,11,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,2011
0,12,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,2011
0,1,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,2011
0,2,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,2011
0,3,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,2011
0,4,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,2011
0,5,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,2011
0,6,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,2011
0,7,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,2011
0,8,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,2011
0,9,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,2011
0,10,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,2011
0,11,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,2011
0,12,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,2011
2985,1,PARKVIEW,3330,232,117,1,0,Ward 1,2011
2985,2,PARKVIEW,3330,232,117,1,0,Ward 1,2011
2985,3,PARKVIEW,3330,232,117,1,0,Ward 1,2011
2985,4,PARKVIEW,3330,232,117,2,0,Ward 1,2011
2985,5,PARKVIEW,3330,232,117,2,0,Ward 1,2011
2985,6,PARKVIEW,3330,232,117,2,0,Ward 1,2011
2985,7,PARKVIEW,3330,232,117,3,0,Ward 1,2011
2985,8,PARKVIEW,3330,232,117,3,0,Ward 1,2011
2985,9,PARKVIEW,3330,232,117,3,0,Ward 1,2011
2985,10,PARKVIEW,3330,232,117,4,0,Ward 1,2011
2985,11,PARKVIEW,3330,232,117,4,0,Ward 1,2011
2985,12,PARKVIEW,3330,232,117,4,0,Ward 1,2011
0,1,PLACE LARUE,4400,0,0,1,0,Ward 1,2011
0,2,PLACE LARUE,4400,0,0,1,0,Ward 1,2011
0,3,PLACE LARUE,4400,0,0,1,0,Ward 1,2011
0,4,PLACE LARUE,4400,0,0,2,0,Ward 1,2011
0,5,PLACE LARUE,4400,0,0,2,0,Ward 1,2011
0,6,PLACE LARUE,4400,0,0,2,0,Ward 1,2011
0,7,PLACE LARUE,4400,0,0,3,0,Ward 1,2011
0,8,PLACE LARUE,4400,0,0,3,0,Ward 1,2011
0,9,PLACE LARUE,4400,0,0,3,0,Ward 1,2011
0,10,PLACE LARUE,4400,0,0,4,0,Ward 1,2011
0,11,PLACE LARUE,4400,0,0,4,0,Ward 1,2011
0,12,PLACE LARUE,4400,0,0,4,0,Ward 1,2011
1459,1,POTTER GREENS,4710,17,44,1,0,Ward 1,2011
1459,2,POTTER GREENS,4710,17,44,1,0,Ward 1,2011
1459,3,POTTER GREENS,4710,17,44,1,0,Ward 1,2011
1459,4,POTTER GREENS,4710,17,44,2,0,Ward 1,2011
1459,5,POTTER GREENS,4710,17,44,2,0,Ward 1,2011
1459,6,POTTER GREENS,4710,17,44,2,0,Ward 1,2011
1459,7,POTTER GREENS,4710,17,44,3,0,Ward 1,2011
1459,8,POTTER GREENS,4710,17,44,3,0,Ward 1,2011
1459,9,POTTER GREENS,4710,17,44,3,0,Ward 1,2011
1459,10,POTTER GREENS,4710,17,44,4,0,Ward 1,2011
1459,11,POTTER GREENS,4710,17,44,4,0,Ward 1,2011
1459,12,POTTER GREENS,4710,17,44,4,0,Ward 1,2011
0,1,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,Ward 1,2011
0,2,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,Ward 1,2011
0,3,POUNDMAKER INDUSTRIAL,4410,0,0,1,0,Ward 1,2011
0,4,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,Ward 1,2011
0,5,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,Ward 1,2011
0,6,POUNDMAKER INDUSTRIAL,4410,0,0,2,0,Ward 1,2011
0,7,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,Ward 1,2011
0,8,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,Ward 1,2011
0,9,POUNDMAKER INDUSTRIAL,4410,0,0,3,0,Ward 1,2011
0,10,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,Ward 1,2011
0,11,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,Ward 1,2011
0,12,POUNDMAKER INDUSTRIAL,4410,0,0,4,0,Ward 1,2011
0,1,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,Ward 1,2011
0,2,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,Ward 1,2011
0,3,RIVER VALLEY CAPITOL HILL,3380,0,0,1,0,Ward 1,2011
0,4,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,Ward 1,2011
0,5,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,Ward 1,2011
0,6,RIVER VALLEY CAPITOL HILL,3380,0,0,2,0,Ward 1,2011
0,7,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,Ward 1,2011
0,8,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,Ward 1,2011
0,9,RIVER VALLEY CAPITOL HILL,3380,0,0,3,0,Ward 1,2011
0,10,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,Ward 1,2011
0,11,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,Ward 1,2011
0,12,RIVER VALLEY CAPITOL HILL,3380,0,0,4,0,Ward 1,2011
129,1,RURAL WEST BIG LAKE,4470,22,1,1,0,Ward 1,2011
129,2,RURAL WEST BIG LAKE,4470,22,1,1,0,Ward 1,2011
129,3,RURAL WEST BIG LAKE,4470,22,1,1,0,Ward 1,2011
129,4,RURAL WEST BIG LAKE,4470,22,1,2,0,Ward 1,2011
129,5,RURAL WEST BIG LAKE,4470,22,1,2,0,Ward 1,2011
129,6,RURAL WEST BIG LAKE,4470,22,1,2,0,Ward 1,2011
129,7,RURAL WEST BIG LAKE,4470,22,1,3,0,Ward 1,2011
129,8,RURAL WEST BIG LAKE,4470,22,1,3,0,Ward 1,2011
129,9,RURAL WEST BIG LAKE,4470,22,1,3,0,Ward 1,2011
129,10,RURAL WEST BIG LAKE,4470,22,1,4,0,Ward 1,2011
129,11,RURAL WEST BIG LAKE,4470,22,1,4,0,Ward 1,2011
129,12,RURAL WEST BIG LAKE,4470,22,1,4,0,Ward 1,2011
0,1,RURAL WEST LEWIS FARMS,4480,0,0,1,0,Ward 1,2011
0,2,RURAL WEST LEWIS FARMS,4480,0,0,1,0,Ward 1,2011
0,3,RURAL WEST LEWIS FARMS,4480,0,0,1,0,Ward 1,2011
0,4,RURAL WEST LEWIS FARMS,4480,0,0,2,0,Ward 1,2011
0,5,RURAL WEST LEWIS FARMS,4480,0,0,2,0,Ward 1,2011
0,6,RURAL WEST LEWIS FARMS,4480,0,0,2,0,Ward 1,2011
0,7,RURAL WEST LEWIS FARMS,4480,0,0,3,0,Ward 1,2011
