WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,PRESCHOOL,KINDERGARTEN-GR.6,GR.7-GR.9,GR.10-GR.12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HRS,EMPLOYED_30+_HRS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,NO_RESPONSE
Ward 1,4310,MEADOWLARK PARK,98,139,45,59,91,72,150,914,52,583,30,433
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,1,9,3,5,2,6,16,57,3,25,1,24
Ward 1,4471,TRUMPETER AREA,40,21,9,7,7,21,15,227,9,18,1,129
Ward 1,4473,HAWKS RIDGE,7,4,0,0,0,4,3,33,0,0,0,6
Ward 1,4474,STARLING,15,11,3,0,5,5,9,85,5,2,0,39
Ward 1,4475,KINOKAMAU PLAINS AREA,2,9,4,5,0,4,8,52,4,9,1,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,1,2,2,1,0,2,3,22,1,11,2,27
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4487,SECORD,263,173,59,30,40,72,121,1110,24,44,8,193
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,29,80,44,43,43,52,74,532,44,151,32,256
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4520,SUMMERLEA,49,68,36,43,62,53,114,736,36,303,24,506
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,62,54,13,24,63,63,100,747,39,641,31,378
Ward 1,4580,WEST JASPER PLACE,124,108,43,50,81,62,187,1282,116,348,108,522
Ward 1,4590,WEST MEADOWLARK PARK,174,186,94,93,67,123,203,1382,91,351,49,867
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,48,74,34,28,11,63,111,782,48,271,56,453
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,1,0,0,0,0,0,2,4,1,3,0,125
Ward 1,4700,BRECKENRIDGE GREENS,87,160,73,57,58,66,96,978,25,192,14,94
Ward 1,4710,POTTER GREENS,47,98,57,72,76,41,111,618,17,313,6,73
Ward 1,4730,SUDER GREENS,235,316,98,93,92,108,208,1573,61,178,25,278
Ward 1,4740,WEBBER GREENS,145,143,54,60,50,70,91,794,19,64,7,247
Ward 1,4750,ROSENTHAL,13,8,7,2,3,7,5,47,1,3,0,10
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,1170,PRINCE RUPERT,70,51,27,29,81,43,83,664,36,135,22,113
Ward 2,1230,SPRUCE AVENUE,58,60,27,33,68,65,80,541,75,136,38,693
Ward 2,1250,WESTWOOD,62,82,32,36,262,86,189,1423,138,304,122,688
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3010,ATHLONE,159,229,104,114,102,102,190,1357,103,328,55,300
Ward 2,3020,BARANOW,72,50,17,13,30,38,69,407,36,226,36,374
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,236,300,128,124,128,154,224,1577,147,504,59,672
Ward 2,3070,CALDER,183,226,92,71,93,123,263,1660,165,479,116,753
Ward 2,3090,CARLISLE,283,361,151,134,139,161,249,1527,148,367,63,329
Ward 2,3111,GRIESBACH,176,178,61,77,72,71,99,1025,66,204,12,1711
Ward 2,3150,CUMBERLAND,359,658,220,211,235,224,323,2870,112,327,32,868
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,107,150,53,45,42,64,137,972,75,263,24,186
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,206,214,88,88,143,111,355,2143,269,756,152,2246
Ward 2,3250,KENSINGTON,121,209,99,113,82,114,151,1266,114,936,58,397
Ward 2,3260,LAUDERDALE,162,162,70,74,83,113,202,1155,111,372,60,293
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3320,OXFORD,134,259,145,135,189,137,149,1441,69,363,29,403
Ward 2,3340,PEMBINA,21,16,5,3,12,16,40,242,13,79,2,93
Ward 2,3350,PRINCE CHARLES,63,101,51,26,45,51,53,713,51,108,29,303
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,106,164,67,73,76,113,182,1135,67,719,31,243
Ward 2,3410,SHERBROOKE,137,162,64,54,66,64,146,1129,77,259,46,285
Ward 2,3430,WELLINGTON,168,260,91,96,80,126,168,1298,116,439,53,264
Ward 2,3450,WOODCROFT,114,150,84,68,79,62,138,879,83,613,58,364
Ward 2,3460,ALBANY,52,46,10,11,8,32,10,325,9,10,3,109
Ward 2,3470,CARLTON,322,417,166,120,135,166,185,1725,61,198,17,336
Ward 2,3480,HUDSON,89,160,70,63,107,45,84,752,38,95,10,481
Ward 2,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,2050,BELLE RIVE,144,306,163,176,247,167,204,1672,88,369,28,274
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,2241,EAUX CLAIRES,133,212,103,80,138,107,158,1477,34,241,31,434
Ward 3,2260,EVANSDALE,442,583,243,236,235,307,325,1856,245,734,99,553
Ward 3,2410,KILKENNY,300,478,208,199,214,247,340,2143,227,709,118,542
Ward 3,2440,KLARVATTEN,343,522,180,207,212,221,330,2597,130,310,30,427
Ward 3,2450,LAGO LINDO,187,316,129,114,186,152,265,1877,82,429,39,263
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,2511,MAYLIEWAN,135,348,166,214,274,172,228,1765,76,478,37,313
Ward 3,2600,OZERNA,186,346,215,220,286,185,280,1943,91,431,50,266
Ward 3,2700,SCHONSEE,198,230,104,87,97,116,126,1007,34,194,9,261
Ward 3,3030,BATURYN,235,433,183,174,165,230,306,2027,133,628,66,332
Ward 3,3040,BEAUMARIS,145,253,112,101,171,162,274,1605,104,1098,63,437
Ward 3,3080,CANOSSA,216,295,105,111,112,98,160,1442,68,135,6,408
Ward 3,3120,CHAMBERY,156,252,88,80,70,105,112,910,32,97,3,374
Ward 3,3180,DUNLUCE,306,502,192,222,196,289,364,2436,184,560,126,1087
Ward 3,3190,ELSINORE,108,182,91,103,131,86,120,903,32,346,14,138
Ward 3,3280,LORELEI,252,340,145,176,156,190,279,1542,159,519,58,334
Ward 3,3370,RAPPERSWILL,30,103,40,27,25,31,42,461,9,21,1,205
Ward 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,0,0,0,1317
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2030,BANNERMAN,175,270,99,88,81,112,210,1262,102,277,59,326
Ward 4,2070,BELMONT,295,484,171,207,155,236,322,2290,205,551,72,332
Ward 4,2080,BELVEDERE,262,355,143,148,161,209,389,2008,250,756,138,627
Ward 4,2110,BRINTNELL,475,584,201,197,186,244,294,2673,78,157,38,620
Ward 4,2120,CANON RIDGE,108,129,55,48,52,66,123,1058,53,192,10,328
Ward 4,2130,CASSELMAN,243,284,141,156,143,139,192,1656,155,338,90,147
Ward 4,2145,CLAREVIEW TOWN CENTRE,186,186,61,66,233,96,225,1488,154,110,30,492
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,54,71,27,26,8,54,74,508,50,166,48,415
Ward 4,2280,FRASER,207,260,105,112,122,93,187,1504,115,232,51,348
Ward 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,139,198,109,96,95,91,155,1057,96,198,58,227
Ward 4,2340,HOLLICK-KENYON,328,441,194,189,193,201,334,2426,120,355,36,768
Ward 4,2350,HOMESTEADER,247,360,126,128,108,146,213,1486,123,285,63,284
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,169,214,119,101,89,129,185,1276,71,424,31,245
Ward 4,2430,KIRKNESS,259,351,147,147,114,155,274,1750,137,284,81,248
Ward 4,2500,MATT BERRY,181,362,179,191,242,148,229,1786,77,453,36,325
Ward 4,2521,MCCONACHIE AREA,274,213,89,59,66,92,145,1360,58,68,11,308
Ward 4,2530,MCLEOD,69,133,90,84,75,78,150,965,62,446,34,94
Ward 4,2541,MILLER,194,253,109,85,125,114,165,1307,69,308,32,456
Ward 4,2590,OVERLANDERS,156,204,91,87,66,106,157,1444,103,209,55,268
Ward 4,2611,CY BECKER,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,13,17,14,12,7,19,10,104,3,44,5,13
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,4,14,9,10,8,11,14,69,1,32,2,303
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,31,60,20,26,31,31,46,318,8,60,8,46
Ward 4,2710,SIFTON PARK,142,192,77,58,64,106,112,916,86,150,60,336
Ward 4,2720,YORK,203,311,154,153,151,157,229,1606,112,527,88,381
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,94,190,80,87,147,91,180,990,31,513,9,320
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,139,151,51,67,75,82,143,1176,78,187,32,267
Ward 5,4080,CALLINGWOOD SOUTH,352,359,123,137,140,223,249,2201,194,525,123,1269
Ward 5,4110,DECHENE,53,91,69,78,118,57,119,734,19,284,12,55
Ward 5,4120,DONSDALE,32,99,50,61,91,62,74,528,6,120,3,234
Ward 5,4140,ELMWOOD,104,171,97,76,74,93,189,1221,84,350,37,188
Ward 5,4160,GARIEPY,75,160,55,68,107,70,155,767,32,299,14,102
Ward 5,4220,JAMIESON PLACE,179,295,131,184,238,130,277,1939,68,349,29,132
Ward 5,4270,LYMBURN,305,404,218,227,266,199,376,2727,144,495,84,563
Ward 5,4280,LYNNWOOD,105,208,70,94,146,84,204,1381,99,402,63,648
Ward 5,4360,OLESKIW,93,199,87,123,241,161,254,1114,31,545,19,139
Ward 5,4380,ORMSBY PLACE,291,427,200,246,268,202,387,2404,145,410,66,404
Ward 5,4390,PATRICIA HEIGHTS,98,140,53,49,90,67,124,746,36,162,18,233
Ward 5,4420,QUESNELL HEIGHTS,21,25,15,23,32,30,33,131,2,50,1,20
Ward 5,4430,RIO TERRACE,61,109,47,54,60,48,90,493,20,237,5,80
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,15,51,30,29,33,29,51,186,2,50,3,17
Ward 5,4461,THE HAMPTONS,974,1114,383,332,334,421,497,5270,131,269,31,1043
Ward 5,4462,EDGEMONT,6,10,7,5,5,9,8,48,1,10,0,6
Ward 5,4466,CAMERON HEIGHTS,158,167,43,50,46,68,73,664,23,54,1,115
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4551,GRANVILLE,107,89,45,33,33,33,68,428,11,32,1,105
Ward 5,4560,THORNCLIFF,151,264,97,100,101,101,179,1623,128,288,60,604
Ward 5,4570,WEDGEWOOD HEIGHTS,50,90,49,76,126,67,135,614,22,190,7,196
Ward 5,4610,WESTRIDGE,42,111,45,38,92,55,131,505,18,243,4,54
Ward 5,4720,GLASTONBURY,358,637,215,207,211,224,417,2854,105,583,45,379
Ward 6,1020,BOYLE STREET,154,155,59,49,156,111,231,1762,261,663,297,3015
Ward 6,1030,CENTRAL MCDOUGALL,187,153,52,43,173,196,514,1954,329,267,268,1529
Ward 6,1090,DOWNTOWN,124,75,18,33,1203,137,499,5216,249,1170,133,4291
Ward 6,1140,MCCAULEY,85,128,47,59,123,103,385,1352,307,519,326,1733
Ward 6,1150,OLIVER,217,149,45,69,1035,259,867,8301,476,2730,287,4700
Ward 6,1180,QUEEN MARY PARK,354,173,82,75,340,158,392,2921,298,385,115,1932
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,95,117,42,43,72,52,130,991,27,233,24,236
Ward 6,1220,ROSSDALE,20,27,9,11,35,19,59,446,9,79,8,123
Ward 6,3200,GLENORA,137,280,129,91,159,119,226,1365,34,469,12,551
Ward 6,3210,GROVENOR,123,119,46,35,74,67,154,865,55,236,24,584
Ward 6,3300,MCQUEEN,74,90,51,68,64,52,123,546,29,272,21,426
Ward 6,3310,NORTH GLENORA,90,139,50,46,87,65,132,885,42,217,18,324
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 6,3440,WESTMOUNT,172,239,84,101,190,91,303,2482,128,484,76,1761
Ward 7,1010,ALBERTA AVENUE,295,315,159,171,243,179,396,2797,352,640,271,747
Ward 7,1070,CROMDALE,117,96,29,32,125,34,171,1018,163,182,62,188
Ward 7,1080,DELTON,92,74,29,34,44,53,108,703,73,193,40,479
Ward 7,1100,EASTWOOD,165,211,101,91,95,116,238,1294,252,439,178,1124
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,1130,ELMWOOD PARK,66,53,19,20,18,43,61,409,68,136,35,393
Ward 7,1160,PARKDALE,168,213,60,99,150,113,237,1356,186,334,158,560
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,1240,VIRGINIA PARK,14,21,7,18,22,10,39,212,16,248,10,149
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2010,ABBOTTSFIELD,105,207,78,79,42,84,105,654,113,91,56,275
Ward 7,2020,BALWIN,222,294,129,156,129,140,215,1526,182,479,108,406
Ward 7,2040,BEACON HEIGHTS,131,161,80,88,60,109,214,1366,151,482,103,142
Ward 7,2060,BELLEVUE,42,50,12,15,34,20,71,441,14,105,10,197
Ward 7,2090,BERGMAN,56,109,54,60,52,65,99,680,40,222,21,107
Ward 7,2100,BEVERLY HEIGHTS,88,188,66,60,88,115,222,1395,113,709,84,269
Ward 7,2230,DELWOOD,146,229,95,106,93,119,170,1303,112,787,65,201
Ward 7,2290,GLENGARRY,88,146,82,78,99,98,152,1099,106,605,50,291
Ward 7,2330,HIGHLANDS,122,134,62,53,103,68,198,1202,61,436,32,195
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2400,KILDARE,158,205,81,74,76,94,174,980,97,594,55,379
Ward 7,2420,KILLARNEY,206,307,103,138,101,181,269,1738,159,414,73,538
Ward 7,2550,MONTROSE,116,157,68,93,69,118,211,1177,115,300,114,650
Ward 7,2560,NEWTON,68,151,84,80,95,102,198,1209,99,415,68,335
Ward 7,2580,NORTHMOUNT,93,168,87,91,90,120,158,986,57,666,42,788
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,263,318,116,142,87,146,192,1412,183,387,72,248
Ward 8,5040,BELGRAVIA,91,171,60,59,339,59,175,812,41,307,16,220
Ward 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5200,GARNEAU,112,91,36,32,1904,82,302,2312,177,600,44,4250
Ward 8,5290,MCKERNAN,60,72,28,27,560,35,136,764,39,160,4,900
Ward 8,5330,QUEEN ALEXANDRA,93,103,35,59,554,81,274,1934,132,452,42,1279
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,204,197,94,88,749,172,582,3665,254,653,87,2873
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,30,88,30,40,268,42,96,455,11,201,4,1780
Ward 8,6040,BONNIE DOON,184,242,85,75,276,118,258,1983,129,654,80,607
Ward 8,6061,CAPILANO,77,140,63,66,103,51,144,844,35,417,20,655
Ward 8,6070,CLOVERDALE,25,36,19,19,38,20,62,438,16,119,5,75
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,126,165,82,76,116,79,204,1535,99,639,37,942
Ward 8,6240,FULTON PLACE,68,94,52,50,65,47,133,684,37,427,23,481
Ward 8,6270,GOLD BAR,67,147,54,61,66,76,123,820,48,408,27,815
Ward 8,6310,HOLYROOD,175,202,93,94,117,91,201,1465,97,450,41,450
Ward 8,6320,IDYLWYLDE,44,49,19,25,48,26,80,545,39,322,41,560
Ward 8,6350,KENILWORTH,69,126,61,68,78,72,133,1010,67,520,38,250
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,217
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,203,302,160,171,242,162,347,2211,102,1202,76,807
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6710,STRATHEARN,135,110,32,50,96,62,190,1120,76,498,36,250
Ward 8,6730,TERRACE HEIGHTS,94,96,43,45,69,44,119,910,74,305,54,419
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5080,BRANDER GARDENS,129,200,67,76,138,93,166,895,65,301,21,347
Ward 9,5090,BROOKSIDE,61,184,71,83,92,84,149,695,36,334,8,223
Ward 9,5100,BULYEA HEIGHTS,96,221,108,139,294,145,247,1308,43,555,14,366
Ward 9,5130,CARTER CREST,71,93,55,61,111,56,99,614,24,310,7,178
Ward 9,5190,FALCONER HEIGHTS,62,157,82,69,157,78,109,665,24,399,9,270
Ward 9,5230,HENDERSON ESTATES,63,145,80,87,134,93,148,672,24,295,13,102
Ward 9,5300,OGILVIE RIDGE,13,50,22,39,67,50,98,374,10,171,3,78
Ward 9,5340,RAMSAY HEIGHTS,121,192,87,90,177,112,222,1254,52,468,21,627
Ward 9,5350,RHATIGAN RIDGE,121,257,112,115,230,162,222,1227,27,568,11,204
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5451,RICHFORD,23,39,21,17,39,24,39,218,11,105,1,59
Ward 9,5452,MACEWAN,286,474,142,159,239,242,341,2864,137,380,29,541
Ward 9,5453,BLACKMUD CREEK,139,261,93,83,135,119,165,1121,31,197,17,343
Ward 9,5454,RUTHERFORD,741,947,294,277,376,439,563,4474,166,545,34,1581
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5457,CALLAGHAN,184,178,55,64,80,93,112,958,51,145,6,321
Ward 9,5458,ALLARD,79,98,35,45,51,89,66,634,27,46,0,300
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5462,CHAPPELLE AREA,165,121,27,28,35,84,58,909,11,33,2,134
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,248,330,126,118,159,166,215,1232,48,243,20,254
Ward 9,5477,MACTAGGART,178,241,73,83,92,121,132,952,30,243,5,214
Ward 9,5505,AMBLESIDE,322,214,53,39,88,136,141,1801,39,116,12,531
Ward 9,5511,TWIN BROOKS,217,495,264,301,410,284,417,2597,112,983,35,315
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,471,402,133,152,214,262,249,2353,93,204,8,798
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5577,GLENRIDDING AREA,37,16,3,6,3,16,12,148,3,10,1,80
Ward 9,5590,BLACKBURNE,35,98,47,50,65,44,78,634,19,288,16,76
Ward 9,5610,HADDOW,237,463,181,154,240,190,279,1783,57,527,13,252
Ward 9,5620,HODGSON,116,230,88,105,175,134,140,1081,46,300,13,349
Ward 9,5630,LEGER,106,271,114,143,181,106,139,1060,32,227,8,142
Ward 9,5640,TERWILLEGAR TOWNE,376,686,249,225,303,252,402,2480,88,558,15,957
Ward 9,5642,SOUTH TERWILLEGAR,704,792,222,219,339,390,434,4208,157,323,23,1169
Ward 10,5010,ALLENDALE,94,121,50,67,224,71,139,1245,95,264,40,454
Ward 10,5020,ASPEN GARDENS,45,114,57,70,94,53,131,557,21,303,5,173
Ward 10,5030,BEARSPAW,100,110,47,76,115,75,145,717,27,434,11,241
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,234,327,108,113,265,188,249,1763,149,314,47,825
Ward 10,5070,BLUE QUILL ESTATES,57,91,44,49,76,63,103,532,36,182,2,130
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5160,DUGGAN,251,356,174,175,227,209,332,1705,129,560,46,537
Ward 10,5170,EMPIRE PARK,111,199,92,70,344,146,232,2099,137,274,54,1063
Ward 10,5180,ERMINESKIN,183,210,94,86,197,158,255,1793,132,809,59,1447
