WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,CANADIAN_CITIZEN,NON_CANADIAN_CITIZEN,NO_RESPONSE
Ward 3,3490,GOODRIDGE CORNERS,0,0,1317
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 4,2030,BANNERMAN,2499,226,336
Ward 4,2070,BELMONT,4273,580,467
Ward 4,2080,BELVEDERE,4165,627,654
Ward 4,2110,BRINTNELL,4617,451,679
Ward 4,2120,CANON RIDGE,1700,160,362
Ward 4,2130,CASSELMAN,3107,381,196
Ward 4,2145,CLAREVIEW TOWN CENTRE,2151,701,475
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,1047,15,439
Ward 4,2280,FRASER,2817,183,336
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,2158,157,204
Ward 4,2340,HOLLICK-KENYON,4496,455,634
Ward 4,2350,HOMESTEADER,3011,269,289
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,2646,167,240
Ward 4,2430,KIRKNESS,3320,409,218
Ward 4,2500,MATT BERRY,3637,270,302
Ward 4,2521,MCCONACHIE AREA,2113,345,285
Ward 4,2530,MCLEOD,2108,85,87
Ward 4,2541,MILLER,2491,240,486
Ward 4,2590,OVERLANDERS,2371,232,343
Ward 4,2611,CY BECKER,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,239,4,18
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,162,7,308
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,641,3,41
Ward 4,2710,SIFTON PARK,1491,491,317
Ward 4,2720,YORK,3306,429,337
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0
Ward 5,3270,LAURIER HEIGHTS,2328,94,310
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1809,383,256
Ward 5,4080,CALLINGWOOD SOUTH,3532,1134,1229
Ward 5,4110,DECHENE,1570,72,47
Ward 5,4120,DONSDALE,1083,45,232
Ward 5,4140,ELMWOOD,2162,362,160
Ward 5,4160,GARIEPY,1703,107,94
Ward 5,4220,JAMIESON PLACE,3557,286,108
Ward 5,4270,LYMBURN,4989,472,547
Ward 5,4280,LYNNWOOD,2327,563,614
Ward 5,4360,OLESKIW,2732,112,162
Ward 5,4380,ORMSBY PLACE,4538,531,381
Ward 5,4390,PATRICIA HEIGHTS,1372,206,238
Ward 5,4420,QUESNELL HEIGHTS,347,17,19
Ward 5,4430,RIO TERRACE,1189,43,72
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,462,15,19
Ward 5,4461,THE HAMPTONS,8597,1192,1010
Ward 5,4462,EDGEMONT,100,10,5
Ward 5,4466,CAMERON HEIGHTS,1308,60,94
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,4551,GRANVILLE,662,202,121
Ward 5,4560,THORNCLIFF,2405,772,519
Ward 5,4570,WEDGEWOOD HEIGHTS,1381,59,182
Ward 5,4610,WESTRIDGE,1262,33,43
Ward 5,4720,GLASTONBURY,5467,427,341
Ward 6,1020,BOYLE STREET,3002,759,3152
Ward 6,1030,CENTRAL MCDOUGALL,2824,1371,1470
Ward 6,1090,DOWNTOWN,6864,1887,4397
Ward 6,1140,MCCAULEY,2857,449,1861
Ward 6,1150,OLIVER,12526,1886,4723
Ward 6,1180,QUEEN MARY PARK,3840,1378,2007
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,1767,71,224
Ward 6,1220,ROSSDALE,675,49,121
Ward 6,3200,GLENORA,2916,124,532
Ward 6,3210,GROVENOR,1737,83,562
Ward 6,3300,MCQUEEN,1293,110,413
Ward 6,3310,NORTH GLENORA,1707,117,271
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,3440,WESTMOUNT,3981,347,1783
Ward 7,1010,ALBERTA AVENUE,5255,541,769
Ward 7,1070,CROMDALE,1576,445,196
Ward 7,1080,DELTON,1335,62,525
Ward 7,1100,EASTWOOD,2804,319,1181
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0
Ward 7,1130,ELMWOOD PARK,866,65,390
Ward 7,1160,PARKDALE,2699,357,578
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,1240,VIRGINIA PARK,585,24,157
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 7,2010,ABBOTTSFIELD,1307,261,321
Ward 7,2020,BALWIN,3142,415,429
Ward 7,2040,BEACON HEIGHTS,2685,165,237
Ward 7,2060,BELLEVUE,773,36,202
Ward 7,2090,BERGMAN,1438,40,87
Ward 7,2100,BEVERLY HEIGHTS,3040,142,215
Ward 7,2230,DELWOOD,3090,154,182
Ward 7,2290,GLENGARRY,2418,231,245
Ward 7,2330,HIGHLANDS,2385,84,197
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,2379,202,386
Ward 7,2420,KILLARNEY,3256,403,568
Ward 7,2550,MONTROSE,2284,188,716
Ward 7,2560,NEWTON,2460,143,301
Ward 7,2580,NORTHMOUNT,2362,182,802
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,3147,232,187
Ward 8,5040,BELGRAVIA,1870,208,272
Ward 8,5151,STRATHCONA JUNCTION,0,0,0
Ward 8,5200,GARNEAU,4082,1560,4300
Ward 8,5290,MCKERNAN,1712,172,901
Ward 8,5330,QUEEN ALEXANDRA,3070,616,1352
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
Ward 8,5480,STRATHCONA,5740,1064,2814
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,1115,146,1784
Ward 8,6040,BONNIE DOON,3731,340,620
Ward 8,6061,CAPILANO,1962,25,628
Ward 8,6070,CLOVERDALE,747,52,73
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,2983,222,895
Ward 8,6240,FULTON PLACE,1642,61,458
Ward 8,6270,GOLD BAR,1852,67,793
Ward 8,6310,HOLYROOD,2900,137,439
Ward 8,6320,IDYLWYLDE,1172,80,546
Ward 8,6350,KENILWORTH,2183,106,203
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,217
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,4974,266,745
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,6710,STRATHEARN,2260,162,233
Ward 8,6730,TERRACE HEIGHTS,1650,201,421
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,5080,BRANDER GARDENS,1909,259,330
Ward 9,5090,BROOKSIDE,1698,88,234
Ward 9,5100,BULYEA HEIGHTS,3085,116,335
Ward 9,5130,CARTER CREST,1430,73,176
Ward 9,5190,FALCONER HEIGHTS,1683,137,261
Ward 9,5230,HENDERSON ESTATES,1640,105,111
Ward 9,5300,OGILVIE RIDGE,882,49,44
Ward 9,5340,RAMSAY HEIGHTS,2644,257,522
Ward 9,5350,RHATIGAN RIDGE,2912,185,159
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5451,RICHFORD,499,35,62
Ward 9,5452,MACEWAN,4596,705,533
Ward 9,5453,BLACKMUD CREEK,2187,234,283
Ward 9,5454,RUTHERFORD,7638,1445,1354
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5457,CALLAGHAN,1613,338,296
Ward 9,5458,ALLARD,958,271,241
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5462,CHAPPELLE AREA,1262,239,106
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0
Ward 9,5466,CASHMAN,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,2642,283,234
Ward 9,5477,MACTAGGART,2040,153,171
Ward 9,5505,AMBLESIDE,2632,363,497
Ward 9,5511,TWIN BROOKS,5739,430,261
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,3947,596,796
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0
Ward 9,5577,GLENRIDDING AREA,201,60,74
Ward 9,5590,BLACKBURNE,1321,37,92
Ward 9,5610,HADDOW,3745,382,249
Ward 9,5620,HODGSON,2121,261,395
Ward 9,5630,LEGER,2057,353,119
Ward 9,5640,TERWILLEGAR TOWNE,5205,504,882
Ward 9,5642,SOUTH TERWILLEGAR,6762,1181,1037
Ward 10,5010,ALLENDALE,2134,233,497
Ward 10,5020,ASPEN GARDENS,1335,90,198
Ward 10,5030,BEARSPAW,1794,90,214
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,2525,1239,818
Ward 10,5070,BLUE QUILL ESTATES,952,304,109
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,3226,965,510
Ward 10,5170,EMPIRE PARK,2829,1020,972
Ward 10,5180,ERMINESKIN,2978,899,1546
Ward 10,5210,GRANDVIEW HEIGHTS,783,46,315
Ward 10,5220,GREENFIELD,3019,207,390
Ward 10,5250,KEHEEWIN,2221,257,373
Ward 10,5260,LANSDOWNE,798,89,330
Ward 10,5270,LENDRUM PLACE,1351,135,397
Ward 10,5280,MALMO PLAINS,1658,829,726
Ward 10,5310,PARKALLEN,1677,133,493
Ward 10,5320,PLEASANTVIEW,3019,553,657
Ward 10,5360,RIDEAU PARK,1416,226,433
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,5430,ROYAL GARDENS,2516,583,437
Ward 10,5460,SKYRATTLER,1482,141,493
Ward 10,5470,STEINHAUER,1699,151,263
Ward 10,5490,SWEET GRASS,2123,391,271
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,928,191,88
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,715,36,63
Ward 11,6020,AVONMORE,1867,94,244
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6200,EKOTA,2275,394,72
Ward 11,6250,GAINER INDUSTRIAL,284,7,6
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0
Ward 11,6280,GREENVIEW,2538,249,241
Ward 11,6290,HAZELDEAN,2695,194,369
Ward 11,6300,HILLVIEW,2936,367,271
Ward 11,6340,KAMEYOSEK,1945,426,585
Ward 11,6360,KING EDWARD PARK,3315,353,829
Ward 11,6400,LEE RIDGE,2267,483,69
Ward 11,6410,MAPLE RIDGE,1725,46,34
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,52,3,1
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,2221,117,200
Ward 11,6460,MEYOKUMIN,2433,344,316
Ward 11,6470,MEYONOHK,2416,333,232
Ward 11,6480,MICHAELS PARK,1931,243,25
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,735,263,311
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,2892,587,144
Ward 11,6610,RITCHIE,3286,310,647
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,3413,474,168
Ward 11,6680,SATOO,2799,325,390
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,1462,258,195
Ward 11,6750,TIPASKAN,2044,777,316
Ward 11,6760,TWEDDLE PLACE,2480,774,64
Ward 11,6780,WEIR INDUSTRIAL,66,1,3
Ward 12,6030,BISSET,2506,686,625
Ward 12,6140,CRAWFORD PLAINS,3756,453,296
Ward 12,6150,DALY GROVE,3032,446,158
Ward 12,6211,ELLERSLIE,4428,909,609
Ward 12,6213,SUMMERSIDE,7916,1169,2229
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,597,132,53
Ward 12,6330,JACKSON HEIGHTS,3518,359,226
Ward 12,6370,KINISKI GARDENS,5754,586,412
Ward 12,6390,LARKSPUR,4136,552,434
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6441,MAPLE,199,59,51
Ward 12,6442,SILVER BERRY,6190,1479,943
Ward 12,6443,TAMARACK,2615,708,215
Ward 12,6444,LAUREL,2466,1231,401
Ward 12,6530,MINCHAU,2689,445,190
Ward 12,6580,POLLARD MEADOWS,3114,730,857
Ward 12,6660,RURAL SOUTH EAST,197,1,43
Ward 12,6661,CHARLESWORTH,3103,642,424
Ward 12,6662,WALKER,3026,1115,283
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6770,WEINLOS,2562,547,379
Ward 12,6790,WILD ROSE,6387,1222,784
