WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,CAR/TRUCK/VAN_(AS_DRIVER),CAR/TRUCK/VAN_(AS_PASSENGER),TRANSIT,WALK,BICYCLE,OTHER,NO_RESPONSE
Ward 3,2440,KLARVATTEN,2596,184,464,28,13,67,700
Ward 3,2450,LAGO LINDO,1944,147,310,14,4,64,665
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0
Ward 3,2511,MAYLIEWAN,1873,143,258,19,4,47,952
Ward 3,2600,OZERNA,1988,181,321,11,3,81,971
Ward 3,2700,SCHONSEE,1039,87,97,1,2,21,483
Ward 3,3030,BATURYN,1996,169,331,31,2,65,1117
Ward 3,3040,BEAUMARIS,1727,118,275,46,5,70,1281
Ward 3,3080,CANOSSA,1443,106,171,7,2,37,397
Ward 3,3120,CHAMBERY,956,66,82,4,3,31,319
Ward 3,3180,DUNLUCE,2448,307,530,31,4,73,862
Ward 3,3190,ELSINORE,1005,78,123,3,2,47,522
Ward 3,3280,LORELEI,1568,112,307,27,3,67,921
Ward 3,3370,RAPPERSWILL,442,21,52,4,1,15,112
Ward 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0
Ward 4,2030,BANNERMAN,1117,69,315,31,3,61,529
Ward 4,2070,BELMONT,2000,177,507,79,2,124,1040
Ward 4,2080,BELVEDERE,1654,168,631,77,7,61,1215
Ward 4,2110,BRINTNELL,2544,151,412,28,1,63,743
Ward 4,2120,CANON RIDGE,961,54,188,5,1,40,345
Ward 4,2130,CASSELMAN,1358,112,432,23,2,57,777
Ward 4,2145,CLAREVIEW TOWN CENTRE,1018,83,618,70,2,42,446
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,390,35,57,1,0,11,369
Ward 4,2280,FRASER,1377,84,331,14,3,64,481
Ward 4,2311,GORMAN,0,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,920,86,236,23,8,25,502
Ward 4,2340,HOLLICK-KENYON,2438,148,404,48,3,65,782
Ward 4,2350,HOMESTEADER,1352,126,344,46,4,53,565
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,1231,84,261,23,4,52,664
Ward 4,2430,KIRKNESS,1558,95,425,12,3,69,708
Ward 4,2500,MATT BERRY,1803,158,332,32,7,67,827
Ward 4,2521,MCCONACHIE AREA,1271,82,193,13,1,25,293
Ward 4,2530,MCLEOD,1013,87,147,25,4,27,585
Ward 4,2541,MILLER,1156,115,267,12,5,30,627
Ward 4,2590,OVERLANDERS,1256,97,259,12,3,47,486
Ward 4,2611,CY BECKER,0,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,110,13,4,6,0,6,71
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,80,8,2,4,0,7,52
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,331,29,24,18,0,6,124
Ward 4,2710,SIFTON PARK,644,95,257,75,3,32,375
Ward 4,2720,YORK,1411,155,382,67,5,61,895
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1119,75,116,31,27,57,661
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,979,71,278,42,7,46,357
Ward 5,4080,CALLINGWOOD SOUTH,1776,196,512,79,7,80,944
Ward 5,4110,DECHENE,881,62,110,25,4,33,343
Ward 5,4120,DONSDALE,606,50,47,4,1,27,251
Ward 5,4140,ELMWOOD,1049,78,275,105,12,50,529
Ward 5,4160,GARIEPY,889,63,81,19,3,64,402
Ward 5,4220,JAMIESON PLACE,2008,161,315,47,10,78,628
Ward 5,4270,LYMBURN,2612,220,527,42,2,89,1011
Ward 5,4280,LYNNWOOD,1151,80,392,44,4,49,659
Ward 5,4360,OLESKIW,1452,105,104,20,9,73,761
Ward 5,4380,ORMSBY PLACE,2358,176,448,53,15,90,976
Ward 5,4390,PATRICIA HEIGHTS,671,57,194,16,10,26,317
Ward 5,4420,QUESNELL HEIGHTS,185,11,15,0,2,9,92
Ward 5,4430,RIO TERRACE,549,44,80,8,11,39,298
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,255,24,1,2,1,11,112
Ward 5,4461,THE HAMPTONS,5158,407,654,75,8,156,1043
Ward 5,4462,EDGEMONT,56,3,3,0,0,1,29
Ward 5,4466,CAMERON HEIGHTS,715,30,35,2,2,34,179
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0
Ward 5,4551,GRANVILLE,407,36,96,8,0,16,109
Ward 5,4560,THORNCLIFF,1131,105,472,184,8,55,534
Ward 5,4570,WEDGEWOOD HEIGHTS,777,53,71,4,0,50,301
Ward 5,4610,WESTRIDGE,650,34,58,17,5,29,316
Ward 5,4720,GLASTONBURY,3100,262,481,32,3,95,737
Ward 6,1020,BOYLE STREET,1087,91,636,158,23,78,956
Ward 6,1030,CENTRAL MCDOUGALL,1194,200,1177,237,57,47,283
Ward 6,1090,DOWNTOWN,2492,162,1440,1940,72,170,1999
Ward 6,1140,MCCAULEY,927,125,713,202,38,33,549
Ward 6,1150,OLIVER,5125,381,2786,1808,182,248,2775
Ward 6,1180,QUEEN MARY PARK,2051,170,1028,279,51,83,689
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,816,43,173,160,48,39,283
Ward 6,1220,ROSSDALE,347,32,51,98,7,9,114
Ward 6,3200,GLENORA,1409,85,184,85,38,71,685
Ward 6,3210,GROVENOR,818,65,163,32,22,47,330
Ward 6,3300,MCQUEEN,585,45,98,72,13,23,340
Ward 6,3310,NORTH GLENORA,795,56,174,51,31,41,334
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0
Ward 6,3440,WESTMOUNT,1939,233,584,188,112,91,587
Ward 7,1010,ALBERTA AVENUE,2189,262,837,140,71,80,1000
Ward 7,1070,CROMDALE,791,85,535,26,10,23,120
Ward 7,1080,DELTON,613,49,119,20,5,25,333
Ward 7,1100,EASTWOOD,984,128,476,49,18,48,670
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0
Ward 7,1130,ELMWOOD PARK,354,36,75,13,3,12,213
Ward 7,1160,PARKDALE,1069,125,451,65,24,35,578
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0
Ward 7,1240,VIRGINIA PARK,208,27,48,5,3,12,253
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0
Ward 7,2010,ABBOTTSFIELD,515,55,168,22,1,7,364
Ward 7,2020,BALWIN,1364,143,287,48,3,45,880
Ward 7,2040,BEACON HEIGHTS,1294,98,273,27,3,39,661
Ward 7,2060,BELLEVUE,398,28,94,14,12,12,140
Ward 7,2090,BERGMAN,700,62,111,8,4,30,317
Ward 7,2100,BEVERLY HEIGHTS,1335,138,283,50,18,50,780
Ward 7,2230,DELWOOD,1251,77,220,36,10,55,1022
Ward 7,2290,GLENGARRY,1050,109,219,40,12,65,717
Ward 7,2330,HIGHLANDS,1128,83,211,32,37,106,524
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0
Ward 7,2400,KILDARE,925,80,228,49,12,54,724
Ward 7,2420,KILLARNEY,1192,479,376,86,11,45,754
Ward 7,2550,MONTROSE,962,97,321,55,10,43,548
Ward 7,2560,NEWTON,1154,84,248,17,7,48,625
Ward 7,2580,NORTHMOUNT,975,80,180,22,3,57,881
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,1326,101,368,35,7,32,609
Ward 8,5040,BELGRAVIA,648,36,297,166,67,62,535
Ward 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0
Ward 8,5200,GARNEAU,1256,89,805,1113,117,94,1794
Ward 8,5290,MCKERNAN,557,30,360,245,64,40,414
Ward 8,5330,QUEEN ALEXANDRA,1327,72,698,311,145,61,769
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,2623,141,1294,662,228,140,915
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,334,20,71,202,37,50,418
Ward 8,6040,BONNIE DOON,1667,123,532,154,54,90,827
Ward 8,6061,CAPILANO,934,62,157,43,21,56,415
Ward 8,6070,CLOVERDALE,412,43,35,32,16,35,142
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1440,155,325,43,30,67,669
Ward 8,6240,FULTON PLACE,741,66,143,46,14,39,409
Ward 8,6270,GOLD BAR,873,59,184,28,10,47,407
Ward 8,6310,HOLYROOD,1382,86,299,63,45,53,583
Ward 8,6320,IDYLWYLDE,482,44,147,29,17,29,317
Ward 8,6350,KENILWORTH,1023,83,165,37,16,41,575
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,2235,171,436,169,35,142,1305
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0
Ward 8,6710,STRATHEARN,1016,66,251,52,31,49,583
Ward 8,6730,TERRACE HEIGHTS,807,78,150,72,16,35,376
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0
Ward 9,5080,BRANDER GARDENS,931,44,201,20,4,61,474
Ward 9,5090,BROOKSIDE,797,44,124,21,17,51,452
Ward 9,5100,BULYEA HEIGHTS,1534,123,304,10,15,104,705
Ward 9,5130,CARTER CREST,717,52,102,21,1,52,361
Ward 9,5190,FALCONER HEIGHTS,714,60,146,10,5,60,562
Ward 9,5230,HENDERSON ESTATES,822,84,150,13,4,69,367
Ward 9,5300,OGILVIE RIDGE,471,30,53,4,6,39,218
Ward 9,5340,RAMSAY HEIGHTS,1306,91,301,26,19,96,569
Ward 9,5350,RHATIGAN RIDGE,1422,89,271,17,7,78,750
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0
Ward 9,5451,RICHFORD,259,25,39,1,0,13,125
Ward 9,5452,MACEWAN,2740,184,748,22,3,118,551
Ward 9,5453,BLACKMUD CREEK,1132,115,227,14,4,47,373
Ward 9,5454,RUTHERFORD,4265,273,962,55,9,159,1242
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0
Ward 9,5457,CALLAGHAN,968,65,204,7,0,34,229
Ward 9,5458,ALLARD,637,39,149,0,0,11,129
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0
Ward 9,5462,CHAPPELLE AREA,900,36,111,1,1,64,60
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0,0,0,0,0
Ward 9,5466,CASHMAN,0,0,0,0,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,1329,138,241,25,2,137,387
Ward 9,5477,MACTAGGART,1040,85,167,6,0,47,350
Ward 9,5505,AMBLESIDE,1782,107,196,36,1,54,198
Ward 9,5511,TWIN BROOKS,2786,226,641,24,5,137,1436
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,2444,201,234,26,5,105,549
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0,0,0,0,0
Ward 9,5577,GLENRIDDING AREA,150,18,13,0,0,12,5
Ward 9,5590,BLACKBURNE,699,78,137,4,1,28,258
Ward 9,5610,HADDOW,1871,157,304,17,10,133,860
Ward 9,5620,HODGSON,1098,80,210,20,4,54,557
Ward 9,5630,LEGER,1079,74,171,56,4,47,538
Ward 9,5640,TERWILLEGAR TOWNE,2610,159,455,69,12,107,1054
Ward 9,5642,SOUTH TERWILLEGAR,3994,248,739,37,16,113,984
Ward 10,5010,ALLENDALE,1010,62,348,83,77,21,458
Ward 10,5020,ASPEN GARDENS,608,47,138,32,17,39,383
Ward 10,5030,BEARSPAW,840,70,246,7,8,50,387
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,1401,95,688,58,10,62,682
Ward 10,5070,BLUE QUILL ESTATES,574,54,207,7,2,18,186
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0
Ward 10,5160,DUGGAN,1517,134,565,104,27,87,948
Ward 10,5170,EMPIRE PARK,1405,175,667,213,24,62,709
Ward 10,5180,ERMINESKIN,1344,114,701,84,13,90,1044
Ward 10,5210,GRANDVIEW HEIGHTS,346,32,86,19,19,22,157
Ward 10,5220,GREENFIELD,1336,86,287,77,42,86,872
Ward 10,5250,KEHEEWIN,1021,82,294,24,3,57,681
Ward 10,5260,LANSDOWNE,383,26,104,16,21,29,178
Ward 10,5270,LENDRUM PLACE,513,45,218,56,26,29,375
Ward 10,5280,MALMO PLAINS,653,60,419,37,16,39,624
Ward 10,5310,PARKALLEN,651,42,323,143,88,36,291
Ward 10,5320,PLEASANTVIEW,1227,206,635,122,53,68,803
Ward 10,5360,RIDEAU PARK,596,55,194,53,7,29,506
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1063,94,386,85,16,50,817
Ward 10,5460,SKYRATTLER,727,43,244,22,3,31,334
Ward 10,5470,STEINHAUER,751,74,219,23,13,53,420
Ward 10,5490,SWEET GRASS,1117,64,344,22,6,34,420
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,515,55,102,33,5,19,195
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0
Ward 11,6010,ARGYLL,341,19,54,16,15,21,162
Ward 11,6020,AVONMORE,897,74,189,27,30,40,461
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0
Ward 11,6200,EKOTA,1115,105,211,29,8,39,578
Ward 11,6250,GAINER INDUSTRIAL,180,5,17,2,2,3,62
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6280,GREENVIEW,1468,129,360,15,10,52,282
Ward 11,6290,HAZELDEAN,1309,121,262,76,62,64,519
Ward 11,6300,HILLVIEW,1646,110,364,56,6,67,420
Ward 11,6340,KAMEYOSEK,862,58,285,37,2,34,613
Ward 11,6360,KING EDWARD PARK,1617,93,468,115,56,82,645
Ward 11,6400,LEE RIDGE,1066,109,382,22,4,42,541
Ward 11,6410,MAPLE RIDGE,885,59,79,11,1,16,374
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,16,4,0,1,0,4,20
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6450,MENISA,1215,68,150,16,3,40,455
Ward 11,6460,MEYOKUMIN,1290,199,355,35,3,39,283
Ward 11,6470,MEYONOHK,1236,137,224,25,8,53,492
Ward 11,6480,MICHAELS PARK,960,65,224,23,6,33,463
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,309,33,134,39,2,24,338
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,1261,84,346,44,10,44,801
Ward 11,6610,RITCHIE,1702,124,482,151,106,62,529
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6670,SAKAW,1813,159,299,15,7,80,750
Ward 11,6680,SATOO,1433,104,227,31,6,42,712
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0
Ward 11,6720,TAWA,691,60,136,39,0,53,522
Ward 11,6750,TIPASKAN,1025,100,355,37,7,58,565
Ward 11,6760,TWEDDLE PLACE,1347,118,353,46,8,61,656
Ward 11,6780,WEIR INDUSTRIAL,33,2,3,1,0,1,11
Ward 12,6030,BISSET,1577,136,323,15,3,46,494
Ward 12,6140,CRAWFORD PLAINS,2119,107,272,33,6,80,786
Ward 12,6150,DALY GROVE,1599,127,290,32,3,94,571
Ward 12,6211,ELLERSLIE,2765,156,405,32,10,79,761
Ward 12,6213,SUMMERSIDE,4642,336,549,43,19,151,1201
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,419,13,55,3,3,10,61
Ward 12,6330,JACKSON HEIGHTS,1859,210,258,10,7,83,773
Ward 12,6370,KINISKI GARDENS,3202,313,521,33,12,106,980
Ward 12,6390,LARKSPUR,2398,195,360,37,8,83,756
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0,0
Ward 12,6441,MAPLE,145,6,6,0,0,4,33
Ward 12,6442,SILVER BERRY,3596,314,567,29,6,71,1185
Ward 12,6443,TAMARACK,1713,101,226,43,2,49,351
Ward 12,6444,LAUREL,1648,162,268,9,1,44,714
Ward 12,6530,MINCHAU,1604,175,372,29,3,43,295
Ward 12,6580,POLLARD MEADOWS,1635,206,345,64,5,57,734
Ward 12,6660,RURAL SOUTH EAST,167,4,0,6,0,3,19
Ward 12,6661,CHARLESWORTH,1899,87,218,5,2,86,561
Ward 12,6662,WALKER,2031,120,449,3,2,61,556
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0
Ward 12,6770,WEINLOS,1368,148,263,46,3,50,685
Ward 12,6790,WILD ROSE,3829,318,581,61,3,95,1156
