NEIGHBOURHOOD,STRUCTURE_TYPE,POPULATION
AMBLESIDE,Manufactured home/mobile home,0
AMBLESIDE,Rooming house/collective residence,0
AMBLESIDE,Hotel or motel,0
AMBLESIDE,Other residential,0
AMBLESIDE,No Response,0
ANTHONY HENDAY,Single-detached house,0
ANTHONY HENDAY,Duplex/triplex/fourplex,0
ANTHONY HENDAY,Row house,0
ANTHONY HENDAY,Apartment with 5 or more stories,0
ANTHONY HENDAY,Apartment with less than 5 stories,0
ANTHONY HENDAY,Manufactured home/mobile home,0
ANTHONY HENDAY,Rooming house/collective residence,0
ANTHONY HENDAY,Hotel or motel,0
ANTHONY HENDAY,Other residential,0
ANTHONY HENDAY,No Response,0
ANTHONY HENDAY SOUTH,Single-detached house,0
ANTHONY HENDAY SOUTH,Duplex/triplex/fourplex,0
ANTHONY HENDAY SOUTH,Row house,0
ANTHONY HENDAY SOUTH,Apartment with 5 or more stories,0
ANTHONY HENDAY SOUTH,Apartment with less than 5 stories,0
ANTHONY HENDAY SOUTH,Manufactured home/mobile home,0
ANTHONY HENDAY SOUTH,Rooming house/collective residence,0
ANTHONY HENDAY SOUTH,Hotel or motel,0
ANTHONY HENDAY SOUTH,Other residential,0
ANTHONY HENDAY SOUTH,No Response,0
ANTHONY HENDAY SOUTH WEST,Single-detached house,0
ANTHONY HENDAY SOUTH WEST,Duplex/triplex/fourplex,0
ANTHONY HENDAY SOUTH WEST,Row house,0
ANTHONY HENDAY SOUTH WEST,Apartment with 5 or more stories,0
ANTHONY HENDAY SOUTH WEST,Apartment with less than 5 stories,0
ANTHONY HENDAY SOUTH WEST,Manufactured home/mobile home,0
ANTHONY HENDAY SOUTH WEST,Rooming house/collective residence,0
ANTHONY HENDAY SOUTH WEST,Hotel or motel,0
ANTHONY HENDAY SOUTH WEST,Other residential,0
ANTHONY HENDAY SOUTH WEST,No Response,0
ANTHONY HENDAY SOUTHEAST,Single-detached house,0
ANTHONY HENDAY SOUTHEAST,Duplex/triplex/fourplex,0
ANTHONY HENDAY SOUTHEAST,Row house,0
ANTHONY HENDAY SOUTHEAST,Apartment with 5 or more stories,0
ANTHONY HENDAY SOUTHEAST,Apartment with less than 5 stories,0
ANTHONY HENDAY SOUTHEAST,Manufactured home/mobile home,0
ANTHONY HENDAY SOUTHEAST,Rooming house/collective residence,0
ANTHONY HENDAY SOUTHEAST,Hotel or motel,0
ANTHONY HENDAY SOUTHEAST,Other residential,0
ANTHONY HENDAY SOUTHEAST,No Response,0
ANTHONY HENDAY TERWILLEGAR,Single-detached house,0
ANTHONY HENDAY TERWILLEGAR,Duplex/triplex/fourplex,0
ANTHONY HENDAY TERWILLEGAR,Row house,0
ANTHONY HENDAY TERWILLEGAR,Apartment with 5 or more stories,0
ANTHONY HENDAY TERWILLEGAR,Apartment with less than 5 stories,0
ANTHONY HENDAY TERWILLEGAR,Manufactured home/mobile home,0
ANTHONY HENDAY TERWILLEGAR,Rooming house/collective residence,0
ANTHONY HENDAY TERWILLEGAR,Hotel or motel,0
ANTHONY HENDAY TERWILLEGAR,Other residential,0
ANTHONY HENDAY TERWILLEGAR,No Response,0
ARGYLL,Single-detached house,798
ARGYLL,Duplex/triplex/fourplex,14
ARGYLL,Row house,0
ARGYLL,Apartment with 5 or more stories,0
ARGYLL,Apartment with less than 5 stories,0
ARGYLL,Manufactured home/mobile home,0
ARGYLL,Rooming house/collective residence,0
ARGYLL,Hotel or motel,0
ARGYLL,Other residential,0
ARGYLL,No Response,0
ARMSTRONG INDUSTRIAL,Single-detached house,0
ARMSTRONG INDUSTRIAL,Duplex/triplex/fourplex,0
ARMSTRONG INDUSTRIAL,Row house,0
ARMSTRONG INDUSTRIAL,Apartment with 5 or more stories,0
ARMSTRONG INDUSTRIAL,Apartment with less than 5 stories,0
ARMSTRONG INDUSTRIAL,Manufactured home/mobile home,0
ARMSTRONG INDUSTRIAL,Rooming house/collective residence,128
ARMSTRONG INDUSTRIAL,Hotel or motel,12
ARMSTRONG INDUSTRIAL,Other residential,0
ARMSTRONG INDUSTRIAL,No Response,0
ASPEN GARDENS,Single-detached house,1431
ASPEN GARDENS,Duplex/triplex/fourplex,0
ASPEN GARDENS,Row house,0
ASPEN GARDENS,Apartment with 5 or more stories,0
ASPEN GARDENS,Apartment with less than 5 stories,238
ASPEN GARDENS,Manufactured home/mobile home,0
ASPEN GARDENS,Rooming house/collective residence,0
ASPEN GARDENS,Hotel or motel,0
ASPEN GARDENS,Other residential,0
ASPEN GARDENS,No Response,0
ATHLONE,Single-detached house,2685
ATHLONE,Duplex/triplex/fourplex,56
ATHLONE,Row house,375
ATHLONE,Apartment with 5 or more stories,0
ATHLONE,Apartment with less than 5 stories,23
ATHLONE,Manufactured home/mobile home,0
ATHLONE,Rooming house/collective residence,0
ATHLONE,Hotel or motel,0
ATHLONE,Other residential,0
ATHLONE,No Response,0
AVONMORE,Single-detached house,1956
AVONMORE,Duplex/triplex/fourplex,27
AVONMORE,Row house,0
AVONMORE,Apartment with 5 or more stories,2
AVONMORE,Apartment with less than 5 stories,156
AVONMORE,Manufactured home/mobile home,0
AVONMORE,Rooming house/collective residence,0
AVONMORE,Hotel or motel,0
AVONMORE,Other residential,0
AVONMORE,No Response,0
BALWIN,Single-detached house,2582
BALWIN,Duplex/triplex/fourplex,533
BALWIN,Row house,169
BALWIN,Apartment with 5 or more stories,3
BALWIN,Apartment with less than 5 stories,828
BALWIN,Manufactured home/mobile home,0
BALWIN,Rooming house/collective residence,23
BALWIN,Hotel or motel,0
BALWIN,Other residential,0
BALWIN,No Response,0
BANNERMAN,Single-detached house,1526
BANNERMAN,Duplex/triplex/fourplex,0
BANNERMAN,Row house,1159
BANNERMAN,Apartment with 5 or more stories,0
BANNERMAN,Apartment with less than 5 stories,385
BANNERMAN,Manufactured home/mobile home,0
BANNERMAN,Rooming house/collective residence,0
BANNERMAN,Hotel or motel,0
BANNERMAN,Other residential,0
BANNERMAN,No Response,0
BARANOW,Single-detached house,4
BARANOW,Duplex/triplex/fourplex,185
BARANOW,Row house,0
BARANOW,Apartment with 5 or more stories,0
BARANOW,Apartment with less than 5 stories,587
BARANOW,Manufactured home/mobile home,0
BARANOW,Rooming house/collective residence,123
BARANOW,Hotel or motel,0
BARANOW,Other residential,0
BARANOW,No Response,0
BATURYN,Single-detached house,3502
BATURYN,Duplex/triplex/fourplex,589
BATURYN,Row house,804
BATURYN,Apartment with 5 or more stories,0
BATURYN,Apartment with less than 5 stories,0
BATURYN,Manufactured home/mobile home,0
BATURYN,Rooming house/collective residence,0
BATURYN,Hotel or motel,0
BATURYN,Other residential,0
BATURYN,No Response,0
BEACON HEIGHTS,Single-detached house,2351
BEACON HEIGHTS,Duplex/triplex/fourplex,385
BEACON HEIGHTS,Row house,28
BEACON HEIGHTS,Apartment with 5 or more stories,2
BEACON HEIGHTS,Apartment with less than 5 stories,196
BEACON HEIGHTS,Manufactured home/mobile home,0
BEACON HEIGHTS,Rooming house/collective residence,0
SAKAW,Row house,543
BEACON HEIGHTS,Hotel or motel,22
BEACON HEIGHTS,Other residential,0
BEACON HEIGHTS,No Response,0
BEARSPAW,Single-detached house,1768
BEARSPAW,Duplex/triplex/fourplex,288
BEARSPAW,Row house,158
BEARSPAW,Apartment with 5 or more stories,0
BEARSPAW,Apartment with less than 5 stories,0
BEARSPAW,Manufactured home/mobile home,0
BEARSPAW,Rooming house/collective residence,0
BEARSPAW,Hotel or motel,0
BEARSPAW,Other residential,2
BEARSPAW,No Response,0
BEAUMARIS,Single-detached house,2582
BEAUMARIS,Duplex/triplex/fourplex,450
BEAUMARIS,Row house,452
BEAUMARIS,Apartment with 5 or more stories,3
BEAUMARIS,Apartment with less than 5 stories,1073
BEAUMARIS,Manufactured home/mobile home,0
BEAUMARIS,Rooming house/collective residence,0
BEAUMARIS,Hotel or motel,0
BEAUMARIS,Other residential,0
BEAUMARIS,No Response,0
BELGRAVIA,Single-detached house,1889
BELGRAVIA,Duplex/triplex/fourplex,8
BELGRAVIA,Row house,0
BELGRAVIA,Apartment with 5 or more stories,0
BELGRAVIA,Apartment with less than 5 stories,283
BELGRAVIA,Manufactured home/mobile home,0
BELGRAVIA,Rooming house/collective residence,0
BELGRAVIA,Hotel or motel,0
BELGRAVIA,Other residential,0
BELGRAVIA,No Response,0
BELLE RIVE,Single-detached house,3603
BELLE RIVE,Duplex/triplex/fourplex,256
BELLE RIVE,Row house,62
BELLE RIVE,Apartment with 5 or more stories,0
BELLE RIVE,Apartment with less than 5 stories,0
BELLE RIVE,Manufactured home/mobile home,0
BELLE RIVE,Rooming house/collective residence,0
BELLE RIVE,Hotel or motel,0
BELLE RIVE,Other residential,0
BELLE RIVE,No Response,0
BELLEVUE,Single-detached house,1010
BELLEVUE,Duplex/triplex/fourplex,9
BELLEVUE,Row house,0
BELLEVUE,Apartment with 5 or more stories,0
BELLEVUE,Apartment with less than 5 stories,36
BELLEVUE,Manufactured home/mobile home,0
BELLEVUE,Rooming house/collective residence,0
BELLEVUE,Hotel or motel,0
BELLEVUE,Other residential,0
BELLEVUE,No Response,0
BELMEAD,Single-detached house,2400
BELMEAD,Duplex/triplex/fourplex,259
BELMEAD,Row house,1380
BELMEAD,Apartment with 5 or more stories,0
BELMEAD,Apartment with less than 5 stories,449
BELMEAD,Manufactured home/mobile home,0
BELMEAD,Rooming house/collective residence,0
BELMEAD,Hotel or motel,0
BELMEAD,Other residential,0
BELMEAD,No Response,0
BELMONT,Single-detached house,2202
BELMONT,Duplex/triplex/fourplex,726
BELMONT,Row house,1630
BELMONT,Apartment with 5 or more stories,2
BELMONT,Apartment with less than 5 stories,546
BELMONT,Manufactured home/mobile home,0
BELMONT,Rooming house/collective residence,0
BELMONT,Hotel or motel,6
BELMONT,Other residential,0
BELMONT,No Response,0
BELVEDERE,Single-detached house,2301
BELVEDERE,Duplex/triplex/fourplex,526
BELVEDERE,Row house,328
BELVEDERE,Apartment with 5 or more stories,361
BELVEDERE,Apartment with less than 5 stories,1457
BELVEDERE,Manufactured home/mobile home,0
BELVEDERE,Rooming house/collective residence,0
BELVEDERE,Hotel or motel,1
BELVEDERE,Other residential,0
BELVEDERE,No Response,0
BERGMAN,Single-detached house,1373
BERGMAN,Duplex/triplex/fourplex,60
BERGMAN,Row house,0
BERGMAN,Apartment with 5 or more stories,0
BERGMAN,Apartment with less than 5 stories,0
BERGMAN,Manufactured home/mobile home,0
BERGMAN,Rooming house/collective residence,0
BERGMAN,Hotel or motel,0
BERGMAN,Other residential,0
BERGMAN,No Response,0
BEVERLY HEIGHTS,Single-detached house,2727
BEVERLY HEIGHTS,Duplex/triplex/fourplex,138
BEVERLY HEIGHTS,Row house,0
BEVERLY HEIGHTS,Apartment with 5 or more stories,11
BEVERLY HEIGHTS,Apartment with less than 5 stories,494
BEVERLY HEIGHTS,Manufactured home/mobile home,0
BEVERLY HEIGHTS,Rooming house/collective residence,0
BEVERLY HEIGHTS,Hotel or motel,5
BEVERLY HEIGHTS,Other residential,0
BEVERLY HEIGHTS,No Response,0
BISSET,Single-detached house,2632
BISSET,Duplex/triplex/fourplex,57
BISSET,Row house,609
BISSET,Apartment with 5 or more stories,0
BISSET,Apartment with less than 5 stories,675
BISSET,Manufactured home/mobile home,0
BISSET,Rooming house/collective residence,7
BISSET,Hotel or motel,0
BISSET,Other residential,0
BISSET,No Response,0
BLACKBURNE,Single-detached house,1171
BLACKBURNE,Duplex/triplex/fourplex,252
BLACKBURNE,Row house,0
BLACKBURNE,Apartment with 5 or more stories,0
BLACKBURNE,Apartment with less than 5 stories,87
BLACKBURNE,Manufactured home/mobile home,0
BLACKBURNE,Rooming house/collective residence,0
BLACKBURNE,Hotel or motel,0
BLACKBURNE,Other residential,0
BLACKBURNE,No Response,0
BLACKMUD CREEK,Single-detached house,2067
BLACKMUD CREEK,Duplex/triplex/fourplex,103
BLACKMUD CREEK,Row house,0
BLACKMUD CREEK,Apartment with 5 or more stories,0
BLACKMUD CREEK,Apartment with less than 5 stories,391
BLACKMUD CREEK,Manufactured home/mobile home,0
BLACKMUD CREEK,Rooming house/collective residence,0
BLACKMUD CREEK,Hotel or motel,0
BLACKMUD CREEK,Other residential,0
BLACKMUD CREEK,No Response,0
BLUE QUILL,Single-detached house,1487
BLUE QUILL,Duplex/triplex/fourplex,312
BLUE QUILL,Row house,522
BLUE QUILL,Apartment with 5 or more stories,1
BLUE QUILL,Apartment with less than 5 stories,2159
BLUE QUILL,Manufactured home/mobile home,0
BLUE QUILL,Rooming house/collective residence,0
BLUE QUILL,Hotel or motel,0
BLUE QUILL,Other residential,0
BLUE QUILL,No Response,0
BLUE QUILL ESTATES,Single-detached house,706
BLUE QUILL ESTATES,Duplex/triplex/fourplex,31
BLUE QUILL ESTATES,Row house,197
BLUE QUILL ESTATES,Apartment with 5 or more stories,0
BLUE QUILL ESTATES,Apartment with less than 5 stories,470
BLUE QUILL ESTATES,Manufactured home/mobile home,0
BLUE QUILL ESTATES,Rooming house/collective residence,0
BLUE QUILL ESTATES,Hotel or motel,0
BLUE QUILL ESTATES,Other residential,0
BLUE QUILL ESTATES,No Response,0
BONAVENTURE INDUSTRIAL,Single-detached house,0
BONAVENTURE INDUSTRIAL,Duplex/triplex/fourplex,0
BONAVENTURE INDUSTRIAL,Row house,0
BONAVENTURE INDUSTRIAL,Apartment with 5 or more stories,0
BONAVENTURE INDUSTRIAL,Apartment with less than 5 stories,0
BONAVENTURE INDUSTRIAL,Manufactured home/mobile home,0
BONAVENTURE INDUSTRIAL,Rooming house/collective residence,0
BONAVENTURE INDUSTRIAL,Hotel or motel,0
BONAVENTURE INDUSTRIAL,Other residential,0
BONAVENTURE INDUSTRIAL,No Response,0
BONNIE DOON,Single-detached house,2416
BONNIE DOON,Duplex/triplex/fourplex,899
BONNIE DOON,Row house,0
BONNIE DOON,Apartment with 5 or more stories,179
BONNIE DOON,Apartment with less than 5 stories,669
BONNIE DOON,Manufactured home/mobile home,0
BONNIE DOON,Rooming house/collective residence,35
BONNIE DOON,Hotel or motel,0
BONNIE DOON,Other residential,0
BONNIE DOON,No Response,0
BOYLE STREET,Single-detached house,210
BOYLE STREET,Duplex/triplex/fourplex,102
BOYLE STREET,Row house,136
BOYLE STREET,Apartment with 5 or more stories,2305
BOYLE STREET,Apartment with less than 5 stories,3791
BOYLE STREET,Manufactured home/mobile home,0
BOYLE STREET,Rooming house/collective residence,203
BOYLE STREET,Hotel or motel,106
BOYLE STREET,Other residential,179
BOYLE STREET,No Response,0
BRANDER GARDENS,Single-detached house,884
BRANDER GARDENS,Duplex/triplex/fourplex,135
BRANDER GARDENS,Row house,702
BRANDER GARDENS,Apartment with 5 or more stories,0
BRANDER GARDENS,Apartment with less than 5 stories,711
BRANDER GARDENS,Manufactured home/mobile home,0
BRANDER GARDENS,Rooming house/collective residence,0
BRANDER GARDENS,Hotel or motel,0
BRANDER GARDENS,Other residential,0
BRANDER GARDENS,No Response,0
BRECKENRIDGE GREENS,Single-detached house,1531
BRECKENRIDGE GREENS,Duplex/triplex/fourplex,55
BRECKENRIDGE GREENS,Row house,0
BRECKENRIDGE GREENS,Apartment with 5 or more stories,1
BRECKENRIDGE GREENS,Apartment with less than 5 stories,335
BRECKENRIDGE GREENS,Manufactured home/mobile home,0
BRECKENRIDGE GREENS,Rooming house/collective residence,0
BRECKENRIDGE GREENS,Hotel or motel,0
BRECKENRIDGE GREENS,Other residential,0
BRECKENRIDGE GREENS,No Response,0
BRINTNELL,Single-detached house,4318
BRINTNELL,Duplex/triplex/fourplex,106
BRINTNELL,Row house,98
BRINTNELL,Apartment with 5 or more stories,0
BRINTNELL,Apartment with less than 5 stories,0
BRINTNELL,Manufactured home/mobile home,0
BRINTNELL,Rooming house/collective residence,0
BRINTNELL,Hotel or motel,0
BRINTNELL,Other residential,0
BRINTNELL,No Response,0
BRITANNIA YOUNGSTOWN,Single-detached house,2101
BRITANNIA YOUNGSTOWN,Duplex/triplex/fourplex,356
BRITANNIA YOUNGSTOWN,Row house,425
BRITANNIA YOUNGSTOWN,Apartment with 5 or more stories,1
BRITANNIA YOUNGSTOWN,Apartment with less than 5 stories,1601
BRITANNIA YOUNGSTOWN,Manufactured home/mobile home,0
BRITANNIA YOUNGSTOWN,Rooming house/collective residence,0
BRITANNIA YOUNGSTOWN,Hotel or motel,2
BRITANNIA YOUNGSTOWN,Other residential,11
BRITANNIA YOUNGSTOWN,No Response,0
BROOKSIDE,Single-detached house,1557
BROOKSIDE,Duplex/triplex/fourplex,0
BROOKSIDE,Row house,270
BROOKSIDE,Apartment with 5 or more stories,5
BROOKSIDE,Apartment with less than 5 stories,119
BROOKSIDE,Manufactured home/mobile home,0
BROOKSIDE,Rooming house/collective residence,0
BROOKSIDE,Hotel or motel,0
BROOKSIDE,Other residential,0
BROOKSIDE,No Response,0
BROWN INDUSTRIAL,Single-detached house,0
BROWN INDUSTRIAL,Duplex/triplex/fourplex,0
BROWN INDUSTRIAL,Row house,0
BROWN INDUSTRIAL,Apartment with 5 or more stories,0
BROWN INDUSTRIAL,Apartment with less than 5 stories,0
BROWN INDUSTRIAL,Manufactured home/mobile home,0
BROWN INDUSTRIAL,Rooming house/collective residence,0
BROWN INDUSTRIAL,Hotel or motel,0
BROWN INDUSTRIAL,Other residential,0
BROWN INDUSTRIAL,No Response,0
BULYEA HEIGHTS,Single-detached house,3459
BULYEA HEIGHTS,Duplex/triplex/fourplex,229
BULYEA HEIGHTS,Row house,0
BULYEA HEIGHTS,Apartment with 5 or more stories,0
BULYEA HEIGHTS,Apartment with less than 5 stories,0
BULYEA HEIGHTS,Manufactured home/mobile home,0
BULYEA HEIGHTS,Rooming house/collective residence,0
BULYEA HEIGHTS,Hotel or motel,0
BULYEA HEIGHTS,Other residential,0
BULYEA HEIGHTS,No Response,0
CAERNARVON,Single-detached house,2620
CAERNARVON,Duplex/triplex/fourplex,207
CAERNARVON,Row house,1316
CAERNARVON,Apartment with 5 or more stories,0
CAERNARVON,Apartment with less than 5 stories,176
CAERNARVON,Manufactured home/mobile home,0
CAERNARVON,Rooming house/collective residence,0
CAERNARVON,Hotel or motel,0
CAERNARVON,Other residential,28
CAERNARVON,No Response,0
CALDER,Single-detached house,2748
CALDER,Duplex/triplex/fourplex,852
CALDER,Row house,41
CALDER,Apartment with 5 or more stories,3
CALDER,Apartment with less than 5 stories,385
CALDER,Manufactured home/mobile home,0
CALDER,Rooming house/collective residence,8
CALDER,Hotel or motel,10
CALDER,Other residential,0
CALDER,No Response,0
CALLINGWOOD NORTH,Single-detached house,310
CALLINGWOOD NORTH,Duplex/triplex/fourplex,376
CALLINGWOOD NORTH,Row house,927
CALLINGWOOD NORTH,Apartment with 5 or more stories,224
CALLINGWOOD NORTH,Apartment with less than 5 stories,498
CALLINGWOOD NORTH,Manufactured home/mobile home,0
CALLINGWOOD NORTH,Rooming house/collective residence,0
CALLINGWOOD NORTH,Hotel or motel,0
CALLINGWOOD NORTH,Other residential,0
CALLINGWOOD NORTH,No Response,0
CALLINGWOOD SOUTH,Single-detached house,29
CALLINGWOOD SOUTH,Duplex/triplex/fourplex,60
CALLINGWOOD SOUTH,Row house,1216
CALLINGWOOD SOUTH,Apartment with 5 or more stories,1182
CALLINGWOOD SOUTH,Apartment with less than 5 stories,2931
CALLINGWOOD SOUTH,Manufactured home/mobile home,0
CALLINGWOOD SOUTH,Rooming house/collective residence,0
CALLINGWOOD SOUTH,Hotel or motel,0
CALLINGWOOD SOUTH,Other residential,0
CALLINGWOOD SOUTH,No Response,0
CAMERON HEIGHTS,Single-detached house,547
CAMERON HEIGHTS,Duplex/triplex/fourplex,0
CAMERON HEIGHTS,Row house,0
CAMERON HEIGHTS,Apartment with 5 or more stories,0
CAMERON HEIGHTS,Apartment with less than 5 stories,0
CAMERON HEIGHTS,Manufactured home/mobile home,0
CAMERON HEIGHTS,Rooming house/collective residence,0
CAMERON HEIGHTS,Hotel or motel,0
CAMERON HEIGHTS,Other residential,0
CAMERON HEIGHTS,No Response,0
CANON RIDGE,Single-detached house,487
CANON RIDGE,Duplex/triplex/fourplex,136
CANON RIDGE,Row house,632
CANON RIDGE,Apartment with 5 or more stories,0
CANON RIDGE,Apartment with less than 5 stories,464
CANON RIDGE,Manufactured home/mobile home,0
CANON RIDGE,Rooming house/collective residence,0
CANON RIDGE,Hotel or motel,0
CANON RIDGE,Other residential,0
CANON RIDGE,No Response,0
CANORA,Single-detached house,847
CANORA,Duplex/triplex/fourplex,1115
CANORA,Row house,0
CANORA,Apartment with 5 or more stories,261
CANORA,Apartment with less than 5 stories,1080
CANORA,Manufactured home/mobile home,0
CANORA,Rooming house/collective residence,0
CANORA,Hotel or motel,32
CANORA,Other residential,0
CANORA,No Response,0
CANOSSA,Single-detached house,2803
CANOSSA,Duplex/triplex/fourplex,132
CANOSSA,Row house,99
CANOSSA,Apartment with 5 or more stories,0
CANOSSA,Apartment with less than 5 stories,0
CANOSSA,Manufactured home/mobile home,0
CANOSSA,Rooming house/collective residence,0
CANOSSA,Hotel or motel,0
CANOSSA,Other residential,0
CANOSSA,No Response,0
CAPILANO,Single-detached house,2764
CAPILANO,Duplex/triplex/fourplex,0
CAPILANO,Row house,0
CAPILANO,Apartment with 5 or more stories,0
CAPILANO,Apartment with less than 5 stories,0
CAPILANO,Manufactured home/mobile home,0
CAPILANO,Rooming house/collective residence,0
CAPILANO,Hotel or motel,0
CAPILANO,Other residential,0
CAPILANO,No Response,0
CARLISLE,Single-detached house,2224
CARLISLE,Duplex/triplex/fourplex,383
CARLISLE,Row house,1021
CARLISLE,Apartment with 5 or more stories,0
CARLISLE,Apartment with less than 5 stories,311
CARLISLE,Manufactured home/mobile home,0
CARLISLE,Rooming house/collective residence,0
CARLISLE,Hotel or motel,0
CARLISLE,Other residential,0
CARLISLE,No Response,0
CARLTON,Single-detached house,1806
CARLTON,Duplex/triplex/fourplex,210
CARLTON,Row house,78
CARLTON,Apartment with 5 or more stories,0
CARLTON,Apartment with less than 5 stories,20
CARLTON,Manufactured home/mobile home,3
CARLTON,Rooming house/collective residence,0
CARLTON,Hotel or motel,0
CARLTON,Other residential,0
CARLTON,No Response,0
CARTER CREST,Single-detached house,1477
CARTER CREST,Duplex/triplex/fourplex,329
CARTER CREST,Row house,0
CARTER CREST,Apartment with 5 or more stories,0
CARTER CREST,Apartment with less than 5 stories,0
CARTER CREST,Manufactured home/mobile home,0
CARTER CREST,Rooming house/collective residence,0
CARTER CREST,Hotel or motel,0
CARTER CREST,Other residential,0
CARTER CREST,No Response,0
CASSELMAN,Single-detached house,1128
CASSELMAN,Duplex/triplex/fourplex,0
CASSELMAN,Row house,1676
CASSELMAN,Apartment with 5 or more stories,4
CASSELMAN,Apartment with less than 5 stories,783
CASSELMAN,Manufactured home/mobile home,0
CASSELMAN,Rooming house/collective residence,0
CASSELMAN,Hotel or motel,0
CASSELMAN,Other residential,0
CASSELMAN,No Response,0
CENTRAL MCDOUGALL,Single-detached house,315
CENTRAL MCDOUGALL,Duplex/triplex/fourplex,61
CENTRAL MCDOUGALL,Row house,373
CENTRAL MCDOUGALL,Apartment with 5 or more stories,185
CENTRAL MCDOUGALL,Apartment with less than 5 stories,3907
CENTRAL MCDOUGALL,Manufactured home/mobile home,0
CENTRAL MCDOUGALL,Rooming house/collective residence,51
CENTRAL MCDOUGALL,Hotel or motel,0
CENTRAL MCDOUGALL,Other residential,320
CENTRAL MCDOUGALL,No Response,0
CHAMBERY,Single-detached house,1695
CHAMBERY,Duplex/triplex/fourplex,0
CHAMBERY,Row house,0
CHAMBERY,Apartment with 5 or more stories,0
CHAMBERY,Apartment with less than 5 stories,0
CHAMBERY,Manufactured home/mobile home,0
CHAMBERY,Rooming house/collective residence,0
CHAMBERY,Hotel or motel,0
CHAMBERY,Other residential,0
CHAMBERY,No Response,0
CHARLESWORTH,Single-detached house,1099
CHARLESWORTH,Duplex/triplex/fourplex,241
CHARLESWORTH,Row house,0
CHARLESWORTH,Apartment with 5 or more stories,0
CHARLESWORTH,Apartment with less than 5 stories,54
CHARLESWORTH,Manufactured home/mobile home,0
CHARLESWORTH,Rooming house/collective residence,0
CHARLESWORTH,Hotel or motel,0
CHARLESWORTH,Other residential,0
CHARLESWORTH,No Response,0
CLAREVIEW BUSINESS PARK,Single-detached house,0
CLAREVIEW BUSINESS PARK,Duplex/triplex/fourplex,0
CLAREVIEW BUSINESS PARK,Row house,0
CLAREVIEW BUSINESS PARK,Apartment with 5 or more stories,0
CLAREVIEW BUSINESS PARK,Apartment with less than 5 stories,723
CLAREVIEW BUSINESS PARK,Manufactured home/mobile home,0
CLAREVIEW BUSINESS PARK,Rooming house/collective residence,0
CLAREVIEW BUSINESS PARK,Hotel or motel,0
CLAREVIEW BUSINESS PARK,Other residential,0
CLAREVIEW BUSINESS PARK,No Response,0
CLAREVIEW CAMPUS,Single-detached house,301
CLAREVIEW CAMPUS,Duplex/triplex/fourplex,284
CLAREVIEW CAMPUS,Row house,2
CLAREVIEW CAMPUS,Apartment with 5 or more stories,371
CLAREVIEW CAMPUS,Apartment with less than 5 stories,1116
CLAREVIEW CAMPUS,Manufactured home/mobile home,0
