Ward,Neighbourhood Number,Neighbourhood Name,Preschool,Kindergarten - Gr.6,Gr.7 - Gr.9,Gr.10 - Gr.12,Post Secondary Student,Homemaker,Employed 0-30 Hours,Employed 30+ Hours,Unemployed,Retired,Permanently Unable to Work,No Response
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6790,WILD ROSE,293,552,309,260,275,220,422,2415,288,509,50,3020
WARD 12,6662,WALKER,659,680,233,164,194,241,403,3052,531,177,12,1200
WARD 2,3450,WOODCROFT,76,88,40,35,56,30,96,522,63,579,36,523
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2720,YORK,180,237,122,113,98,106,187,1248,207,497,63,843
WARD 9,5642,SOUTH TERWILLEGAR,557,631,211,167,231,232,375,2783,227,317,20,2826
WARD 5,4080,CALLINGWOOD SOUTH,237,250,88,67,61,93,221,1200,241,447,61,2542
WARD 8,6270,GOLD BAR,122,181,86,59,53,77,152,885,108,393,28,655
WARD 10,5470,STEINHAUER,89,139,77,72,115,65,131,670,93,332,20,324
WARD 2,3111,GRIESBACH,335,334,87,56,68,91,143,1059,101,218,29,2193
WARD 9,5462,CHAPPELLE AREA,206,151,35,27,28,67,68,787,62,52,1,2829
WARD 8,6320,IDYLWYLDE,57,58,18,26,45,24,106,594,70,373,38,413
WARD 11,6760,TWEDDLE PLACE,116,212,66,52,62,52,108,472,82,252,18,1792
WARD 1,4290,MAYFIELD,56,86,32,43,23,29,91,504,84,201,35,779
WARD 2,3350,PRINCE CHARLES,28,40,16,10,11,12,48,260,55,71,15,715
WARD 3,2440,KLARVATTEN,326,454,160,127,173,170,200,1775,167,240,25,1913
WARD 3,3180,DUNLUCE,236,341,165,138,117,145,301,1677,250,514,79,2360
WARD 2,1250,WESTWOOD,61,58,15,5,99,39,154,780,271,188,101,1346
WARD 5,4462,EDGEMONT,103,61,29,22,22,34,46,323,19,47,1,829
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4160,GARIEPY,41,66,32,26,38,26,92,518,27,233,4,654
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3320,OXFORD,166,275,130,133,159,116,196,1327,126,388,23,999
WARD 5,4270,LYMBURN,244,360,162,163,183,161,391,1967,235,447,64,1315
WARD 10,5430,ROYAL GARDENS,126,184,94,95,125,58,170,855,141,371,24,1150
WARD 2,3150,CUMBERLAND,312,508,198,126,139,100,207,2026,197,347,28,1890
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,1,2,2,1,1,1,2,8,3,4,1,289
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,21,20,10,1,1,1,1,3,1,0,0,18
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6750,TIPASKAN,178,261,99,83,90,96,163,929,189,227,39,606
WARD 11,6520,MILL WOODS TOWN CENTRE,40,35,12,7,10,23,59,279,54,345,22,294
WARD 12,6211,ELLERSLIE,319,452,129,81,123,154,213,1707,194,166,17,1985
WARD 1,4473,HAWKS RIDGE,25,22,5,2,1,16,15,177,12,12,0,121
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6660,RURAL SOUTH EAST,2,12,2,1,4,3,22,56,6,39,6,15
WARD 1,4500,SHERWOOD,53,52,14,22,21,9,54,316,51,124,12,610
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5220,GREENFIELD,119,203,118,118,153,86,218,961,86,616,20,989
WARD 4,2120,CANON RIDGE,119,116,34,17,39,27,61,867,200,198,9,460
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6150,DALY GROVE,131,236,100,91,103,108,176,1092,159,246,43,951
WARD 1,4750,ROSENTHAL,52,49,22,22,24,10,38,260,17,32,1,934
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2541,MILLER,166,212,72,74,96,93,102,916,110,282,18,1025
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3240,INGLEWOOD,190,237,70,47,129,58,366,2108,329,642,157,1589
WARD 5,3270,LAURIER HEIGHTS,86,192,76,72,108,76,176,813,43,566,14,612
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,0,59
WARD 9,5590,BLACKBURNE,44,81,44,37,41,46,84,492,38,265,12,226
WARD 2,3060,CAERNARVON,151,231,111,67,60,100,164,935,138,440,38,1904
WARD 7,1160,PARKDALE,97,104,44,35,92,82,150,774,126,270,77,1481
WARD 4,2130,CASSELMAN,234,243,121,113,115,100,199,1267,153,337,63,700
WARD 2,3470,CARLTON,260,368,133,89,69,108,204,1430,117,205,22,1928
WARD 4,2030,BANNERMAN,181,265,108,101,55,66,242,1072,217,293,70,359
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2241,EAUX CLAIRES,142,185,97,85,147,92,132,1170,100,246,26,1005
WARD 9,5468,GRAYDON HILL,3,3,1,0,2,1,8,46,2,1,0,62
WARD 9,5300,OGILVIE RIDGE,23,42,22,23,33,28,57,255,19,161,6,313
WARD 3,3120,CHAMBERY,85,193,90,59,49,70,96,575,27,82,3,1284
WARD 3,2450,LAGO LINDO,125,217,80,68,105,94,184,1102,117,393,24,1424
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6340,KAMEYOSEK,108,174,87,55,43,55,140,593,146,397,25,580
WARD 4,2270,EVERGREEN,48,59,31,14,5,31,31,351,51,147,39,697
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6441,MAPLE,70,30,14,13,18,24,35,384,20,40,0,501
WARD 12,6030,BISSET,194,234,106,83,94,111,204,1123,224,281,45,1247
WARD 6,1210,RIVERDALE,75,88,32,27,47,27,131,739,42,216,17,575
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2100,BEVERLY HEIGHTS,101,138,53,43,52,89,150,883,215,722,116,622
WARD 7,1010,ALBERTA AVENUE,246,301,102,109,155,156,435,1861,369,508,171,2342
WARD 9,5452,MACEWAN,260,364,123,106,189,133,253,2025,191,364,30,1436
WARD 12,6140,CRAWFORD PLAINS,223,301,126,146,133,139,242,1437,238,265,42,987
WARD 7,2090,BERGMAN,39,74,41,45,33,52,74,474,55,188,19,459
WARD 9,5505,AMBLESIDE,367,280,74,43,119,129,203,1592,142,228,10,1250
WARD 7,2400,KILDARE,89,115,71,44,49,52,98,602,118,506,28,930
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4570,WEDGEWOOD HEIGHTS,25,46,22,41,69,42,83,338,33,161,5,566
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,14,38,17,14,19,18,37,254,13,57,3,168
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6070,CLOVERDALE,19,29,17,17,21,12,46,333,14,95,7,305
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,160
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1090,DOWNTOWN,105,52,17,18,883,80,369,3736,346,1066,118,5978
WARD 12,6390,LARKSPUR,244,394,166,181,219,179,277,1981,242,397,48,786
WARD 11,6480,MICHAELS PARK,64,100,30,35,52,34,101,499,100,227,19,959
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3430,WELLINGTON,111,188,70,72,57,70,131,834,151,386,39,1021
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5540,WESTBROOK ESTATES,19,70,41,16,44,47,55,264,30,162,3,330
WARD 11,6020,AVONMORE,81,109,37,27,28,32,137,610,78,342,17,669
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,129,76,29,18,14,40,57,485,27,21,1,1166
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3260,LAUDERDALE,179,186,72,29,41,59,101,497,99,247,45,1354
WARD 10,5310,PARKALLEN,85,127,51,33,132,35,139,683,41,204,12,832
WARD 4,2070,BELMONT,268,397,137,116,79,143,237,1455,292,475,58,1565
WARD 8,5290,MCKERNAN,82,76,32,25,298,40,176,1046,91,155,3,431
WARD 6,1140,MCCAULEY,103,108,48,42,94,54,199,670,296,403,147,2635
WARD 1,4180,GLENWOOD,176,244,102,93,85,78,248,1302,225,647,78,1701
WARD 10,5060,BLUE QUILL,254,270,106,84,150,112,246,1366,269,297,22,1443
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3070,CALDER,161,183,63,66,68,96,151,940,186,316,91,1683
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2280,FRASER,161,225,97,66,92,77,180,1105,120,246,42,1078
WARD 7,2230,DELWOOD,103,161,79,56,45,59,142,764,120,588,39,1157
WARD 1,4590,WEST MEADOWLARK PARK,102,100,60,35,47,30,134,623,97,250,27,1769
WARD 9,5130,CARTER CREST,43,89,43,41,70,36,90,472,37,273,2,426
WARD 11,6360,KING EDWARD PARK,171,169,100,73,114,79,226,1465,210,360,59,1222
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5030,BEARSPAW,87,119,40,56,106,60,123,626,64,443,15,364
WARD 7,2420,KILLARNEY,265,262,97,70,66,196,145,1052,244,310,63,1582
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2320,HAIRSINE,117,151,62,86,49,61,146,815,137,194,34,582
WARD 5,4466,CAMERON HEIGHTS,135,203,41,40,39,74,62,739,35,97,2,176
WARD 7,2290,GLENGARRY,98,105,62,38,53,76,106,676,118,546,52,1079
WARD 8,6310,HOLYROOD,117,151,62,64,77,53,153,787,76,362,29,1488
WARD 10,5010,ALLENDALE,55,59,46,36,90,33,87,645,66,197,22,1403
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4390,PATRICIA HEIGHTS,96,137,45,34,67,41,83,531,52,162,8,469
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,9,8,1,3,7,8,8,80,9,13,0,412
WARD 7,2660,RUNDLE HEIGHTS,93,151,99,51,42,90,107,849,140,282,62,1443
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5040,BELGRAVIA,93,142,64,45,325,46,171,671,62,337,21,357
WARD 6,3200,GLENORA,101,214,137,81,117,85,207,999,49,442,17,1064
WARD 7,1070,CROMDALE,131,72,26,13,71,37,82,614,169,176,40,628
WARD 12,6370,KINISKI GARDENS,246,342,190,169,168,160,313,2025,254,349,57,1807
WARD 3,3280,LORELEI,282,309,123,91,123,164,169,1255,179,448,47,944
WARD 6,3310,NORTH GLENORA,109,147,29,50,60,51,113,692,49,186,12,417
WARD 11,6470,MEYONOHK,94,151,59,53,53,73,126,659,77,239,30,1246
WARD 2,3250,KENSINGTON,85,122,47,42,35,74,106,660,112,772,32,1762
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,115,114,39,28,17,49,57,541,34,49,8,518
WARD 9,5476,MAGRATH HEIGHTS,172,292,106,100,146,112,146,1038,72,263,24,986
WARD 7,1100,EASTWOOD,123,144,68,62,66,73,138,857,229,379,142,1734
WARD 3,3080,CANOSSA,167,291,108,92,101,77,157,1133,88,148,18,904
WARD 8,6240,FULTON PLACE,60,101,50,32,39,31,105,539,66,375,13,590
WARD 12,6442,SILVER BERRY,300,464,165,126,117,167,226,1631,207,186,30,5382
WARD 7,2560,NEWTON,103,122,58,49,52,77,138,814,131,381,48,843
WARD 12,6330,JACKSON HEIGHTS,84,195,106,76,109,70,188,867,107,374,24,1777
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3340,PEMBINA,21,17,6,3,8,8,11,208,21,90,3,127
WARD 5,4430,RIO TERRACE,43,95,41,30,62,37,59,401,22,232,3,261
WARD 1,4700,BRECKENRIDGE GREENS,90,146,64,51,62,58,102,788,49,213,19,248
WARD 4,2340,HOLLICK-KENYON,390,502,197,178,195,193,319,2025,191,350,39,1557
WARD 11,6280,GREENVIEW,103,165,98,81,86,84,150,805,91,285,29,666
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4360,OLESKIW,58,101,46,58,99,47,163,570,63,422,5,1170
WARD 9,5577,GLENRIDDING AREA,110,65,22,10,20,41,30,533,31,18,0,494
WARD 1,4040,BELMEAD,151,272,143,121,123,108,247,1225,146,434,56,1599
WARD 9,5620,HODGSON,96,206,82,94,157,92,130,890,72,315,7,573
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6600,RICHFIELD,215,340,186,133,117,166,224,934,169,298,37,501
WARD 5,4140,ELMWOOD,129,177,86,74,91,59,148,1065,152,402,36,302
WARD 8,5330,QUEEN ALEXANDRA,111,103,40,39,367,40,275,1560,214,355,29,2025
WARD 2,3410,SHERBROOKE,96,127,49,32,57,55,113,801,81,238,31,913
WARD 5,4120,DONSDALE,30,82,46,44,64,38,78,458,17,161,1,455
WARD 1,4520,SUMMERLEA,51,73,36,48,52,38,97,592,82,314,33,615
WARD 9,5465,HAYS RIDGE AREA,6,8,6,7,4,8,9,47,4,13,2,46
WARD 4,2670,RURAL NORTH EAST HORSE HILL,8,9,1,2,2,3,4,21,1,14,3,527
WARD 10,5270,LENDRUM PLACE,74,68,30,37,48,42,102,457,37,251,8,566
WARD 5,4610,WESTRIDGE,41,94,47,31,59,39,105,372,15,233,6,313
WARD 1,4540,TERRA LOSA,51,51,20,16,38,38,104,604,79,582,32,608
WARD 11,6610,RITCHIE,148,143,41,40,157,53,184,1698,177,377,47,914
WARD 1,4020,ALDERGROVE,290,348,126,108,168,113,271,1711,223,451,61,1110
WARD 10,5320,PLEASANTVIEW,149,135,65,56,128,65,216,1119,146,605,28,1190
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,237
WARD 9,5469,PAISLEY,23,24,9,4,10,6,19,160,17,4,0,208
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,0,0,0,0,74
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6400,LEE RIDGE,69,104,63,45,38,36,105,407,90,234,26,1495
WARD 10,5210,GRANDVIEW HEIGHTS,49,82,42,48,35,33,65,309,24,154,3,295
WARD 2,3390,ROSSLYN,97,194,56,57,42,68,180,806,210,721,43,501
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5457,CALLAGHAN,211,214,90,57,78,102,134,1160,129,141,6,1237
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5190,FALCONER HEIGHTS,32,97,57,51,79,46,74,399,52,317,7,756
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6250,GAINER INDUSTRIAL,6,8,4,3,17,4,24,188,14,54,7,80
WARD 2,3480,HUDSON,116,145,87,63,108,68,91,770,61,122,4,750
WARD 7,1240,VIRGINIA PARK,14,15,8,6,18,6,22,133,23,259,2,225
WARD 5,4461,THE HAMPTONS,873,1100,353,249,238,389,562,4177,292,273,23,3031
WARD 8,6230,FOREST HEIGHTS,115,174,76,54,80,57,166,1227,126,587,51,1388
WARD 3,3040,BEAUMARIS,131,155,72,65,113,93,177,1010,121,967,49,1445
WARD 6,3300,MCQUEEN,51,80,38,39,48,31,95,394,39,262,16,634
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3090,CARLISLE,198,289,101,86,102,117,165,1057,211,340,32,1054
WARD 4,2590,OVERLANDERS,156,188,57,39,35,56,115,834,188,183,38,1048
WARD 11,6720,TAWA,67,77,36,34,30,38,96,540,68,340,17,689
WARD 1,4090,CANORA,98,120,39,31,39,51,111,674,187,194,74,1556
WARD 5,4280,LYNNWOOD,103,166,70,29,51,38,161,887,228,320,39,1188
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
