WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,MARRIED,COMMON-LAW,SEPARATED/DIVORCED,NEVER_MARRIED,WIDOWED,NO_RESPONSE
Ward 9,5466,CASHMAN,0,0,0,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,1507,69,85,1203,59,236
Ward 9,5477,MACTAGGART,1138,75,72,854,46,179
Ward 9,5505,AMBLESIDE,1384,235,130,1209,27,507
Ward 9,5511,TWIN BROOKS,3348,173,188,2274,157,290
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,2279,240,137,1892,46,745
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0,0,0,0
Ward 9,5577,GLENRIDDING AREA,127,30,12,88,1,77
Ward 9,5590,BLACKBURNE,706,61,76,472,59,76
Ward 9,5610,HADDOW,2067,147,141,1618,139,264
Ward 9,5620,HODGSON,1302,52,91,939,64,329
Ward 9,5630,LEGER,1186,37,88,1018,56,144
Ward 9,5640,TERWILLEGAR TOWNE,2565,241,281,2440,204,860
Ward 9,5642,SOUTH TERWILLEGAR,3375,553,350,3596,67,1039
Ward 10,5010,ALLENDALE,627,210,181,1170,87,589
Ward 10,5020,ASPEN GARDENS,738,56,66,545,53,165
Ward 10,5030,BEARSPAW,996,49,78,659,80,236
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,1607,214,189,1697,73,802
Ward 10,5070,BLUE QUILL ESTATES,600,40,76,515,29,105
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0
Ward 10,5160,DUGGAN,1933,163,216,1759,118,512
Ward 10,5170,EMPIRE PARK,1222,327,339,1852,88,993
Ward 10,5180,ERMINESKIN,1526,223,352,1445,325,1552
Ward 10,5210,GRANDVIEW HEIGHTS,452,16,25,301,33,317
Ward 10,5220,GREENFIELD,1619,123,168,1187,129,390
Ward 10,5250,KEHEEWIN,1124,117,184,930,143,353
Ward 10,5260,LANSDOWNE,443,23,50,335,32,334
Ward 10,5270,LENDRUM PLACE,663,84,106,567,59,404
Ward 10,5280,MALMO PLAINS,1233,68,112,663,84,1053
Ward 10,5310,PARKALLEN,621,140,119,864,47,512
Ward 10,5320,PLEASANTVIEW,1318,245,296,1429,276,665
Ward 10,5360,RIDEAU PARK,703,51,140,597,145,439
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1187,160,237,1396,107,449
Ward 10,5460,SKYRATTLER,624,129,152,631,53,527
Ward 10,5470,STEINHAUER,913,68,93,708,54,277
Ward 10,5490,SWEET GRASS,1074,132,140,1115,42,282
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,567,16,54,435,47,88
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6010,ARGYLL,327,42,60,289,30,66
Ward 11,6020,AVONMORE,776,149,160,737,118,265
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0
Ward 11,6200,EKOTA,1033,154,175,1220,68,91
Ward 11,6250,GAINER INDUSTRIAL,93,41,24,128,11,0
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0
Ward 11,6280,GREENVIEW,1255,153,141,1189,72,218
Ward 11,6290,HAZELDEAN,989,335,232,1227,101,374
Ward 11,6300,HILLVIEW,1358,189,223,1416,84,304
Ward 11,6340,KAMEYOSEK,900,79,131,951,185,710
Ward 11,6360,KING EDWARD PARK,1134,389,298,1677,137,862
Ward 11,6400,LEE RIDGE,1066,129,207,1302,75,40
Ward 11,6410,MAPLE RIDGE,570,229,257,612,80,57
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,24,4,6,19,2,1
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6450,MENISA,1020,144,162,937,72,203
Ward 11,6460,MEYOKUMIN,1159,152,174,1205,79,324
Ward 11,6470,MEYONOHK,1089,170,215,1170,80,257
Ward 11,6480,MICHAELS PARK,907,94,124,976,71,27
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,399,44,109,276,159,322
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,1360,155,177,1712,71,148
Ward 11,6610,RITCHIE,1029,370,328,1715,136,665
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6670,SAKAW,1625,214,220,1719,90,187
Ward 11,6680,SATOO,1398,186,166,1265,91,408
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0
Ward 11,6720,TAWA,667,74,160,613,199,202
Ward 11,6750,TIPASKAN,1196,156,148,1269,53,315
Ward 11,6760,TWEDDLE PLACE,1414,160,157,1444,100,43
Ward 11,6780,WEIR INDUSTRIAL,11,8,18,29,2,2
Ward 12,6030,BISSET,1453,197,191,1361,63,552
Ward 12,6140,CRAWFORD PLAINS,1846,245,232,1832,84,266
Ward 12,6150,DALY GROVE,1451,174,187,1592,86,146
Ward 12,6211,ELLERSLIE,2279,359,247,2403,75,583
Ward 12,6213,SUMMERSIDE,4205,581,250,3969,125,2184
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,329,70,31,291,4,57
Ward 12,6330,JACKSON HEIGHTS,1892,131,174,1522,115,269
Ward 12,6370,KINISKI GARDENS,2747,387,305,2520,127,666
Ward 12,6390,LARKSPUR,2216,203,184,1962,114,443
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0
Ward 12,6441,MAPLE,117,18,8,113,1,52
Ward 12,6442,SILVER BERRY,3622,333,221,3427,145,864
Ward 12,6443,TAMARACK,1544,187,152,1164,46,445
Ward 12,6444,LAUREL,1795,170,81,1561,82,409
Ward 12,6530,MINCHAU,1365,175,209,1284,63,228
Ward 12,6580,POLLARD MEADOWS,1554,238,258,1653,119,879
Ward 12,6660,RURAL SOUTH EAST,138,12,6,56,9,20
Ward 12,6661,CHARLESWORTH,1773,227,99,1583,29,458
Ward 12,6662,WALKER,2042,268,121,1694,32,267
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0
Ward 12,6770,WEINLOS,1366,162,182,1311,112,355
Ward 12,6790,WILD ROSE,3730,246,253,3079,184,901
