Ward,Neighbourhood Number,Neighbourhood Name,Canadian Citizen,Permanent Resident,Refugee,Other,No Response
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0
WARD 8,6230,FOREST HEIGHTS,2626,128,10,48,1289
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0
WARD 4,2541,MILLER,2035,90,4,23,1014
WARD 12,6530,MINCHAU,1169,42,0,15,1905
WARD 3,3180,DUNLUCE,3611,292,13,30,2377
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0
WARD 11,6340,KAMEYOSEK,1693,185,5,9,511
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0
WARD 9,5458,ALLARD,1406,239,0,38,1450
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0
WARD 10,5170,EMPIRE PARK,2273,497,1,305,1826
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0
WARD 3,2241,EAUX CLAIRES,2414,169,2,23,819
WARD 12,6390,LARKSPUR,3816,399,2,71,826
WARD 10,5460,SKYRATTLER,1470,146,0,41,424
WARD 9,5080,BRANDER GARDENS,1595,107,6,30,736
WARD 6,1220,ROSSDALE,609,22,0,8,223
WARD 5,4160,GARIEPY,1079,15,0,3,660
WARD 3,3120,CHAMBERY,1293,20,0,3,1297
WARD 6,3310,NORTH GLENORA,1434,57,4,10,410
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0
WARD 12,6442,SILVER BERRY,3138,465,3,38,5357
WARD 11,6520,MILL WOODS TOWN CENTRE,674,177,0,44,285
WARD 9,5640,TERWILLEGAR TOWNE,4147,216,2,44,1775
WARD 3,3040,BEAUMARIS,2803,96,39,20,1440
WARD 4,2070,BELMONT,3334,311,2,20,1555
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0
WARD 5,4466,CAMERON HEIGHTS,1456,36,1,10,140
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0
WARD 6,3300,MCQUEEN,1041,23,2,20,641
WARD 3,3030,BATURYN,3479,87,25,11,1316
WARD 9,5454,RUTHERFORD,7368,855,5,179,2436
WARD 3,2050,BELLE RIVE,2574,97,2,9,1052
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0
WARD 4,2280,FRASER,2321,109,4,23,1032
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,160
WARD 11,6360,KING EDWARD PARK,2981,138,0,74,1055
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,622,4,0,0,26
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0
WARD 12,6213,SUMMERSIDE,8323,924,9,159,3945
WARD 9,5477,MACTAGGART,1777,115,0,38,187
WARD 1,4290,MAYFIELD,1133,44,0,12,774
WARD 3,2440,KLARVATTEN,3635,176,4,25,1890
WARD 1,4475,KINOKAMAU PLAINS AREA,108,4,0,0,0
WARD 1,4180,GLENWOOD,2672,580,2,53,1672
WARD 10,5280,MALMO PLAINS,1614,229,7,243,1133
WARD 12,6443,TAMARACK,2328,418,5,58,1768
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0
WARD 8,5200,GARNEAU,3884,317,4,1096,4489
WARD 10,5160,DUGGAN,3170,570,11,144,638
WARD 7,2230,DELWOOD,2124,73,7,5,1104
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0
WARD 7,2330,HIGHLANDS,1975,40,1,39,490
WARD 9,5453,BLACKMUD CREEK,2125,151,0,38,449
WARD 10,5360,RIDEAU PARK,1174,130,0,36,641
WARD 9,5130,CARTER CREST,1195,37,0,7,383
WARD 8,6550,OTTEWELL,4082,120,0,26,1501
WARD 1,4473,HAWKS RIDGE,261,16,3,0,128
WARD 7,1130,ELMWOOD PARK,644,44,2,3,400
WARD 5,4720,GLASTONBURY,4375,216,7,34,1761
WARD 8,6061,CAPILANO,2452,40,0,3,39
WARD 9,5577,GLENRIDDING AREA,791,168,2,17,396
WARD 2,3390,ROSSLYN,2389,99,11,14,462
WARD 3,3280,LORELEI,2751,329,64,14,976
WARD 3,2700,SCHONSEE,2337,111,1,12,368
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,77,0,0,0,0
WARD 12,6211,ELLERSLIE,3149,458,0,72,1861
WARD 11,6450,MENISA,2306,87,3,6,221
WARD 8,5290,MCKERNAN,1788,82,2,116,467
WARD 5,4280,LYNNWOOD,1703,468,45,119,945
WARD 8,6350,KENILWORTH,2226,49,0,21,257
WARD 5,4380,ORMSBY PLACE,3124,186,1,31,2022
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0
WARD 7,1070,CROMDALE,1145,173,20,54,667
WARD 10,5430,ROYAL GARDENS,1956,187,5,52,1193
WARD 7,2420,KILLARNEY,2654,114,2,18,1564
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0
WARD 1,4750,ROSENTHAL,397,127,0,11,926
WARD 11,6010,ARGYLL,478,8,0,6,285
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0
WARD 9,5452,MACEWAN,3580,321,4,67,1502
WARD 10,5470,STEINHAUER,1699,84,0,27,317
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0
WARD 12,6444,LAUREL,2249,874,1,98,3829
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0
WARD 9,5642,SOUTH TERWILLEGAR,5064,511,14,126,2862
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,755,95,0,11,1202
WARD 1,4230,JASPER PARK,1002,84,1,18,650
WARD 2,1230,SPRUCE AVENUE,607,47,0,17,1211
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0
WARD 2,3090,CARLISLE,2550,190,2,15,995
WARD 6,1140,MCCAULEY,2121,240,8,46,2384
WARD 2,3480,HUDSON,1475,155,0,17,738
WARD 6,3210,GROVENOR,1426,50,0,12,672
WARD 10,5030,BEARSPAW,1679,65,0,8,351
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0
WARD 1,4700,BRECKENRIDGE GREENS,1542,86,0,19,243
WARD 9,5469,PAISLEY,227,45,0,7,205
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0
WARD 5,4360,OLESKIW,1677,26,1,9,1089
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0
WARD 1,4310,MEADOWLARK PARK,2071,133,0,11,487
WARD 3,2463,CRYSTALLINA NERA WEST,218,13,0,0,678
WARD 4,2710,SIFTON PARK,798,145,2,16,1103
WARD 9,5465,HAYS RIDGE AREA,113,1,0,1,45
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0
WARD 8,5480,STRATHCONA,5659,404,9,330,2571
WARD 4,2390,KERNOHAN,2429,80,0,14,469
WARD 8,5040,BELGRAVIA,1722,78,0,66,468
WARD 2,3340,PEMBINA,93,15,0,4,411
WARD 1,4400,PLACE LARUE,0,0,0,0,0
WARD 6,1020,BOYLE STREET,3267,394,34,125,2920
WARD 10,5070,BLUE QUILL ESTATES,800,186,2,36,195
WARD 6,1150,OLIVER,9364,768,19,399,7573
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0
WARD 11,6020,AVONMORE,1500,41,0,11,615
WARD 3,2600,OZERNA,2778,124,1,26,1461
WARD 3,3190,ELSINORE,1502,34,0,3,771
WARD 4,2120,CANON RIDGE,1580,112,1,14,440
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0
WARD 9,5511,TWIN BROOKS,4774,239,0,66,1186
WARD 2,3470,CARLTON,2712,234,5,29,1953
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0
WARD 8,6040,BONNIE DOON,2874,112,0,65,1488
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0
WARD 8,6310,HOLYROOD,1839,50,0,23,1507
WARD 12,6370,KINISKI GARDENS,3953,271,2,44,1810
WARD 12,6662,WALKER,4803,1355,1,136,1251
WARD 9,5451,RICHFORD,592,23,0,7,136
WARD 4,2311,GORMAN,0,0,0,0,0
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0
WARD 9,5610,HADDOW,2944,203,0,53,992
WARD 3,2450,LAGO LINDO,2446,82,0,10,1395
WARD 12,6660,RURAL SOUTH EAST,149,9,0,0,10
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0
WARD 10,5250,KEHEEWIN,1316,56,0,9,1121
WARD 7,2660,RUNDLE HEIGHTS,2109,170,4,1,1125
WARD 7,2090,BERGMAN,1138,28,0,1,386
WARD 3,2410,KILKENNY,3280,182,12,30,2103
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0
WARD 2,3010,ATHLONE,1988,87,1,23,1059
WARD 6,1210,RIVERDALE,1411,28,0,9,568
WARD 5,4080,CALLINGWOOD SOUTH,2370,492,20,93,2533
WARD 1,4470,RURAL WEST BIG LAKE,77,0,0,0,49
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0
WARD 10,5010,ALLENDALE,1422,43,2,19,1253
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0
WARD 10,5310,PARKALLEN,1648,72,0,23,631
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0
WARD 4,2110,BRINTNELL,3604,269,9,33,2567
WARD 7,1100,EASTWOOD,2301,125,2,32,1555
WARD 8,5580,WINDSOR PARK,684,32,0,18,2084
WARD 10,5060,BLUE QUILL,2242,705,3,209,1460
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,26,0,0,0,289
WARD 1,4090,CANORA,1418,191,7,32,1526
WARD 1,4040,BELMEAD,2669,269,0,50,1637
WARD 4,2130,CASSELMAN,2639,233,3,33,737
WARD 5,4560,THORNCLIFF,1946,363,20,111,1114
WARD 9,5340,RAMSAY HEIGHTS,2678,197,5,50,459
WARD 2,3150,CUMBERLAND,2344,163,2,21,3548
WARD 4,2590,OVERLANDERS,1678,136,18,36,1069
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0
WARD 3,2260,EVANSDALE,3001,491,47,30,2235
WARD 1,4520,SUMMERLEA,1289,101,6,18,617
WARD 8,6270,GOLD BAR,2005,78,22,18,676
WARD 5,4430,RIO TERRACE,1016,10,0,9,251
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0
WARD 6,3440,WESTMOUNT,3977,212,12,83,1603
WARD 9,5230,HENDERSON ESTATES,1490,54,1,5,255
WARD 4,2500,MATT BERRY,3135,121,7,17,737
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0
WARD 5,4462,EDGEMONT,633,94,1,5,803
WARD 2,1170,PRINCE RUPERT,1127,73,0,29,63
WARD 12,6661,CHARLESWORTH,2914,484,2,68,1994
WARD 8,6320,IDYLWYLDE,1281,81,2,43,415
WARD 11,6460,MEYOKUMIN,1699,168,14,28,1111
WARD 5,4140,ELMWOOD,2079,265,6,18,353
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0
WARD 5,4461,THE HAMPTONS,7732,686,5,131,3006
WARD 10,5320,PLEASANTVIEW,2320,297,3,113,1169
WARD 7,2060,BELLEVUE,625,21,0,8,347
WARD 11,6600,RICHFIELD,2473,340,25,34,448
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0
WARD 3,3080,CANOSSA,2274,87,0,13,910
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,117,24,0,7,410
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0
WARD 11,6200,EKOTA,1433,95,10,22,855
WARD 1,4730,SUDER GREENS,2286,183,1,33,777
WARD 1,4487,SECORD,2066,198,1,44,862
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0
WARD 5,4390,PATRICIA HEIGHTS,1160,76,0,38,451
WARD 1,4620,WESTVIEW VILLAGE,1211,8,1,8,929
WARD 7,2550,MONTROSE,1884,66,0,15,1344
WARD 10,5260,LANSDOWNE,1000,69,0,29,143
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0
WARD 2,3060,CAERNARVON,2247,102,5,10,1975
WARD 9,5466,CASHMAN,0,0,0,0,0
WARD 9,5350,RHATIGAN RIDGE,2860,65,0,11,141
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0
WARD 4,2270,EVERGREEN,778,3,0,0,723
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0
WARD 3,2511,MAYLIEWAN,2759,97,6,9,1182
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,4187,351,17,100,2100
WARD 9,5467,CAVANAGH,0,0,0,0,0
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0
WARD 7,2290,GLENGARRY,1872,103,0,12,1022
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0
WARD 4,2530,MCLEOD,1641,80,1,5,499
WARD 4,2521,MCCONACHIE AREA,2785,287,0,36,1833
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0
WARD 5,4220,JAMIESON PLACE,1847,65,0,12,1445
WARD 2,3410,SHERBROOKE,1579,58,1,21,934
WARD 12,6770,WEINLOS,1761,183,0,38,1326
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0
WARD 11,6410,MAPLE RIDGE,1068,17,0,3,521
WARD 2,3240,INGLEWOOD,3860,452,14,50,1546
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0
WARD 1,4485,LEWIS FARMS INDUSTRIAL,67,4,0,0,20
WARD 2,3250,KENSINGTON,1975,113,5,9,1747
WARD 2,3450,WOODCROFT,1475,69,0,24,576
WARD 11,6720,TAWA,1166,164,10,20,672
WARD 1,4486,STEWART GREENS,102,10,0,2,130
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,3,0,0,0,71
WARD 9,5620,HODGSON,1949,147,4,22,592
WARD 3,3370,RAPPERSWILL,772,89,0,4,1162
