WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,OWNED,RENTED,NO_RESPONSE
Ward 10,5170,EMPIRE PARK,214,2115,72
Ward 10,5180,ERMINESKIN,646,1676,164
Ward 10,5210,GRANDVIEW HEIGHTS,306,23,21
Ward 10,5220,GREENFIELD,1181,128,47
Ward 10,5250,KEHEEWIN,869,225,97
Ward 10,5260,LANSDOWNE,271,215,42
Ward 10,5270,LENDRUM PLACE,496,219,90
Ward 10,5280,MALMO PLAINS,561,614,82
Ward 10,5310,PARKALLEN,576,388,51
Ward 10,5320,PLEASANTVIEW,759,865,153
Ward 10,5360,RIDEAU PARK,397,428,133
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 10,5430,ROYAL GARDENS,748,628,27
Ward 10,5460,SKYRATTLER,468,505,75
Ward 10,5470,STEINHAUER,509,92,173
Ward 10,5490,SWEET GRASS,597,360,82
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,286,167,24
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,269,52,21
Ward 11,6020,AVONMORE,700,179,92
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6200,EKOTA,619,265,23
Ward 11,6250,GAINER INDUSTRIAL,116,12,0
Ward 11,6260,GIRARD INDUSTRIAL,0,1,0
Ward 11,6280,GREENVIEW,804,195,45
Ward 11,6290,HAZELDEAN,676,520,104
Ward 11,6300,HILLVIEW,769,418,175
Ward 11,6340,KAMEYOSEK,508,511,120
Ward 11,6360,KING EDWARD PARK,877,936,215
Ward 11,6400,LEE RIDGE,626,373,14
Ward 11,6410,MAPLE RIDGE,646,52,112
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,16,4,3
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,722,135,51
Ward 11,6460,MEYOKUMIN,612,225,192
Ward 11,6470,MEYONOHK,730,191,165
Ward 11,6480,MICHAELS PARK,605,195,9
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,377,274,6
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,559,528,11
Ward 11,6610,RITCHIE,1012,1006,294
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,942,360,49
Ward 11,6680,SATOO,972,233,37
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,604,279,85
Ward 11,6750,TIPASKAN,516,526,19
Ward 11,6760,TWEDDLE PLACE,597,474,5
Ward 11,6780,WEIR INDUSTRIAL,33,6,10
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6030,BISSET,786,477,86
Ward 12,6661,CHARLESWORTH,878,95,42
Ward 12,6140,CRAWFORD PLAINS,1023,294,123
Ward 12,6150,DALY GROVE,773,369,65
Ward 12,6211,ELLERSLIE,1409,331,272
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6330,JACKSON HEIGHTS,1104,67,68
Ward 12,6370,KINISKI GARDENS,1750,260,167
Ward 12,6390,LARKSPUR,1332,188,110
Ward 12,6444,LAUREL,371,133,15
Ward 12,6441,MAPLE,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6530,MINCHAU,744,248,101
Ward 12,6580,POLLARD MEADOWS,917,667,47
Ward 12,6660,RURAL SOUTH EAST,51,12,3
Ward 12,6442,SILVER BERRY,1912,302,206
Ward 12,6213,SUMMERSIDE,1835,165,649
Ward 12,6443,TAMARACK,607,40,101
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0
Ward 12,6662,WALKER,604,34,98
Ward 12,6770,WEINLOS,786,343,60
Ward 12,6790,WILD ROSE,2001,199,157
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
