Ward,Neighbourhood Number,Neighbourhood Name,Public,Catholic,Francophone,No Response
WARD 4,2120,CANON RIDGE,710,384,11,1042
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0
WARD 4,2521,MCCONACHIE AREA,2002,774,13,2152
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0
WARD 4,2160,CLOVER BAR AREA,6,0,0,53
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0
WARD 4,2110,BRINTNELL,2102,951,21,3408
WARD 5,4560,THORNCLIFF,1262,560,0,1732
WARD 4,2340,HOLLICK-KENYON,3251,1206,21,1658
WARD 7,2550,MONTROSE,1273,347,13,1676
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,1690
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0
WARD 1,4011,ANTHONY HENDAY,0,0,0,0
WARD 4,2070,BELMONT,2136,947,9,2130
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0
WARD 5,4120,DONSDALE,712,256,7,499
WARD 3,2241,EAUX CLAIRES,1565,679,6,1177
WARD 7,2400,KILDARE,1221,499,4,978
WARD 8,6710,STRATHEARN,1128,254,32,1228
WARD 3,2600,OZERNA,1251,898,12,2229
WARD 6,1030,CENTRAL MCDOUGALL,1678,457,9,2767
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0
WARD 9,5230,HENDERSON ESTATES,1130,381,3,291
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0
WARD 1,4474,STARLING,227,55,0,372
WARD 2,1250,WESTWOOD,1070,357,13,1677
WARD 3,2511,MAYLIEWAN,1343,776,4,1930
WARD 11,6750,TIPASKAN,1539,404,8,1009
WARD 2,1230,SPRUCE AVENUE,485,207,1,1189
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0
WARD 2,3480,HUDSON,1103,490,6,786
WARD 10,5020,ASPEN GARDENS,1135,243,2,270
WARD 1,4475,KINOKAMAU PLAINS AREA,99,13,0,0
WARD 9,5462,CHAPPELLE AREA,965,341,13,2994
WARD 11,6450,MENISA,1819,467,21,316
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0
WARD 2,3170,DOVERCOURT,1066,445,20,584
WARD 8,6230,FOREST HEIGHTS,1783,573,52,1693
WARD 11,6520,MILL WOODS TOWN CENTRE,692,192,2,294
WARD 1,4230,JASPER PARK,756,216,6,777
WARD 7,2060,BELLEVUE,529,102,4,366
WARD 8,6550,OTTEWELL,2945,855,85,1844
WARD 2,3460,ALBANY,552,183,0,548
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0
WARD 9,5300,OGILVIE RIDGE,556,105,4,317
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,100
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,72,0,0,5
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0
WARD 10,5320,PLEASANTVIEW,2192,353,8,1349
WARD 5,4466,CAMERON HEIGHTS,1137,288,3,215
WARD 1,4180,GLENWOOD,2126,744,19,2090
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0
WARD 12,6150,DALY GROVE,1739,446,7,1244
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0
WARD 6,3440,WESTMOUNT,3107,631,28,2121
WARD 2,3430,WELLINGTON,1098,596,14,1422
WARD 5,4462,EDGEMONT,447,209,0,880
WARD 11,6480,MICHAELS PARK,573,198,8,1441
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0
WARD 4,2541,MILLER,1166,514,8,1478
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,237
WARD 12,6390,LARKSPUR,3215,986,58,855
WARD 8,5040,BELGRAVIA,1538,208,31,557
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0
WARD 1,4240,LA PERLE,2326,824,24,1673
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0
WARD 5,4463,RIVERVIEW AREA,183,92,5,166
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0
WARD 10,5310,PARKALLEN,1347,212,11,804
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,3,0,0,71
WARD 9,5469,PAISLEY,159,62,0,263
WARD 2,3150,CUMBERLAND,2625,1329,13,2111
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,160
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0
WARD 4,2130,CASSELMAN,1470,816,25,1334
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0
WARD 6,1180,QUEEN MARY PARK,1795,620,24,4507
WARD 4,2590,OVERLANDERS,1234,502,29,1172
WARD 10,5180,ERMINESKIN,2665,634,6,1936
WARD 4,2500,MATT BERRY,2158,1027,5,827
WARD 8,6270,GOLD BAR,1207,306,13,1273
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0
WARD 10,5220,GREENFIELD,1963,482,10,1232
WARD 6,1210,RIVERDALE,1106,240,24,646
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0
WARD 8,5290,MCKERNAN,1088,134,8,1225
WARD 5,4140,ELMWOOD,1709,569,13,430
WARD 11,6300,HILLVIEW,1471,427,19,1415
WARD 10,5460,SKYRATTLER,1272,254,10,545
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0
WARD 11,6410,MAPLE RIDGE,753,134,3,719
WARD 12,6662,WALKER,4466,954,39,2087
WARD 9,5466,CASHMAN,0,0,0,0
WARD 1,4520,SUMMERLEA,743,298,2,988
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
WARD 2,3260,LAUDERDALE,736,225,5,1943
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0
WARD 1,4040,BELMEAD,1910,763,17,1935
WARD 10,5170,EMPIRE PARK,2410,335,24,2133
WARD 2,3320,OXFORD,1959,898,11,1170
WARD 12,6213,SUMMERSIDE,6790,1818,101,4651
WARD 1,4020,ALDERGROVE,2311,704,24,1941
WARD 4,2350,HOMESTEADER,1574,831,34,1106
WARD 12,6441,MAPLE,317,80,11,741
WARD 4,2145,CLAREVIEW TOWN CENTRE,811,249,4,2271
WARD 7,1130,ELMWOOD PARK,519,161,7,406
WARD 12,6580,POLLARD MEADOWS,2364,398,13,1795
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0
WARD 4,2720,YORK,2057,1002,11,831
WARD 8,6240,FULTON PLACE,896,203,8,894
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0
WARD 11,6670,SAKAW,2469,752,9,754
WARD 3,3370,RAPPERSWILL,485,334,5,1203
WARD 10,5430,ROYAL GARDENS,1669,457,14,1253
WARD 7,2330,HIGHLANDS,1632,348,4,561
WARD 9,5576,KESWICK AREA,331,169,2,87
WARD 11,6600,RICHFIELD,2120,450,29,721
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0
WARD 11,6610,RITCHIE,2126,367,60,1426
WARD 9,5476,MAGRATH HEIGHTS,1753,527,16,1161
WARD 1,4620,WESTVIEW VILLAGE,946,207,4,1000
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0
WARD 6,3300,MCQUEEN,794,205,4,724
WARD 11,6680,SATOO,1767,587,8,920
WARD 3,3280,LORELEI,2303,739,10,1082
WARD 3,2410,KILKENNY,2290,881,28,2408
WARD 3,2700,SCHONSEE,1528,752,6,543
WARD 11,6760,TWEDDLE PLACE,721,163,11,2389
WARD 5,4160,GARIEPY,569,100,1,1087
WARD 5,4080,CALLINGWOOD SOUTH,1690,736,43,3039
WARD 6,1020,BOYLE STREET,2345,678,35,3682
WARD 2,3240,INGLEWOOD,2327,932,30,2633
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0
WARD 9,5340,RAMSAY HEIGHTS,1987,637,44,721
WARD 9,5467,CAVANAGH,0,0,0,0
WARD 12,6330,JACKSON HEIGHTS,1579,488,4,1906
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0
WARD 5,4610,WESTRIDGE,775,218,6,356
WARD 12,6530,MINCHAU,844,259,12,2016
WARD 9,5610,HADDOW,2038,809,16,1329
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0
WARD 8,6350,KENILWORTH,1787,332,58,376
WARD 1,4290,MAYFIELD,863,264,0,836
WARD 7,2100,BEVERLY HEIGHTS,1273,422,8,1481
WARD 12,6790,WILD ROSE,3495,1001,16,4101
WARD 10,5260,LANSDOWNE,783,143,3,312
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,22,3,0,290
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0
WARD 2,3070,CALDER,1624,649,17,1714
WARD 9,5190,FALCONER HEIGHTS,888,274,8,797
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0
WARD 10,5360,RIDEAU PARK,1056,209,8,708
WARD 2,3010,ATHLONE,1030,456,12,1660
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0
WARD 10,5010,ALLENDALE,839,238,9,1653
WARD 9,5458,ALLARD,1210,336,12,1575
WARD 11,6470,MEYONOHK,1322,180,2,1356
WARD 1,4580,WEST JASPER PLACE,892,243,5,1928
WARD 5,4420,QUESNELL HEIGHTS,210,55,3,104
WARD 5,4220,JAMIESON PLACE,1284,426,10,1649
WARD 7,2040,BEACON HEIGHTS,1516,576,2,793
WARD 2,3350,PRINCE CHARLES,376,152,5,748
WARD 9,5090,BROOKSIDE,958,200,15,864
WARD 2,3250,KENSINGTON,1264,476,6,2103
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
WARD 2,3340,PEMBINA,252,123,0,148
WARD 11,6020,AVONMORE,1114,290,36,727
WARD 6,1140,MCCAULEY,1093,453,7,3246
WARD 8,6310,HOLYROOD,1478,300,42,1599
WARD 4,2611,CY BECKER,140,85,5,453
WARD 1,4485,LEWIS FARMS INDUSTRIAL,39,7,1,44
WARD 9,5577,GLENRIDDING AREA,666,99,7,602
WARD 3,3040,BEAUMARIS,1554,842,19,1983
WARD 9,5463,DESROCHERS AREA,0,0,0,0
WARD 7,1160,PARKDALE,1355,498,7,1472
WARD 11,6110,CPR IRVINE,27,2,0,137
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0
WARD 3,3030,BATURYN,1906,804,5,2203
WARD 2,1170,PRINCE RUPERT,216,53,2,1021
WARD 7,2660,RUNDLE HEIGHTS,1525,382,0,1502
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,62,22,2,472
WARD 5,4551,GRANVILLE,736,248,1,584
WARD 11,6360,KING EDWARD PARK,2276,452,77,1443
WARD 9,5453,BLACKMUD CREEK,1630,548,24,561
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0
WARD 6,1220,ROSSDALE,424,102,1,335
WARD 3,2440,KLARVATTEN,2272,1252,26,2180
WARD 9,5457,CALLAGHAN,1357,377,8,1817
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0
WARD 1,4200,HIGH PARK,367,145,6,820
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0
WARD 5,4070,CALLINGWOOD NORTH,1509,327,10,530
WARD 7,2560,NEWTON,994,659,14,1149
WARD 2,3470,CARLTON,1833,761,20,2319
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0
WARD 12,6661,CHARLESWORTH,2457,819,33,2153
WARD 7,1100,EASTWOOD,872,388,12,2743
WARD 10,5490,SWEET GRASS,1454,330,7,886
WARD 9,5468,GRAYDON HILL,35,14,1,79
WARD 10,5160,DUGGAN,2637,801,43,1052
WARD 4,2080,BELVEDERE,2027,709,12,2421
WARD 7,2010,ABBOTTSFIELD,990,262,21,634
WARD 5,4461,THE HAMPTONS,5897,2270,37,3356
WARD 9,5477,MACTAGGART,1367,398,9,343
WARD 2,3060,CAERNARVON,1488,733,5,2113
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,210,181,2,259
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0
WARD 1,4470,RURAL WEST BIG LAKE,64,12,0,50
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0
WARD 5,4280,LYNNWOOD,1362,508,23,1387
WARD 12,6443,TAMARACK,2333,394,15,1835
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0
WARD 8,6040,BONNIE DOON,2052,514,236,1737
WARD 5,4570,WEDGEWOOD HEIGHTS,627,195,0,609
WARD 6,3210,GROVENOR,1085,329,23,723
WARD 11,6510,MILL WOODS PARK,0,0,0,0
WARD 12,6211,ELLERSLIE,2096,647,24,2773
WARD 6,3310,NORTH GLENORA,1025,260,5,625
WARD 4,2390,KERNOHAN,1308,637,19,1028
WARD 12,6444,LAUREL,2168,623,10,4250
WARD 9,5130,CARTER CREST,858,316,1,447
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
WARD 9,5080,BRANDER GARDENS,1047,355,9,1063
WARD 2,3390,ROSSLYN,2009,424,21,521
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0
WARD 1,4400,PLACE LARUE,0,0,0,0
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,56,7,0,532
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0
WARD 1,4590,WEST MEADOWLARK PARK,924,408,11,1931
WARD 8,5200,GARNEAU,3164,390,29,6207
WARD 8,6070,CLOVERDALE,398,133,6,378
WARD 7,2290,GLENGARRY,1282,495,0,1232
WARD 11,6280,GREENVIEW,1436,471,13,723
WARD 10,5280,MALMO PLAINS,1815,268,10,1133
WARD 1,4540,TERRA LOSA,1136,429,4,654
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0
WARD 3,3120,CHAMBERY,640,585,0,1388
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0
WARD 7,1240,VIRGINIA PARK,295,50,3,383
WARD 2,3450,WOODCROFT,1004,448,5,687
WARD 9,5590,BLACKBURNE,786,360,5,259
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
WARD 8,5330,QUEEN ALEXANDRA,2113,328,33,2684
WARD 12,6030,BISSET,1789,554,13,1590
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0
WARD 12,6370,KINISKI GARDENS,3020,1042,38,1980
WARD 7,2580,NORTHMOUNT,1111,444,6,1631
WARD 10,5060,BLUE QUILL,2023,769,18,1809
WARD 1,4500,SHERWOOD,610,159,6,563
WARD 2,3111,GRIESBACH,1632,503,15,2564
WARD 8,5580,WINDSOR PARK,627,46,4,2141
WARD 11,6340,KAMEYOSEK,1504,296,15,588
WARD 1,4471,TRUMPETER AREA,462,231,15,348
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0
WARD 9,5570,WINDERMERE,2967,715,29,4417
WARD 7,1010,ALBERTA AVENUE,3297,908,26,2524
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0
WARD 4,2430,KIRKNESS,2249,736,29,973
WARD 12,6440,MEADOWS AREA,0,0,0,0
WARD 7,2420,KILLARNEY,1838,607,24,1883
WARD 4,2311,GORMAN,0,0,0,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0
WARD 1,4486,STEWART GREENS,83,21,0,140
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0
WARD 10,5470,STEINHAUER,1423,314,11,379
WARD 1,4310,MEADOWLARK PARK,1707,413,22,560
WARD 3,2463,CRYSTALLINA NERA WEST,115,88,4,702
WARD 1,4730,SUDER GREENS,1649,664,14,953
WARD 1,4700,BRECKENRIDGE GREENS,1060,451,13,366
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0
WARD 2,3020,BARANOW,614,173,17,973
WARD 5,4430,RIO TERRACE,720,177,19,370
WARD 5,4270,LYMBURN,3016,1115,8,1553
WARD 5,4110,DECHENE,711,411,2,508
WARD 4,2251,EBBERS,48,61,0,16
