WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,OWNED,RENTED,NO_RESPONSE
Ward 2,3170,DOVERCOURT,616,202,54
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,678,2191,802
Ward 2,3250,KENSINGTON,1032,502,133
Ward 2,3260,LAUDERDALE,553,525,94
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,934,84,171
Ward 2,3340,PEMBINA,189,63,30
Ward 2,3350,PRINCE CHARLES,284,236,124
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,723,540,39
Ward 2,3410,SHERBROOKE,571,335,112
Ward 2,3430,WELLINGTON,765,388,56
Ward 2,3450,WOODCROFT,466,662,164
Ward 2,3460,ALBANY,105,102,39
Ward 2,3470,CARLTON,1066,101,120
Ward 2,3480,HUDSON,416,144,108
Ward 2,3490,GOODRIDGE CORNERS,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 3,2050,BELLE RIVE,996,74,93
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,2241,EAUX CLAIRES,848,181,120
Ward 3,2260,EVANSDALE,1073,855,176
Ward 3,2410,KILKENNY,1166,738,190
Ward 3,2440,KLARVATTEN,1531,140,114
Ward 3,2450,LAGO LINDO,1158,131,92
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0
Ward 3,2511,MAYLIEWAN,1128,47,98
Ward 3,2600,OZERNA,1210,92,80
Ward 3,2700,SCHONSEE,640,72,111
Ward 3,3030,BATURYN,1304,367,79
Ward 3,3040,BEAUMARIS,1233,616,74
Ward 3,3080,CANOSSA,818,54,149
Ward 3,3120,CHAMBERY,550,13,96
Ward 3,3180,DUNLUCE,1282,862,305
Ward 3,3190,ELSINORE,696,33,48
Ward 3,3280,LORELEI,939,382,112
Ward 3,3370,RAPPERSWILL,271,10,49
Ward 3,3490,GOODRIDGE CORNERS,0,0,6
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 4,2030,BANNERMAN,681,350,160
Ward 4,2070,BELMONT,1255,654,86
Ward 4,2080,BELVEDERE,1018,1186,229
Ward 4,2110,BRINTNELL,1385,214,177
Ward 4,2120,CANON RIDGE,668,238,116
Ward 4,2130,CASSELMAN,811,556,38
Ward 4,2145,CLAREVIEW TOWN CENTRE,565,689,210
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,483,33,150
Ward 4,2280,FRASER,802,290,126
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,539,358,71
Ward 4,2340,HOLLICK-KENYON,1435,210,202
Ward 4,2350,HOMESTEADER,625,560,121
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,889,174,85
Ward 4,2430,KIRKNESS,817,565,47
Ward 4,2500,MATT BERRY,1090,88,103
Ward 4,2521,MCCONACHIE AREA,743,149,116
Ward 4,2530,MCLEOD,768,76,28
Ward 4,2541,MILLER,821,184,113
Ward 4,2590,OVERLANDERS,346,824,97
Ward 4,2611,CY BECKER,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,75,7,5
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,44,13,15
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,189,12,16
Ward 4,2710,SIFTON PARK,257,535,95
Ward 4,2720,YORK,843,581,81
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0
Ward 5,3270,LAURIER HEIGHTS,844,161,159
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,441,542,130
Ward 5,4080,CALLINGWOOD SOUTH,544,2018,330
Ward 5,4110,DECHENE,564,13,15
Ward 5,4120,DONSDALE,342,5,102
Ward 5,4140,ELMWOOD,591,341,66
Ward 5,4160,GARIEPY,623,59,43
Ward 5,4220,JAMIESON PLACE,1206,79,40
Ward 5,4270,LYMBURN,1588,370,187
Ward 5,4280,LYNNWOOD,598,534,280
Ward 5,4360,OLESKIW,995,48,41
Ward 5,4380,ORMSBY PLACE,1278,444,175
Ward 5,4390,PATRICIA HEIGHTS,311,329,53
Ward 5,4420,QUESNELL HEIGHTS,116,1,3
Ward 5,4430,RIO TERRACE,462,20,16
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,146,7,12
Ward 5,4461,THE HAMPTONS,2826,469,391
Ward 5,4462,EDGEMONT,29,4,5
Ward 5,4466,CAMERON HEIGHTS,416,10,37
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,4551,GRANVILLE,266,3,38
Ward 5,4560,THORNCLIFF,495,625,193
Ward 5,4570,WEDGEWOOD HEIGHTS,451,9,52
Ward 5,4610,WESTRIDGE,457,8,18
Ward 5,4720,GLASTONBURY,1765,476,158
Ward 6,1020,BOYLE STREET,324,2696,1006
Ward 6,1030,CENTRAL MCDOUGALL,194,2291,576
Ward 6,1090,DOWNTOWN,1717,5246,1715
Ward 6,1140,MCCAULEY,452,1453,674
Ward 6,1150,OLIVER,3003,8008,1783
Ward 6,1180,QUEEN MARY PARK,762,2628,747
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,571,288,107
Ward 6,1220,ROSSDALE,239,194,42
Ward 6,3200,GLENORA,987,263,246
Ward 6,3210,GROVENOR,574,174,277
Ward 6,3300,MCQUEEN,311,319,189
Ward 6,3310,NORTH GLENORA,533,196,104
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,3440,WESTMOUNT,1327,1018,900
Ward 7,1010,ALBERTA AVENUE,1485,1074,297
Ward 7,1070,CROMDALE,336,754,110
Ward 7,1080,DELTON,415,288,174
Ward 7,1100,EASTWOOD,517,1181,333
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0
Ward 7,1130,ELMWOOD PARK,232,310,49
Ward 7,1160,PARKDALE,744,637,268
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,1240,VIRGINIA PARK,131,264,30
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 7,2010,ABBOTTSFIELD,176,493,39
Ward 7,2020,BALWIN,824,599,119
Ward 7,2040,BEACON HEIGHTS,861,396,40
Ward 7,2060,BELLEVUE,311,72,109
Ward 7,2090,BERGMAN,488,53,32
Ward 7,2100,BEVERLY HEIGHTS,936,568,98
Ward 7,2230,DELWOOD,1081,188,85
Ward 7,2290,GLENGARRY,835,279,113
Ward 7,2330,HIGHLANDS,853,292,73
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,678,412,126
Ward 7,2420,KILLARNEY,562,1072,97
Ward 7,2550,MONTROSE,630,497,287
Ward 7,2560,NEWTON,831,261,133
Ward 7,2580,NORTHMOUNT,809,235,276
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,530,838,30
Ward 8,5040,BELGRAVIA,650,213,77
Ward 8,5151,STRATHCONA JUNCTION,0,0,0
Ward 8,5200,GARNEAU,732,2700,2086
Ward 8,5290,MCKERNAN,359,399,329
Ward 8,5330,QUEEN ALEXANDRA,495,1726,628
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
Ward 8,5480,STRATHCONA,1261,2704,1614
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,377,79,14
Ward 8,6040,BONNIE DOON,973,1015,275
Ward 8,6061,CAPILANO,748,38,291
Ward 8,6070,CLOVERDALE,312,76,45
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,935,577,438
Ward 8,6240,FULTON PLACE,609,112,237
Ward 8,6270,GOLD BAR,613,306,219
Ward 8,6310,HOLYROOD,840,593,108
Ward 8,6320,IDYLWYLDE,371,287,271
Ward 8,6350,KENILWORTH,788,207,80
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,3
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,1722,540,372
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,6710,STRATHEARN,444,941,100
Ward 8,6730,TERRACE HEIGHTS,426,463,254
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,5080,BRANDER GARDENS,557,398,102
Ward 9,5090,BROOKSIDE,568,143,6
Ward 9,5100,BULYEA HEIGHTS,1069,24,112
Ward 9,5130,CARTER CREST,515,18,72
Ward 9,5190,FALCONER HEIGHTS,523,159,123
Ward 9,5230,HENDERSON ESTATES,575,7,35
Ward 9,5300,OGILVIE RIDGE,338,11,7
Ward 9,5340,RAMSAY HEIGHTS,847,380,151
Ward 9,5350,RHATIGAN RIDGE,1041,33,47
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5451,RICHFORD,179,3,31
Ward 9,5452,MACEWAN,1479,691,174
Ward 9,5453,BLACKMUD CREEK,744,95,122
Ward 9,5454,RUTHERFORD,2799,494,649
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5457,CALLAGHAN,634,54,102
Ward 9,5458,ALLARD,390,16,83
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5462,CHAPPELLE AREA,559,25,58
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0
Ward 9,5466,CASHMAN,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,815,104,110
Ward 9,5477,MACTAGGART,707,38,69
Ward 9,5505,AMBLESIDE,1110,118,245
Ward 9,5511,TWIN BROOKS,2064,104,89
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,1457,134,357
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0
Ward 9,5577,GLENRIDDING AREA,91,6,30
Ward 9,5590,BLACKBURNE,534,30,18
Ward 9,5610,HADDOW,1299,126,119
Ward 9,5620,HODGSON,754,104,103
Ward 9,5630,LEGER,692,61,41
Ward 9,5640,TERWILLEGAR TOWNE,1714,275,310
Ward 9,5642,SOUTH TERWILLEGAR,2254,772,527
Ward 10,5010,ALLENDALE,473,697,134
Ward 10,5020,ASPEN GARDENS,521,42,67
Ward 10,5030,BEARSPAW,668,44,86
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,562,1009,400
Ward 10,5070,BLUE QUILL ESTATES,286,207,58
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,971,631,171
Ward 10,5170,EMPIRE PARK,330,2017,50
Ward 10,5180,ERMINESKIN,520,1481,656
Ward 10,5210,GRANDVIEW HEIGHTS,270,17,157
Ward 10,5220,GREENFIELD,1102,97,177
Ward 10,5250,KEHEEWIN,852,218,110
Ward 10,5260,LANSDOWNE,247,117,178
Ward 10,5270,LENDRUM PLACE,449,161,215
Ward 10,5280,MALMO PLAINS,507,454,312
Ward 10,5310,PARKALLEN,514,299,218
Ward 10,5320,PLEASANTVIEW,907,892,204
Ward 10,5360,RIDEAU PARK,375,500,234
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,5430,ROYAL GARDENS,635,620,170
Ward 10,5460,SKYRATTLER,433,445,240
Ward 10,5470,STEINHAUER,569,96,112
Ward 10,5490,SWEET GRASS,591,323,168
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,282,148,49
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,275,41,22
Ward 11,6020,AVONMORE,714,175,94
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6200,EKOTA,616,302,19
Ward 11,6250,GAINER INDUSTRIAL,141,24,3
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0
Ward 11,6280,GREENVIEW,804,196,75
Ward 11,6290,HAZELDEAN,733,512,95
Ward 11,6300,HILLVIEW,824,414,124
Ward 11,6340,KAMEYOSEK,515,446,184
Ward 11,6360,KING EDWARD PARK,877,826,365
Ward 11,6400,LEE RIDGE,645,384,1
Ward 11,6410,MAPLE RIDGE,743,78,6
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,12,5,1
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,704,133,69
Ward 11,6460,MEYOKUMIN,659,266,98
Ward 11,6470,MEYONOHK,779,231,90
Ward 11,6480,MICHAELS PARK,634,175,4
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,336,237,75
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,563,573,19
Ward 11,6610,RITCHIE,1014,879,277
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,947,364,51
Ward 11,6680,SATOO,912,192,127
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,600,275,102
Ward 11,6750,TIPASKAN,487,481,105
Ward 11,6760,TWEDDLE PLACE,618,499,4
Ward 11,6780,WEIR INDUSTRIAL,38,4,1
Ward 12,6030,BISSET,770,502,124
Ward 12,6140,CRAWFORD PLAINS,1071,320,87
Ward 12,6150,DALY GROVE,831,353,41
Ward 12,6211,ELLERSLIE,1447,410,207
Ward 12,6213,SUMMERSIDE,2490,555,784
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,256,8,26
Ward 12,6330,JACKSON HEIGHTS,1082,95,77
Ward 12,6370,KINISKI GARDENS,1791,253,136
Ward 12,6390,LARKSPUR,1355,172,203
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6441,MAPLE,86,4,18
Ward 12,6442,SILVER BERRY,1864,360,296
Ward 12,6443,TAMARACK,880,199,45
Ward 12,6444,LAUREL,837,362,133
Ward 12,6530,MINCHAU,794,260,57
Ward 12,6580,POLLARD MEADOWS,832,527,290
Ward 12,6660,RURAL SOUTH EAST,82,8,2
Ward 12,6661,CHARLESWORTH,1096,108,131
Ward 12,6662,WALKER,1304,119,81
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6770,WEINLOS,736,300,141
Ward 12,6790,WILD ROSE,1996,223,197
