NEIGHBOURHOOD,STRUCTURE_TYPE,OWNED,RENTED,NO_RESPONSE
ALLENDALE,Hotel or motel,0,0,0
ALLENDALE,Other residential,0,0,0
ALLENDALE,No Response,0,0,0
AMBLESIDE,Single-detached house,78,3,5
AMBLESIDE,Duplex/triplex/fourplex,5,0,0
AMBLESIDE,Row house,0,0,0
AMBLESIDE,Apartment with 5 or more stories,0,0,0
AMBLESIDE,Apartment with less than 5 stories,5,1,0
AMBLESIDE,Manufactured home/mobile home,0,0,0
AMBLESIDE,Rooming house/collective residence,0,0,0
AMBLESIDE,Hotel or motel,0,0,0
AMBLESIDE,Other residential,0,0,0
AMBLESIDE,No Response,0,0,0
ANTHONY HENDAY,Single-detached house,0,0,0
ANTHONY HENDAY,Duplex/triplex/fourplex,0,0,0
ANTHONY HENDAY,Row house,0,0,0
ANTHONY HENDAY,Apartment with 5 or more stories,0,0,0
ANTHONY HENDAY,Apartment with less than 5 stories,0,0,0
ANTHONY HENDAY,Manufactured home/mobile home,0,0,0
ANTHONY HENDAY,Rooming house/collective residence,0,0,0
ANTHONY HENDAY,Hotel or motel,0,0,0
ANTHONY HENDAY,Other residential,0,0,0
ANTHONY HENDAY,No Response,0,0,0
ANTHONY HENDAY SOUTH,Single-detached house,0,0,0
ANTHONY HENDAY SOUTH,Duplex/triplex/fourplex,0,0,0
ANTHONY HENDAY SOUTH,Row house,0,0,0
ANTHONY HENDAY SOUTH,Apartment with 5 or more stories,0,0,0
ANTHONY HENDAY SOUTH,Apartment with less than 5 stories,0,0,0
ANTHONY HENDAY SOUTH,Manufactured home/mobile home,0,0,0
ANTHONY HENDAY SOUTH,Rooming house/collective residence,0,0,0
ANTHONY HENDAY SOUTH,Hotel or motel,0,0,0
ANTHONY HENDAY SOUTH,Other residential,0,0,0
ANTHONY HENDAY SOUTH,No Response,0,0,0
ANTHONY HENDAY SOUTH WEST,Single-detached house,0,0,0
ANTHONY HENDAY SOUTH WEST,Duplex/triplex/fourplex,0,0,0
ANTHONY HENDAY SOUTH WEST,Row house,0,0,0
ANTHONY HENDAY SOUTH WEST,Apartment with 5 or more stories,0,0,0
ANTHONY HENDAY SOUTH WEST,Apartment with less than 5 stories,0,0,0
ANTHONY HENDAY SOUTH WEST,Manufactured home/mobile home,0,0,0
ANTHONY HENDAY SOUTH WEST,Rooming house/collective residence,0,0,0
ANTHONY HENDAY SOUTH WEST,Hotel or motel,0,0,0
ANTHONY HENDAY SOUTH WEST,Other residential,0,0,0
ANTHONY HENDAY SOUTH WEST,No Response,0,0,0
ANTHONY HENDAY SOUTHEAST,Single-detached house,0,0,0
ANTHONY HENDAY SOUTHEAST,Duplex/triplex/fourplex,0,0,0
ANTHONY HENDAY SOUTHEAST,Row house,0,0,0
ANTHONY HENDAY SOUTHEAST,Apartment with 5 or more stories,0,0,0
ANTHONY HENDAY SOUTHEAST,Apartment with less than 5 stories,0,0,0
ANTHONY HENDAY SOUTHEAST,Manufactured home/mobile home,0,0,0
ANTHONY HENDAY SOUTHEAST,Rooming house/collective residence,0,0,0
ANTHONY HENDAY SOUTHEAST,Hotel or motel,0,0,0
ANTHONY HENDAY SOUTHEAST,Other residential,0,0,0
ANTHONY HENDAY SOUTHEAST,No Response,0,0,0
ANTHONY HENDAY TERWILLEGAR,Single-detached house,0,0,0
ANTHONY HENDAY TERWILLEGAR,Duplex/triplex/fourplex,0,0,0
ANTHONY HENDAY TERWILLEGAR,Row house,0,0,0
ANTHONY HENDAY TERWILLEGAR,Apartment with 5 or more stories,0,0,0
ANTHONY HENDAY TERWILLEGAR,Apartment with less than 5 stories,0,0,0
ANTHONY HENDAY TERWILLEGAR,Manufactured home/mobile home,0,0,0
ANTHONY HENDAY TERWILLEGAR,Rooming house/collective residence,0,0,0
ANTHONY HENDAY TERWILLEGAR,Hotel or motel,0,0,0
ANTHONY HENDAY TERWILLEGAR,Other residential,0,0,0
ANTHONY HENDAY TERWILLEGAR,No Response,0,0,0
ARGYLL,Single-detached house,288,45,1
ARGYLL,Duplex/triplex/fourplex,1,3,0
ARGYLL,Row house,0,0,0
ARGYLL,Apartment with 5 or more stories,0,0,0
ARGYLL,Apartment with less than 5 stories,0,0,0
ARGYLL,Manufactured home/mobile home,0,0,0
ARGYLL,Rooming house/collective residence,0,0,0
ARGYLL,Hotel or motel,0,0,0
ARGYLL,Other residential,0,0,0
ARGYLL,No Response,0,0,0
ARMSTRONG INDUSTRIAL,Single-detached house,0,0,0
ARMSTRONG INDUSTRIAL,Duplex/triplex/fourplex,0,0,0
ARMSTRONG INDUSTRIAL,Row house,0,0,0
ARMSTRONG INDUSTRIAL,Apartment with 5 or more stories,0,0,0
ARMSTRONG INDUSTRIAL,Apartment with less than 5 stories,0,0,0
ARMSTRONG INDUSTRIAL,Manufactured home/mobile home,0,0,0
ARMSTRONG INDUSTRIAL,Rooming house/collective residence,0,1,0
ARMSTRONG INDUSTRIAL,Hotel or motel,0,1,0
ARMSTRONG INDUSTRIAL,Other residential,0,0,0
ARMSTRONG INDUSTRIAL,No Response,0,0,0
ASPEN GARDENS,Single-detached house,489,16,0
ASPEN GARDENS,Duplex/triplex/fourplex,0,0,0
ASPEN GARDENS,Row house,0,0,0
ASPEN GARDENS,Apartment with 5 or more stories,0,0,0
ASPEN GARDENS,Apartment with less than 5 stories,111,22,1
ASPEN GARDENS,Manufactured home/mobile home,0,0,0
ASPEN GARDENS,Rooming house/collective residence,0,0,0
ASPEN GARDENS,Hotel or motel,0,0,0
ASPEN GARDENS,Other residential,0,0,0
ASPEN GARDENS,No Response,0,0,0
ATHLONE,Single-detached house,837,140,10
ATHLONE,Duplex/triplex/fourplex,10,14,0
ATHLONE,Row house,2,122,1
ATHLONE,Apartment with 5 or more stories,0,0,0
ATHLONE,Apartment with less than 5 stories,10,3,0
ATHLONE,Manufactured home/mobile home,0,0,0
ATHLONE,Rooming house/collective residence,0,0,0
ATHLONE,Hotel or motel,0,0,0
ATHLONE,Other residential,0,0,0
ATHLONE,No Response,0,0,0
AVONMORE,Single-detached house,692,142,8
AVONMORE,Duplex/triplex/fourplex,4,9,0
AVONMORE,Row house,0,0,0
AVONMORE,Apartment with 5 or more stories,1,0,0
AVONMORE,Apartment with less than 5 stories,77,27,1
AVONMORE,Manufactured home/mobile home,0,0,0
AVONMORE,Rooming house/collective residence,0,0,0
AVONMORE,Hotel or motel,0,0,0
AVONMORE,Other residential,0,0,0
AVONMORE,No Response,0,0,0
BALWIN,Single-detached house,780,203,26
BALWIN,Duplex/triplex/fourplex,69,108,5
BALWIN,Row house,4,35,1
BALWIN,Apartment with 5 or more stories,0,1,0
BALWIN,Apartment with less than 5 stories,12,341,3
BALWIN,Manufactured home/mobile home,0,0,0
BALWIN,Rooming house/collective residence,0,3,0
BALWIN,Hotel or motel,0,0,0
BALWIN,Other residential,0,0,0
BALWIN,No Response,0,0,0
BANNERMAN,Single-detached house,477,41,6
BANNERMAN,Duplex/triplex/fourplex,0,0,0
BANNERMAN,Row house,253,162,14
BANNERMAN,Apartment with 5 or more stories,0,0,0
BANNERMAN,Apartment with less than 5 stories,30,149,1
BANNERMAN,Manufactured home/mobile home,0,0,0
BANNERMAN,Rooming house/collective residence,0,0,0
BANNERMAN,Hotel or motel,0,0,0
BANNERMAN,Other residential,0,0,0
BANNERMAN,No Response,0,0,0
BARANOW,Single-detached house,2,0,0
BARANOW,Duplex/triplex/fourplex,71,9,1
BARANOW,Row house,0,0,0
BARANOW,Apartment with 5 or more stories,0,0,0
BARANOW,Apartment with less than 5 stories,153,209,13
BARANOW,Manufactured home/mobile home,0,0,0
BARANOW,Rooming house/collective residence,0,112,0
BARANOW,Hotel or motel,0,0,0
BARANOW,Other residential,0,0,0
BARANOW,No Response,0,0,0
BATURYN,Single-detached house,1079,81,18
BATURYN,Duplex/triplex/fourplex,167,50,15
BATURYN,Row house,125,160,0
BATURYN,Apartment with 5 or more stories,0,0,0
BATURYN,Apartment with less than 5 stories,0,0,0
BATURYN,Manufactured home/mobile home,0,0,0
BATURYN,Rooming house/collective residence,0,0,0
BATURYN,Hotel or motel,0,0,0
BATURYN,Other residential,0,0,0
BATURYN,No Response,0,0,0
BEACON HEIGHTS,Single-detached house,820,186,0
BEACON HEIGHTS,Duplex/triplex/fourplex,36,118,0
BEACON HEIGHTS,Row house,0,6,0
BEACON HEIGHTS,Apartment with 5 or more stories,0,2,0
BEACON HEIGHTS,Apartment with less than 5 stories,7,93,0
BEACON HEIGHTS,Manufactured home/mobile home,0,0,0
BEACON HEIGHTS,Rooming house/collective residence,0,0,0
BEACON HEIGHTS,Hotel or motel,0,2,0
BEACON HEIGHTS,Other residential,0,0,0
BEACON HEIGHTS,No Response,0,0,0
BEARSPAW,Single-detached house,571,20,0
BEARSPAW,Duplex/triplex/fourplex,167,4,0
BEARSPAW,Row house,12,44,0
BEARSPAW,Apartment with 5 or more stories,0,0,0
BEARSPAW,Apartment with less than 5 stories,0,0,0
BEARSPAW,Manufactured home/mobile home,0,0,0
BEARSPAW,Rooming house/collective residence,0,0,0
BEARSPAW,Hotel or motel,0,0,0
BEARSPAW,Other residential,1,0,0
BEARSPAW,No Response,0,0,0
BEAUMARIS,Single-detached house,809,29,2
BEAUMARIS,Duplex/triplex/fourplex,171,34,0
BEAUMARIS,Row house,48,109,0
BEAUMARIS,Apartment with 5 or more stories,2,1,0
BEAUMARIS,Apartment with less than 5 stories,415,298,8
BEAUMARIS,Manufactured home/mobile home,0,0,0
BEAUMARIS,Rooming house/collective residence,0,0,0
BEAUMARIS,Hotel or motel,0,0,0
BEAUMARIS,Other residential,0,0,0
BEAUMARIS,No Response,0,0,0
BELGRAVIA,Single-detached house,564,142,1
BELGRAVIA,Duplex/triplex/fourplex,1,2,0
BELGRAVIA,Row house,0,0,0
BELGRAVIA,Apartment with 5 or more stories,0,0,0
BELGRAVIA,Apartment with less than 5 stories,97,82,0
BELGRAVIA,Manufactured home/mobile home,0,0,0
BELGRAVIA,Rooming house/collective residence,0,0,0
BELGRAVIA,Hotel or motel,0,0,0
BELGRAVIA,Other residential,0,0,0
BELGRAVIA,No Response,0,0,0
BELLE RIVE,Single-detached house,980,47,1
BELLE RIVE,Duplex/triplex/fourplex,81,14,1
BELLE RIVE,Row house,22,5,0
BELLE RIVE,Apartment with 5 or more stories,0,0,0
BELLE RIVE,Apartment with less than 5 stories,0,0,0
BELLE RIVE,Manufactured home/mobile home,0,0,0
BELLE RIVE,Rooming house/collective residence,0,0,0
BELLE RIVE,Hotel or motel,0,0,0
BELLE RIVE,Other residential,0,0,0
BELLE RIVE,No Response,0,0,0
BELLEVUE,Single-detached house,363,95,3
BELLEVUE,Duplex/triplex/fourplex,3,2,0
BELLEVUE,Row house,0,0,0
BELLEVUE,Apartment with 5 or more stories,0,0,0
BELLEVUE,Apartment with less than 5 stories,1,25,0
BELLEVUE,Manufactured home/mobile home,0,0,0
BELLEVUE,Rooming house/collective residence,0,0,0
BELLEVUE,Hotel or motel,0,0,0
BELLEVUE,Other residential,0,0,0
BELLEVUE,No Response,0,0,0
BELMEAD,Single-detached house,749,43,0
BELMEAD,Duplex/triplex/fourplex,39,61,0
BELMEAD,Row house,304,190,1
BELMEAD,Apartment with 5 or more stories,0,0,0
BELMEAD,Apartment with less than 5 stories,13,182,1
BELMEAD,Manufactured home/mobile home,0,0,0
BELMEAD,Rooming house/collective residence,0,0,0
BELMEAD,Hotel or motel,0,0,0
BELMEAD,Other residential,0,0,0
BELMEAD,No Response,0,0,0
BELMONT,Single-detached house,702,44,2
BELMONT,Duplex/triplex/fourplex,178,76,1
BELMONT,Row house,323,275,4
BELMONT,Apartment with 5 or more stories,1,0,0
BELMONT,Apartment with less than 5 stories,69,212,1
BELMONT,Manufactured home/mobile home,0,0,0
BELMONT,Rooming house/collective residence,0,0,0
BELMONT,Hotel or motel,0,2,0
BELMONT,Other residential,0,0,0
BELMONT,No Response,0,0,0
BELVEDERE,Single-detached house,689,150,12
BELVEDERE,Duplex/triplex/fourplex,94,97,1
BELVEDERE,Row house,25,59,0
BELVEDERE,Apartment with 5 or more stories,25,227,4
BELVEDERE,Apartment with less than 5 stories,161,682,1
BELVEDERE,Manufactured home/mobile home,0,0,0
BELVEDERE,Rooming house/collective residence,0,0,0
BELVEDERE,Hotel or motel,0,1,0
BELVEDERE,Other residential,0,0,0
BELVEDERE,No Response,0,0,0
BERGMAN,Single-detached house,464,35,4
BERGMAN,Duplex/triplex/fourplex,10,8,0
BERGMAN,Row house,0,0,0
BERGMAN,Apartment with 5 or more stories,0,0,0
BERGMAN,Apartment with less than 5 stories,0,0,0
BERGMAN,Manufactured home/mobile home,0,0,0
BERGMAN,Rooming house/collective residence,0,0,0
BERGMAN,Hotel or motel,0,0,0
BERGMAN,Other residential,0,0,0
BERGMAN,No Response,0,0,0
BEVERLY HEIGHTS,Single-detached house,1015,150,13
BEVERLY HEIGHTS,Duplex/triplex/fourplex,10,47,1
BEVERLY HEIGHTS,Row house,0,0,0
BEVERLY HEIGHTS,Apartment with 5 or more stories,0,7,0
BEVERLY HEIGHTS,Apartment with less than 5 stories,1,387,1
BEVERLY HEIGHTS,Manufactured home/mobile home,0,0,0
BEVERLY HEIGHTS,Rooming house/collective residence,0,0,0
BEVERLY HEIGHTS,Hotel or motel,0,1,0
BEVERLY HEIGHTS,Other residential,0,0,0
BEVERLY HEIGHTS,No Response,0,0,0
BISSET,Single-detached house,676,80,2
BISSET,Duplex/triplex/fourplex,6,11,0
BISSET,Row house,140,93,2
BISSET,Apartment with 5 or more stories,0,0,0
BISSET,Apartment with less than 5 stories,39,320,1
BISSET,Manufactured home/mobile home,0,0,0
BISSET,Rooming house/collective residence,0,1,0
BISSET,Hotel or motel,0,0,0
BISSET,Other residential,0,0,0
BISSET,No Response,0,0,0
BLACKBURNE,Single-detached house,394,8,1
BLACKBURNE,Duplex/triplex/fourplex,125,4,0
BLACKBURNE,Row house,0,0,0
BLACKBURNE,Apartment with 5 or more stories,0,0,0
BLACKBURNE,Apartment with less than 5 stories,49,1,0
BLACKBURNE,Manufactured home/mobile home,0,0,0
BLACKBURNE,Rooming house/collective residence,0,0,0
BLACKBURNE,Hotel or motel,0,0,0
BLACKBURNE,Other residential,0,0,0
BLACKBURNE,No Response,0,0,0
BLACKMUD CREEK,Single-detached house,607,23,29
BLACKMUD CREEK,Duplex/triplex/fourplex,32,7,3
BLACKMUD CREEK,Row house,0,0,0
BLACKMUD CREEK,Apartment with 5 or more stories,0,0,0
BLACKMUD CREEK,Apartment with less than 5 stories,155,52,7
BLACKMUD CREEK,Manufactured home/mobile home,0,0,0
BLACKMUD CREEK,Rooming house/collective residence,0,0,0
BLACKMUD CREEK,Hotel or motel,0,0,0
BLACKMUD CREEK,Other residential,0,0,0
BLACKMUD CREEK,No Response,0,0,0
BLUE QUILL,Single-detached house,489,11,5
BLUE QUILL,Duplex/triplex/fourplex,97,37,1
BLUE QUILL,Row house,57,109,1
BLUE QUILL,Apartment with 5 or more stories,0,1,0
BLUE QUILL,Apartment with less than 5 stories,80,954,18
BLUE QUILL,Manufactured home/mobile home,0,0,0
BLUE QUILL,Rooming house/collective residence,0,0,0
BLUE QUILL,Hotel or motel,0,0,0
BLUE QUILL,Other residential,0,0,0
BLUE QUILL,No Response,0,0,0
BLUE QUILL ESTATES,Single-detached house,231,7,0
BLUE QUILL ESTATES,Duplex/triplex/fourplex,11,3,0
BLUE QUILL ESTATES,Row house,77,17,3
BLUE QUILL ESTATES,Apartment with 5 or more stories,0,0,0
BLUE QUILL ESTATES,Apartment with less than 5 stories,1,191,0
BLUE QUILL ESTATES,Manufactured home/mobile home,0,0,0
BLUE QUILL ESTATES,Rooming house/collective residence,0,0,0
BLUE QUILL ESTATES,Hotel or motel,0,0,0
BLUE QUILL ESTATES,Other residential,0,0,0
BLUE QUILL ESTATES,No Response,0,0,0
BONAVENTURE INDUSTRIAL,Single-detached house,0,0,0
BONAVENTURE INDUSTRIAL,Duplex/triplex/fourplex,0,0,0
BONAVENTURE INDUSTRIAL,Row house,0,0,0
BONAVENTURE INDUSTRIAL,Apartment with 5 or more stories,0,0,0
BONAVENTURE INDUSTRIAL,Apartment with less than 5 stories,0,0,0
BONAVENTURE INDUSTRIAL,Manufactured home/mobile home,0,0,0
BONAVENTURE INDUSTRIAL,Rooming house/collective residence,0,0,0
BONAVENTURE INDUSTRIAL,Hotel or motel,0,0,0
BONAVENTURE INDUSTRIAL,Other residential,0,0,0
BONAVENTURE INDUSTRIAL,No Response,0,0,0
BONNIE DOON,Single-detached house,682,295,11
BONNIE DOON,Duplex/triplex/fourplex,134,298,5
BONNIE DOON,Row house,0,0,0
BONNIE DOON,Apartment with 5 or more stories,2,148,0
BONNIE DOON,Apartment with less than 5 stories,109,332,2
BONNIE DOON,Manufactured home/mobile home,0,0,0
BONNIE DOON,Rooming house/collective residence,1,17,0
BONNIE DOON,Hotel or motel,0,0,0
BONNIE DOON,Other residential,0,0,0
BONNIE DOON,No Response,0,0,0
BOYLE STREET,Single-detached house,53,31,1
BOYLE STREET,Duplex/triplex/fourplex,7,21,3
BOYLE STREET,Row house,10,37,0
BOYLE STREET,Apartment with 5 or more stories,136,1401,3
BOYLE STREET,Apartment with less than 5 stories,311,1537,49
BOYLE STREET,Manufactured home/mobile home,0,0,0
BOYLE STREET,Rooming house/collective residence,2,61,0
BOYLE STREET,Hotel or motel,0,3,0
BOYLE STREET,Other residential,0,6,1
BOYLE STREET,No Response,0,0,0
BRANDER GARDENS,Single-detached house,287,16,1
BRANDER GARDENS,Duplex/triplex/fourplex,18,40,0
BRANDER GARDENS,Row house,138,146,3
BRANDER GARDENS,Apartment with 5 or more stories,0,0,0
BRANDER GARDENS,Apartment with less than 5 stories,179,201,1
BRANDER GARDENS,Manufactured home/mobile home,0,0,0
BRANDER GARDENS,Rooming house/collective residence,0,0,0
BRANDER GARDENS,Hotel or motel,0,0,0
BRANDER GARDENS,Other residential,0,0,0
BRANDER GARDENS,No Response,0,0,0
BRECKENRIDGE GREENS,Single-detached house,475,16,0
BRECKENRIDGE GREENS,Duplex/triplex/fourplex,31,1,1
BRECKENRIDGE GREENS,Row house,0,0,0
BRECKENRIDGE GREENS,Apartment with 5 or more stories,1,0,0
BRECKENRIDGE GREENS,Apartment with less than 5 stories,159,36,4
BRECKENRIDGE GREENS,Manufactured home/mobile home,0,0,0
BRECKENRIDGE GREENS,Rooming house/collective residence,0,0,0
BRECKENRIDGE GREENS,Hotel or motel,0,0,0
BRECKENRIDGE GREENS,Other residential,0,0,0
BRECKENRIDGE GREENS,No Response,0,0,0
BRINTNELL,Single-detached house,1208,152,5
BRINTNELL,Duplex/triplex/fourplex,34,10,0
BRINTNELL,Row house,24,18,0
BRINTNELL,Apartment with 5 or more stories,0,0,0
BRINTNELL,Apartment with less than 5 stories,0,0,0
BRINTNELL,Manufactured home/mobile home,0,0,0
BRINTNELL,Rooming house/collective residence,0,0,0
BRINTNELL,Hotel or motel,0,0,0
BRINTNELL,Other residential,0,0,0
BRINTNELL,No Response,0,0,0
BRITANNIA YOUNGSTOWN,Single-detached house,678,127,9
BRITANNIA YOUNGSTOWN,Duplex/triplex/fourplex,47,72,4
BRITANNIA YOUNGSTOWN,Row house,63,70,0
BRITANNIA YOUNGSTOWN,Apartment with 5 or more stories,0,1,0
BRITANNIA YOUNGSTOWN,Apartment with less than 5 stories,13,950,1
BRITANNIA YOUNGSTOWN,Manufactured home/mobile home,0,0,0
BRITANNIA YOUNGSTOWN,Rooming house/collective residence,0,0,0
BRITANNIA YOUNGSTOWN,Hotel or motel,0,1,0
BRITANNIA YOUNGSTOWN,Other residential,4,3,0
BRITANNIA YOUNGSTOWN,No Response,0,0,0
BROOKSIDE,Single-detached house,561,9,3
BROOKSIDE,Duplex/triplex/fourplex,0,0,0
BROOKSIDE,Row house,1,73,0
BROOKSIDE,Apartment with 5 or more stories,0,1,0
BROOKSIDE,Apartment with less than 5 stories,0,42,0
BROOKSIDE,Manufactured home/mobile home,0,0,0
BROOKSIDE,Rooming house/collective residence,0,0,0
BROOKSIDE,Hotel or motel,0,0,0
BROOKSIDE,Other residential,0,0,0
BROOKSIDE,No Response,0,0,0
BROWN INDUSTRIAL,Single-detached house,0,0,0
BROWN INDUSTRIAL,Duplex/triplex/fourplex,0,0,0
BROWN INDUSTRIAL,Row house,0,0,0
BROWN INDUSTRIAL,Apartment with 5 or more stories,0,0,0
BROWN INDUSTRIAL,Apartment with less than 5 stories,0,0,0
BROWN INDUSTRIAL,Manufactured home/mobile home,0,0,0
BROWN INDUSTRIAL,Rooming house/collective residence,0,0,0
BROWN INDUSTRIAL,Hotel or motel,0,0,0
BROWN INDUSTRIAL,Other residential,0,0,0
BROWN INDUSTRIAL,No Response,0,0,0
BULYEA HEIGHTS,Single-detached house,1042,13,9
BULYEA HEIGHTS,Duplex/triplex/fourplex,125,2,3
BULYEA HEIGHTS,Row house,0,0,0
BULYEA HEIGHTS,Apartment with 5 or more stories,0,0,0
BULYEA HEIGHTS,Apartment with less than 5 stories,0,0,0
BULYEA HEIGHTS,Manufactured home/mobile home,0,0,0
BULYEA HEIGHTS,Rooming house/collective residence,0,0,0
BULYEA HEIGHTS,Hotel or motel,0,0,0
BULYEA HEIGHTS,Other residential,0,0,0
BULYEA HEIGHTS,No Response,0,0,0
CAERNARVON,Single-detached house,823,86,6
CAERNARVON,Duplex/triplex/fourplex,69,29,10
CAERNARVON,Row house,158,267,8
CAERNARVON,Apartment with 5 or more stories,0,0,0
CAERNARVON,Apartment with less than 5 stories,38,59,5
CAERNARVON,Manufactured home/mobile home,0,0,0
CAERNARVON,Rooming house/collective residence,0,0,0
CAERNARVON,Hotel or motel,0,0,0
CAERNARVON,Other residential,1,8,0
CAERNARVON,No Response,0,0,0
CALDER,Single-detached house,811,330,9
CALDER,Duplex/triplex/fourplex,83,259,3
CALDER,Row house,8,11,0
CALDER,Apartment with 5 or more stories,0,3,0
CALDER,Apartment with less than 5 stories,8,246,0
CALDER,Manufactured home/mobile home,0,0,0
CALDER,Rooming house/collective residence,2,0,0
CALDER,Hotel or motel,0,1,0
CALDER,Other residential,0,0,0
CALDER,No Response,0,0,0
CALLINGWOOD NORTH,Single-detached house,91,17,1
CALLINGWOOD NORTH,Duplex/triplex/fourplex,52,102,2
CALLINGWOOD NORTH,Row house,231,120,6
CALLINGWOOD NORTH,Apartment with 5 or more stories,97,39,2
CALLINGWOOD NORTH,Apartment with less than 5 stories,35,292,3
CALLINGWOOD NORTH,Manufactured home/mobile home,0,0,0
CALLINGWOOD NORTH,Rooming house/collective residence,0,0,0
CALLINGWOOD NORTH,Hotel or motel,0,0,0
CALLINGWOOD NORTH,Other residential,0,0,0
CALLINGWOOD NORTH,No Response,0,0,0
CALLINGWOOD SOUTH,Single-detached house,2,9,0
CALLINGWOOD SOUTH,Duplex/triplex/fourplex,0,18,0
CALLINGWOOD SOUTH,Row house,257,235,9
CALLINGWOOD SOUTH,Apartment with 5 or more stories,103,602,4
CALLINGWOOD SOUTH,Apartment with less than 5 stories,347,1152,16
CALLINGWOOD SOUTH,Manufactured home/mobile home,0,0,0
CALLINGWOOD SOUTH,Rooming house/collective residence,0,0,0
CALLINGWOOD SOUTH,Hotel or motel,0,0,0
CALLINGWOOD SOUTH,Other residential,0,0,0
CALLINGWOOD SOUTH,No Response,0,0,0
CAMERON HEIGHTS,Single-detached house,185,5,0
CAMERON HEIGHTS,Duplex/triplex/fourplex,0,0,0
CAMERON HEIGHTS,Row house,0,0,0
CAMERON HEIGHTS,Apartment with 5 or more stories,0,0,0
CAMERON HEIGHTS,Apartment with less than 5 stories,0,0,0
CAMERON HEIGHTS,Manufactured home/mobile home,0,0,0
CAMERON HEIGHTS,Rooming house/collective residence,0,0,0
CAMERON HEIGHTS,Hotel or motel,0,0,0
CAMERON HEIGHTS,Other residential,0,0,0
CAMERON HEIGHTS,No Response,0,0,0
CANON RIDGE,Single-detached house,158,7,0
CANON RIDGE,Duplex/triplex/fourplex,30,17,1
CANON RIDGE,Row house,78,153,0
CANON RIDGE,Apartment with 5 or more stories,0,0,0
CANON RIDGE,Apartment with less than 5 stories,266,29,10
CANON RIDGE,Manufactured home/mobile home,0,0,0
CANON RIDGE,Rooming house/collective residence,0,0,0
CANON RIDGE,Hotel or motel,0,0,0
CANON RIDGE,Other residential,0,0,0
CANON RIDGE,No Response,0,0,0
CANORA,Single-detached house,218,128,1
CANORA,Duplex/triplex/fourplex,162,243,0
CANORA,Row house,0,0,0
CANORA,Apartment with 5 or more stories,1,183,0
CANORA,Apartment with less than 5 stories,42,570,1
CANORA,Manufactured home/mobile home,0,0,0
CANORA,Rooming house/collective residence,0,0,0
CANORA,Hotel or motel,0,2,0
CANORA,Other residential,0,0,0
CANORA,No Response,0,0,0
CANOSSA,Single-detached house,833,48,18
CANOSSA,Duplex/triplex/fourplex,42,16,0
CANOSSA,Row house,37,5,0
CANOSSA,Apartment with 5 or more stories,0,0,0
CANOSSA,Apartment with less than 5 stories,0,0,0
CANOSSA,Manufactured home/mobile home,0,0,0
