SCHOOL_NAME,ADDRESS,POSTAL_CODE,WARD,WEBSITE,PHONE_NUMBER,FAX_NUMBER,EMAIL_ADDRESS,GRADE_LEVEL,PROGRAMS,AB_SCHOOL_NUMBER,GRADES_OFFERED,LATITUDE,LONGITUDE,LOCATION
Brookside,5504 143 Street NW,T6H4E5,F,http://brookside.epsb.ca,7804340464,7804396731,brookside@epsb.ca,Elementary,Regular Program (K-6),7146,Kindergarten to Grade 6,53.493226200000002,-113.5667897,"(53.4932262, -113.5667897)"
Caernarvon,14820 118 Street NW,T5X1T4,A,http://caernarvon.epsb.ca,7804567020,7804783443,caernarvon@epsb.ca,Elementary,"Regular Program (K-6), Chinese (Mandarin) Bilingual (K-6), Early Learning (Ages 3.5-4.5)",7225,Kindergarten to Grade 6,53.610415199999998,-113.5258527,"(53.6104152, -113.5258527)"
Calder,12950 118 Street NW,T5E5L2,A,http://calder.epsb.ca,7804544313,7804514272,calder@epsb.ca,Elementary,"Regular Program (K-6), Arabic Bilingual (K-1), Behaviour & Learning Assistance (1-6)",7113,Kindergarten to Grade 6,53.589311700000003,-113.5251349,"(53.5893117, -113.5251349)"
Callingwood,17335 76 Avenue NW,T5T2B1,E,http://callingwood.epsb.ca,7804870727,7804814917,callingwood@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7237,Kindergarten to Grade 6,53.509121299999997,-113.6229649,"(53.5091213, -113.6229649)"
Centennial,17420 57 Avenue NW,T6M1K4,E,http://centennial.epsb.ca,7804815590,7804879934,centennial@epsb.ca,Elementary,Regular Program (K-6),7260,Kindergarten to Grade 6,53.492940400000002,-113.62353,"(53.4929404, -113.62353)"
Centre for Education,1 Kingsway NW,T5H4G9,D,http://epsb.ca,7804298000,7804298318,info@epsb.ca,Administration,Administration for Edmonton Public Schools,,,53.555050000000001,-113.49628,"(53.55505, -113.49628)"
Centre High,"#200, 10310 102 Avenue NW",T5J5A2,F,http://centrehigh.epsb.ca,7804256753,7809178686,centrehigh@epsb.ca,Senior,Programming for 4th and 5th year high school students,17,Special,53.543007699999997,-113.4975915,"(53.5430077, -113.4975915)"
Clara Tyner,9420 Ottewell Road NW,T6B2E2,G,http://claratyner.epsb.ca,7804695339,7804685110,claratyner@epsb.ca,Elementary,Regular Program (K-6),7193,Kindergarten to Grade 6,53.532615399999997,-113.435817,"(53.5326154, -113.435817)"
Coronation,10925 139 Street NW,T5M1P8,C,http://coronation.epsb.ca,7804552008,7804558717,coronation@epsb.ca,Elementary,"Regular Program (K-6), International Baccalareate Primary Years (K-6)",7115,Kindergarten to Grade 6,53.5552858,-113.5613474,"(53.5552858, -113.5613474)"
Crawford Plains,4210 12 Avenue NW,T6L5V6,I,http://crawford.epsb.ca,7804637211,7804635844,crawfordplains@epsb.ca,Elementary,"Regular Program (K-6), Interactions (1-3)",7263,Kindergarten to Grade 6,53.440309999999997,-113.4059932,"(53.44031, -113.4059932)"
Crestwood,9735 144 Street NW,T5N2T3,C,http://crestwood.epsb.ca,7804524525,7804510294,crestwood@epsb.ca,"Elementary, Junior","Regular Program (K-9), Academic Alternative (7-9), Challenge (7-9)",7503,Kindergarten to Grade 9,53.533307100000002,-113.57084639999999,"(53.5333071, -113.5708464)"
Daly Grove,1888 37 Street NW,T6L2R2,I,http://dalygrove.epsb.ca,7804501532,7804614719,dalygrove@epsb.ca,Elementary,Regular Program (K-6),7264,Kindergarten to Grade 6,53.450099100000003,-113.3990424,"(53.4500991, -113.3990424)"
Dan Knott,1434 80 Street NW,T6K2C6,I,http://danknott.epsb.ca,7804627954,7804611841,danknott@epsb.ca,Junior,"Regular Program (7-9), Literacy (7-9), Pre-Advanced Placement (7-9), Strategies (7-9)",7563,Grade 7 to Grade 9,53.445610799999997,-113.4534994,"(53.4456108, -113.4534994)"
Delton,12126 89 Street NW,T5B3W4,D,http://delton.epsb.ca,7804778742,7804797553,delton@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-3), Early Learning (Ages 3.5-4.5), Opportunity (1-6)",7118,Kindergarten to Grade 6,53.575560400000001,-113.47799139999999,"(53.5755604, -113.4779914)"
Delwood,7315 Delwood Road NW,T5C3A9,B,http://delwood.epsb.ca,7804763969,7804781586,delwood@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6), Opportunity (1-6)",7194,Kindergarten to Grade 6,53.596816400000002,-113.4541595,"(53.5968164, -113.4541595)"
Dickinsfield,14320 88A Street NW,T5E6B6,A,http://dickinsfield.epsb.ca,7804764646,7804734295,dickinsfield@epsb.ca,Junior,"Regular Program (7-9), Behaviour & Learning Assistance (7-9), French Immersion (7-9), Literacy (7-9), Strategies (7-9)",7559,Grade 7 to Grade 9,53.605252900000004,-113.4765424,"(53.6052529, -113.4765424)"
Donnan,7803 87 Street NW,T6C3G6,G,http://donnan.epsb.ca,7804668573,7804624932,donnan@epsb.ca,"Elementary, Junior","Regular Program (K-6), Sports Alternative (3-6)",7505,Kindergarten to Grade 3,53.5142314,-113.46131870000001,"(53.5142314, -113.4613187)"
Dovercourt,13910 122 Avenue NW,T5L2W3,C,http://dovercourt.epsb.ca,7804556171,7804558203,dovercourt@epsb.ca,Elementary,"Regular Program (K-6), Chinese (Mandarin) Bilingual (K-6)",7121,Kindergarten to Grade 6,53.573316800000001,-113.5613362,"(53.5733168, -113.5613362)"
Dr. Donald Massey,5435 162 Avenue NW,T5Y0E8,B,http://donaldmassey.epsb.ca,7804575435,7804575447,donaldmassey@epsb.ca,"Elementary, Junior",Regular Program (K-9),1456,Kindergarten to Grade 9,53.623668199999997,-113.4220116,"(53.6236682, -113.4220116)"
D. S. MacKenzie,4020 106 Street NW,T6J1A6,H,http://dsmackenzie.epsb.ca,7804389103,7804389146,dsmackenzie@epsb.ca,Junior,"Regular Program (7-9), Behaviour & Learning Assistance (7-9), Challenge (7-9), Strategies (7-9)",7522,Grade 7 to Grade 9,53.475980700000001,-113.5050572,"(53.4759807, -113.5050572)"
Duggan,10616 36A Avenue NW,T6J0C9,H,http://duggan.epsb.ca,7804340319,7804343731,duggan@epsb.ca,Elementary,"Regular Program (K-6), Strategies (2-6)",7218,Kindergarten to Grade 6,53.471214500000002,-113.5059641,"(53.4712145, -113.5059641)"
Dunluce,11735 162 Avenue NW,T5X4M6,A,http://dunluce.epsb.ca,7804569080,7804566667,dunluce@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6)",7246,Kindergarten to Grade 6,53.622763999999997,-113.52682849999999,"(53.622764, -113.5268285)"
Earl Buxton,250 Rhatigan Road East NW,T6R2H7,F,http://earlbuxton.epsb.ca,7804351577,7804350178,earlbuxton@epsb.ca,Elementary,Regular Program (K-6),7278,Kindergarten to Grade 6,53.474297900000003,-113.5817772,"(53.4742979, -113.5817772)"
Eastglen,11430 68 Street NW,T5B1P1,D,http://eastglen.epsb.ca,7804791991,7804743154,eastglen@epsb.ca,Senior,"Regular Program (10-12), Advanced Placement (10-12), Community Learning Skills (10-12), Interactions (10-12)",7051,Grade 10 to Grade 12,53.568292499999998,-113.445155,"(53.5682925, -113.445155)"
Edith Rogers,8308 Mill Woods Road NW,T6K1Y7,I,http://edithrogers.epsb.ca,7804623310,7804623298,edithrogers@epsb.ca,Junior,"Regular Program (7-9), Behaviour & Learning Assistance (7-9), Cogito (7-9), Literacy (7-9), Opportunity (7-9), Strategies (7-9)",7561,Grade 7 to Grade 9,53.474269999999997,-113.45618,"(53.47427, -113.45618)"
Edmonton Christian High,14304 109 Avenue NW,T5N1H6,C,http://www.edmchristian.org,7804087945,7804540793,ecshs@epsb.ca,Senior,"Advanced Placement, (10-12), Faith Based (10-12)",7905,Grade 10 to Grade 12,53.554181999999997,-113.56772220000001,"(53.554182, -113.5677222)"
Edmonton Christian Northeast,5940 159 Avenue NW,T5Y0J5,B,http://www.edmchristian.org,7804087942,7804781728,ecsne@epsb.ca,"Elementary, Junior",Faith Based (K-9),1282,Kindergarten to Grade 9,53.619940800000002,-113.4329669,"(53.6199408, -113.4329669)"
Edmonton Christian West,14345 McQueen Road NW,T5N3L5,C,http://www.edmchristian.org,7804087948,7804525669,ecswest@epsb.ca,"Elementary, Junior",Faith Based (K-9),1283,Kindergarten to Grade 9,53.556214400000002,-113.56683529999999,"(53.5562144, -113.5668353)"
Ekota,1395 Knottwood Road East NW,T6K2P5,I,http://ekota.epsb.ca,7804625112,7804625016,ekota@epsb.ca,Elementary,"Regular Program (K-6), Early Learning (Ages 3.5 - 4.5), Strategies (2-6)",7233,Kindergarten to Grade 6,53.447839899999998,-113.4410639,"(53.4478399, -113.4410639)"
Elizabeth Finch,13815 160 Avenue NW,T6V0C9,A,http://elizabethfinch.epsb.ca,7804572022,7804572054,elizabethfinch@epsb.ca,"Elementary, Junior",Regular Program (K-9),1459,Kindergarten to Grade 9,53.621327999999998,-113.555632,"(53.621328, -113.555632)"
Ellerslie Campus ,521 66 Street SW,T6X1A3,I,http://ellerslie.epsb.ca,7809885556,7809888073,ellerslie@epsb.ca,"Elementary, Junior",Regular Program (K-9),7565,Kindergarten to Grade 9,53.4256539,-113.4426902,"(53.4256539, -113.4426902)"
Elmwood,16325 83 Avenue NW,T5R3V8,E,http://elmwood.epsb.ca,7804896749,7804444125,elmwood@epsb.ca,Elementary,"Early Education (Ages 2.5 - 4.5), Individual Support (1-6), Science Alternative (K-6)",7204,Kindergarten to Grade 6,53.516842400000002,-113.6045737,"(53.5168424, -113.6045737)"
Esther Starkman,2717 Terwillegar Way NW,T6R0G5,H,http://estherstarkman.epsb.ca,7804392717,7804392748,estherstarkman@epsb.ca,"Elementary, Junior",Regular Program (K-9),1460,Kindergarten to Grade 9,53.444951099999997,-113.5735076,"(53.4449511, -113.5735076)"
Evansdale,9303 150 Avenue NW,T5E2N7,A,http://evansdale.epsb.ca,7804763331,7804737013,evansdale@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (2-6), Early Education (Ages 2.5 - 4.5)",7215,Kindergarten to Grade 6,53.611019200000001,-113.4835866,"(53.6110192, -113.4835866)"
Florence Hallock,16437 87 Street NW,T5Z3X1,A,http://florencehallock.epsb.ca,7804781410,7804781481,florencehallock@epsb.ca,"Elementary, Junior",Regular Program (K-9),1457,Kindergarten to Grade 9,53.627201999999997,-113.474728,"(53.627202, -113.474728)"
Forest Heights,10304 81 Street NW,T6A3X4,G,http://forestheights.epsb.ca,7804660312,7804698243,forest@epsb.ca,Elementary,"Regular Program (K-6), German Bilingual (K-6)",7123,Kindergarten to Grade 6,53.546070499999999,-113.4525005,"(53.5460705, -113.4525005)"
Fraser,14904 21 Street NW,T5Y2L6,B,http://fraser.epsb.ca,7804720131,7804780781,fraser@epsb.ca,Elementary,"Regular Program (K-6), Interactions (K-3)",7273,Kindergarten to Grade 6,53.611995299999997,-113.3720321,"(53.6119953, -113.3720321)"
Garneau,10925 87 Avenue NW,T6G0X4,F,http://garneau.epsb.ca,7804331390,7804395184,garneau@epsb.ca,Elementary,"Regular Program (K-6), Child Study Centre (K-6)",7509,Kindergarten to Grade 6,53.5228714,-113.5127885,"(53.5228714, -113.5127885)"
George H. Luck,300 Bulyea Road NW,T6R2L4,F,http://gluck.epsb.ca,7804385011,7804306047,georgehluck@epsb.ca,Elementary,Regular Program (K-6),7279,Kindergarten to Grade 6,53.473452399999999,-113.5714021,"(53.4734524, -113.5714021)"
George P. Nicholson,1120 113 Street NW,T6J7J4,H,http://georgepnicholson.epsb.ca,7804399314,7804399356,georgepnicholson@epsb.ca,Elementary,Regular Program (K-6),1004,Kindergarten to Grade 6,53.442440099999999,-113.5247775,"(53.4424401, -113.5247775)"
Glendale,9812 161 Street NW,T5P3H4,C,http://glendale.epsb.ca,7804894300,7804894630,glendale@epsb.ca,Elementary,"Regular Program (K-6), Interactions (1-6)",7205,Kindergarten to Grade 6,53.536378399999997,-113.59912919999999,"(53.5363784, -113.5991292)"
Glengarry,9211 135 Avenue NW,T5E1N7,A,http://glengarry.epsb.ca,7804765373,7804733824,glengarry@epsb.ca,Elementary,Arabic Bilingual (K-6),7184,Kindergarten to Grade 6,53.596778,-113.48521220000001,"(53.596778, -113.4852122)"
Glenora,13520 102 Avenue NW,T5N0N7,C,http://glenora.epsb.ca,7804524740,7804523151,glenora@epsb.ca,Elementary,"Regular Program (K-5), International Baccalaureate Middle Years (6)",7126,Kindergarten to Grade 6,53.543067999999998,-113.55541839999999,"(53.543068, -113.5554184)"
Gold Bar,10524 46 Street NW,T6A1Y3,G,http://goldbar.epsb.ca,7804664116,7804480429,goldbar@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7127,Kindergarten to Grade 6,53.549192900000001,-113.4127979,"(53.5491929, -113.4127979)"
Grace Martin,8210 36 Avenue NW,T6K0C7,I,http://gmartin.epsb.ca,7804627121,7804627131,gmartin@epsb.ca,Elementary,"Regular Program (K-6), Literacy (4-6), Opportunity (1-6), Sakinah Circle (K-6)",7220,Kindergarten to Grade 6,53.470001400000001,-113.4596365,"(53.4700014, -113.4596365)"
Grandview Heights,6225 127 Street NW,T6H3W8,F,http://grandview.epsb.ca,7804341502,7804367822,grandview@epsb.ca,"Elementary, Junior","Regular Program (1-9), Academic Alternative (7-9)",7128,Grade 1 to Grade 9,53.499319900000003,-113.5473417,"(53.4993199, -113.5473417)"
Greenfield,3735 114 Street NW,T6J2G6,H,http://greenfield.epsb.ca,7804348581,7804351303,greenfield@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6)",7178,Kindergarten to Grade 6,53.473643199999998,-113.52711720000001,"(53.4736432, -113.5271172)"
Greenview,5904 38 Avenue NW,T6L3P5,I,http://greenview.epsb.ca,7804620660,7804685260,greenview@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6)",7250,Kindergarten to Grade 6,53.473710699999998,-113.42932,"(53.4737107, -113.42932)"
Grovenor,10345 144 Street NW,T5N2V3,C,http://grovenor.epsb.ca,7804550832,7804471198,grovenor@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7129,Kindergarten to Grade 6,53.545698399999999,-113.56916,"(53.5456984, -113.56916)"
Hardisty,10534 62 Street NW,T6A2M3,G,http://hardisty.epsb.ca,7804690426,7804692008,hardisty@epsb.ca,"Elementary, Junior","Regular Program (K-9), Individual Support (1-9), Interactions (7-9), Logos Christian (K-9)",7512,Kindergarten to Grade 9,53.548247099999998,-113.4282103,"(53.5482471, -113.4282103)"
Harry Ainlay,4350 111 Street NW,T6J1E8,H,http://ainlay.ca,7804132700,7804381465,hainlay@epsb.ca,Senior,"Regular Program (10-12), French Immersion (10-12), Interactions (10-12), International Baccalaureate Certificate (10-12), International Baccalaureate Diploma (10-12)",7059,Grade 10 to Grade 12,53.479376000000002,-113.51818799999999,"(53.479376, -113.518188)"
Hazeldean,6715 97 Street NW,T6E3J9,G,http://hazeldean.epsb.ca,7804337583,7804395404,hazeldean@epsb.ca,Elementary,"Regular Program (K-6), Early Education (Ages 2.5 to 4.5)",7132,Kindergarten to Grade 6,53.504045099999999,-113.4794594,"(53.5040451, -113.4794594)"
Highlands,11509 62 Street NW,T5W4C2,D,http://highlands.epsb.ca,7804794206,7804777238,highlands@epsb.ca,Junior,"Regular Program (7-9), Arts Core (7-9), Behaviour & Learning Assistance (7-9), Pre-Advanced Placement (7-9)",7513,Grade 7 to Grade 9,53.569660599999999,-113.43596669999999,"(53.5696606, -113.4359667)"
Hillcrest,16400 80 Avenue NW,T5R3M6,E,http://hillcrest.epsb.ca,7804892516,7804442642,hillcrest@epsb.ca,Junior,"Regular Program (7-9), Literacy (7-9), Opportunity (7-9)",7552,Grade 7 to Grade 9,53.513756800000003,-113.6060044,"(53.5137568, -113.6060044)"
Hillview,355 Woodvale Road East NW,T6L5C3,I,http://hillview.epsb.ca,7804638108,7804625222,hillview@epsb.ca,Elementary,"Regular Program (K-6), Early Education (Ages 2.5 to 4.5)",7255,Kindergarten to Grade 6,53.468239699999998,-113.4251154,"(53.4682397, -113.4251154)"
Holyrood,7920 94 Avenue NW,T6C1W5,G,http://holyrood.epsb.ca,7804662292,7804681044,holyrood@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6)",7514,Kindergarten to Grade 6,53.530498000000001,-113.44868200000001,"(53.530498, -113.448682)"
Homesteader,4455 128 Avenue NW,T5A3M9,B,http://homesteader.epsb.ca,7804781139,7804576945,homestead@epsb.ca,Elementary,"Regular Program (K-6), Early Education (Ages 2.5 to 4.5)",7240,Kindergarten to Grade 6,53.587933499999998,-113.41052639999999,"(53.5879335, -113.4105264)"
Horse Hill,19355 Meridian Street NE,T5Y6E5,B,http://horsehill.epsb.ca,7804726029,7804726254,horsehill@epsb.ca,Elementary,Regular Program (K-6),7567,Kindergarten to Grade 6,53.657708800000002,-113.3442962,"(53.6577088, -113.3442962)"
Inglewood,11515 127 Street NW,T5M0V4,C,http://inglewood.epsb.ca,7804554673,7804533384,inglewood@epsb.ca,Elementary,Regular Program (K-6),7136,Kindergarten to Grade 6,53.565500900000004,-113.54114850000001,"(53.5655009, -113.5411485)"
Jackson Heights,311 Jackson Road NW,T6L7H2,G,http://jacksonheights.epsb.ca,7804659797,7804659796,jacksonheights@epsb.ca,Elementary,"Regular Program (K-6), Interactions (1-6)",1003,Kindergarten to Grade 6,53.484033599999997,-113.4089927,"(53.4840336, -113.4089927)"
J. A. Fife,15004 76 Street NW,T5C1C2,B,http://jafife.epsb.ca,7804760775,7804738258,jafife@epsb.ca,Elementary,"Regular Program (K-6), French Immersion (K-6), Literacy (4-6)",7188,Kindergarten to Grade 6,53.611950899999997,-113.4602053,"(53.6119509, -113.4602053)"
James Gibbons - Stratford,8945 153 Street NW,T5R1P1,C,http://jgibbons.epsb.ca,7804898020,7804894224,jgibbons@epsb.ca,Elementary,Traditional (K-6),7207,Kindergarten to Grade 6,53.522728800000003,-113.5850545,"(53.5227288, -113.5850545)"
Jasper Place,8950 163 Street NW,T5R2P2,C,http://jasperplace.epsb.ca,7804089000,7804861984,jasper@epsb.ca,"Junior, Senior","Regular Program (10-12), Advanced Placement (10-12), Interactions (10-12), International Baccalaureate Certificate (10-12), International Baccalaureate Diploma (10-12)",7071,Grade 10 to Grade 12,53.526089200000001,-113.60278099999999,"(53.5260892, -113.602781)"
John A. McDougall,10930 107 Street NW,T5H2Z4,D,http://johnamcdougall.epsb.ca,7804260205,7804254088,mcdougall@epsb.ca,Elementary,"Regular Program (K-6), Early Learning (Ages 3.5-4.5)",7521,Kindergarten to Grade 6,53.555266799999998,-113.5047732,"(53.5552668, -113.5047732)"
John Barnett,14840 72 Street NW,T5C3E5,B,http://johnbarnett.epsb.ca,7804781351,7804570055,jbarnett@epsb.ca,Elementary,Regular Program (K-6),7214,Kindergarten to Grade 6,53.6096121,-113.44910419999999,"(53.6096121, -113.4491042)"
John D. Bracco,3150 139 Avenue NW,T5Y2P7,B,http://johndbracco.epsb.ca,7804751760,7804764427,jdbracco@epsb.ca,Junior,"Regular Program (7-9), Behaviour & Learning Assistance/Opportunity (7-9), Opportunity (7-9), Pre-Advanced Placement (7-9)",7573,Grade 7 to Grade 9,53.602927999999999,-113.3918427,"(53.602928, -113.3918427)"
Johnny Bright,1331 Rutherford Road SW,T6W1P4,H,http://johnnybright.epsb.ca,7804371341,7804378048,johnnybright@epsb.ca,"Elementary, Junior",Regular Program (K-9),1455,Kindergarten to Grade 9,53.419142200000003,-113.536314,"(53.4191422, -113.536314)"
J. Percy Page,2707 Mill Woods Road NW,T6K4A6,I,http://jpercypage.epsb.ca,7804623322,7804627803,jpercypage@epsb.ca,Senior,"Regular Program (10-12), Advanced Placement (10-12), Individual Support (10-12)",7075,Grade 10 to Grade 12,53.475383000000001,-113.462284,"(53.475383, -113.462284)"
Julia Kiniski,4304 41 Avenue NW,T6L5Y6,G,http://juliakiniski.epsb.ca,7804624622,7804400925,jkiniski@epsb.ca,Elementary,"Regular Program (K-6), Behaviour & Learning Assistance (1-6)",7275,Kindergarten to Grade 6,53.476970600000001,-113.40673750000001,"(53.4769706, -113.4067375)"
