WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,OCCUPIED,UNOCCUPIED,VACANT_LOT,UNDER_CONSTRUCTION,NO_LONGER_IN_USE,NO_RESPONSE
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0
Ward 2,3320,OXFORD,1140,28,0,0,8,0
Ward 2,3340,PEMBINA,285,7,0,0,3,0
Ward 2,3350,PRINCE CHARLES,610,28,1,12,23,0
Ward 2,1170,PRINCE RUPERT,631,52,0,0,42,0
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,1240,94,1,2,52,0
Ward 2,3400,RURAL NORTH WEST,0,0,0,0,0,0
Ward 2,3410,SHERBROOKE,1031,53,0,24,18,0
Ward 2,1230,SPRUCE AVENUE,1094,133,3,2,84,0
Ward 2,3430,WELLINGTON,1212,28,0,0,7,0
Ward 2,1250,WESTWOOD,1834,178,2,0,157,0
Ward 2,3450,WOODCROFT,1269,84,1,1,41,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,1,0,0,0,2,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0
Ward 3,3030,BATURYN,1719,43,0,0,5,0
Ward 3,3040,BEAUMARIS,1928,34,1,0,8,0
Ward 3,2050,BELLE RIVE,1172,8,0,0,2,0
Ward 3,3080,CANOSSA,1019,20,2,3,0,0
Ward 3,3120,CHAMBERY,589,20,0,34,1,0
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0
Ward 3,3180,DUNLUCE,2418,58,3,2,13,0
Ward 3,2241,EAUX CLAIRES,1149,13,0,3,3,0
Ward 3,3190,ELSINORE,729,19,19,14,1,0
Ward 3,2260,EVANSDALE,2074,61,0,0,12,0
Ward 3,2410,KILKENNY,2091,77,0,2,10,0
Ward 3,2440,KLARVATTEN,1507,69,1,1,1,0
Ward 3,2450,LAGO LINDO,1363,30,0,0,3,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0,0,0,0
Ward 3,3280,LORELEI,1447,26,0,1,1,0
Ward 3,2511,MAYLIEWAN,1263,16,0,0,0,0
Ward 3,2600,OZERNA,1371,18,0,2,3,0
Ward 3,3370,RAPPERSWILL,0,0,0,0,0,0
Ward 3,2700,SCHONSEE,507,85,35,87,0,0
Ward 4,2030,BANNERMAN,1192,31,0,0,6,0
Ward 4,2070,BELMONT,2000,51,3,0,4,0
Ward 4,2080,BELVEDERE,2362,186,1,59,58,0
Ward 4,2110,BRINTNELL,1607,23,0,4,1,0
Ward 4,2120,CANON RIDGE,935,33,0,107,6,0
Ward 4,2130,CASSELMAN,1407,50,0,3,13,0
Ward 4,2145,CLAREVIEW TOWN CENTRE,1508,62,0,0,18,0
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,669,21,3,4,0,0
Ward 4,2280,FRASER,1206,46,0,1,3,0
Ward 4,2311,GORMAN,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,976,30,0,0,6,0
Ward 4,2340,HOLLICK-KENYON,1705,41,16,69,0,0
Ward 4,2350,HOMESTEADER,1251,43,0,1,7,0
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,1166,19,0,1,2,0
Ward 4,2430,KIRKNESS,1414,20,0,0,9,0
Ward 4,2500,MATT BERRY,1263,35,3,0,1,0
Ward 4,2521,MCCONACHIE AREA,310,14,62,0,0,0
Ward 4,2530,MCLEOD,862,14,0,0,0,0
Ward 4,2541,MILLER,1106,31,0,5,6,0
Ward 4,2590,OVERLANDERS,1254,23,1,0,3,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,81,2,3,0,2,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,69,1,1,0,0,0
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,183,7,7,0,0,0
Ward 4,2710,SIFTON PARK,872,55,0,0,8,0
Ward 4,2720,YORK,1477,53,2,0,20,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1136,35,1,1,4,0
Ward 5,4080,CALLINGWOOD SOUTH,2852,128,2,0,67,0
Ward 5,4466,CAMERON HEIGHTS,378,29,0,55,1,0
Ward 5,4110,DECHENE,595,3,0,1,0,0
Ward 5,4120,DONSDALE,511,32,3,7,1,0
Ward 5,4140,ELMWOOD,1044,21,0,0,5,0
Ward 5,4160,GARIEPY,735,5,0,0,1,0
Ward 5,4720,GLASTONBURY,2299,131,101,24,20,0
Ward 5,4551,GRANVILLE,70,20,0,0,0,0
Ward 5,4220,JAMIESON PLACE,1309,32,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1176,23,0,11,2,0
Ward 5,4270,LYMBURN,2136,60,0,0,3,0
Ward 5,4280,LYNNWOOD,1383,36,0,0,12,0
Ward 5,4360,OLESKIW,1073,21,1,7,1,0
Ward 5,4380,ORMSBY PLACE,1885,59,0,0,9,0
Ward 5,4390,PATRICIA HEIGHTS,699,23,1,0,9,0
Ward 5,4420,QUESNELL HEIGHTS,118,3,0,3,0,0
Ward 5,4430,RIO TERRACE,500,6,1,2,1,0
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,183,10,0,3,1,0
Ward 5,4461,THE HAMPTONS,3312,94,35,68,5,0
Ward 5,4560,THORNCLIFF,1317,37,0,0,12,0
Ward 5,4570,WEDGEWOOD HEIGHTS,506,6,0,1,0,0
Ward 5,4610,WESTRIDGE,487,9,0,0,0,0
Ward 6,1020,BOYLE STREET,3558,216,17,191,292,0
Ward 6,1030,CENTRAL MCDOUGALL,2925,198,4,7,233,0
Ward 6,1090,DOWNTOWN,7666,538,4,255,644,0
Ward 6,3200,GLENORA,1472,50,59,16,8,0
Ward 6,3210,GROVENOR,1004,28,4,7,43,0
Ward 6,1140,MCCAULEY,2182,373,24,55,406,0
Ward 6,3300,MCQUEEN,811,17,0,0,61,0
Ward 6,3310,NORTH GLENORA,849,22,0,2,8,0
Ward 6,1150,OLIVER,12524,653,12,43,252,0
Ward 6,1180,QUEEN MARY PARK,4030,259,4,41,378,0
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,948,35,2,2,37,0
Ward 6,1220,ROSSDALE,475,19,0,1,9,0
Ward 6,3440,WESTMOUNT,3114,172,2,24,127,0
Ward 7,2010,ABBOTTSFIELD,722,8,0,2,3,0
Ward 7,1010,ALBERTA AVENUE,2827,299,4,34,230,0
Ward 7,2020,BALWIN,1517,167,7,17,60,0
Ward 7,2040,BEACON HEIGHTS,1294,65,0,1,45,0
Ward 7,2060,BELLEVUE,475,20,0,0,21,0
Ward 7,2090,BERGMAN,536,40,1,0,1,0
Ward 7,2100,BEVERLY HEIGHTS,1578,96,1,5,98,0
Ward 7,1070,CROMDALE,1097,154,5,1,82,0
Ward 7,1080,DELTON,878,80,0,5,14,0
Ward 7,2230,DELWOOD,1338,36,0,0,5,0
Ward 7,1100,EASTWOOD,1946,190,2,56,132,0
Ward 7,1120,EDMONTON NORTHLANDS,2,0,0,0,0,0
Ward 7,1130,ELMWOOD PARK,562,69,0,3,19,0
Ward 7,2290,GLENGARRY,1238,47,0,1,15,0
Ward 7,2330,HIGHLANDS,1207,70,1,4,65,0
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0
Ward 7,2400,KILDARE,1153,53,1,1,2,0
Ward 7,2420,KILLARNEY,1735,82,0,0,78,0
Ward 7,2550,MONTROSE,1451,87,0,4,44,0
Ward 7,2560,NEWTON,1260,15,0,9,21,0
Ward 7,2580,NORTHMOUNT,1151,36,1,0,4,0
Ward 7,1160,PARKDALE,1564,176,1,95,61,0
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,1338,67,0,0,21,0
Ward 7,1240,VIRGINIA PARK,418,18,0,4,11,0
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0
Ward 8,5040,BELGRAVIA,879,38,1,47,10,0
Ward 8,6040,BONNIE DOON,2171,171,8,14,90,0
Ward 8,6061,CAPILANO,1084,13,0,2,1,0
Ward 8,6070,CLOVERDALE,448,22,0,0,6,0
Ward 8,5150,CPR WEST,0,0,0,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1899,147,7,11,92,0
Ward 8,6240,FULTON PLACE,942,30,0,1,12,0
Ward 8,5200,GARNEAU,5358,317,3,12,124,0
Ward 8,6270,GOLD BAR,1144,23,1,0,27,0
Ward 8,6310,HOLYROOD,1524,66,0,11,25,0
Ward 8,6320,IDYLWYLDE,935,45,1,4,13,0
Ward 8,6350,KENILWORTH,1066,27,4,1,4,0
Ward 8,6380,LAMBTON INDUSTRIAL,1,0,0,0,2,0
Ward 8,5290,MCKERNAN,1153,68,3,11,47,0
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,2566,90,0,47,18,0
Ward 8,5330,QUEEN ALEXANDRA,2783,237,2,24,231,0
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,5201,341,8,67,312,0
Ward 8,6710,STRATHEARN,1485,67,1,7,28,0
Ward 8,6730,TERRACE HEIGHTS,1117,88,1,3,24,0
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,451,30,2,10,2,0
Ward 9,5458,ALLARD,89,41,0,78,0,0
Ward 9,5505,AMBLESIDE,973,204,0,170,11,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0
Ward 9,5590,BLACKBURNE,583,5,1,0,5,0
Ward 9,5453,BLACKMUD CREEK,924,17,0,0,1,0
Ward 9,5080,BRANDER GARDENS,1065,28,0,0,43,0
Ward 9,5090,BROOKSIDE,702,13,0,5,1,0
Ward 9,5100,BULYEA HEIGHTS,1197,10,0,0,0,0
Ward 9,5457,CALLAGHAN,430,132,1,113,1,0
Ward 9,5130,CARTER CREST,610,6,0,0,3,0
Ward 9,5462,CHAPPELLE AREA,50,86,8,94,0,0
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0
Ward 9,5190,FALCONER HEIGHTS,870,13,1,0,17,0
Ward 9,5610,HADDOW,1552,22,0,3,13,0
Ward 9,5230,HENDERSON ESTATES,617,5,0,0,0,0
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0
Ward 9,5620,HODGSON,946,21,0,8,3,0
Ward 9,5630,LEGER,794,10,0,0,1,0
Ward 9,5452,MACEWAN,2334,45,0,8,46,0
Ward 9,5477,MACTAGGART,556,65,0,185,6,0
Ward 9,5476,MAGRATH HEIGHTS,937,18,1,36,1,0
Ward 9,5300,OGILVIE RIDGE,347,14,0,0,0,0
Ward 9,5340,RAMSAY HEIGHTS,1369,35,2,2,20,0
Ward 9,5350,RHATIGAN RIDGE,1113,14,0,2,1,0
Ward 9,5451,RICHFORD,186,15,0,7,1,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0
Ward 9,5454,RUTHERFORD,3143,195,67,72,88,0
Ward 9,5641,SOUTH TERWILLEGAR,3063,140,5,305,14,0
Ward 9,5640,TERWILLEGAR TOWNE,2284,60,1,2,29,0
Ward 9,5511,TWIN BROOKS,2237,31,0,0,5,0
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,772,187,193,531,8,0
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0
Ward 10,5010,ALLENDALE,1272,146,5,17,103,0
Ward 10,5020,ASPEN GARDENS,634,15,0,0,1,0
Ward 10,5030,BEARSPAW,817,10,0,0,2,0
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,1977,39,0,1,25,0
Ward 10,5070,BLUE QUILL ESTATES,547,16,0,0,2,0
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0
Ward 10,5160,DUGGAN,1710,56,0,2,19,0
Ward 10,5170,EMPIRE PARK,2401,60,0,0,6,0
Ward 10,5180,ERMINESKIN,2486,208,0,13,42,0
Ward 10,5210,GRANDVIEW HEIGHTS,350,13,0,2,1,0
Ward 10,5220,GREENFIELD,1356,72,0,0,2,0
Ward 10,5250,KEHEEWIN,1191,48,0,0,12,0
Ward 10,5260,LANSDOWNE,528,15,0,2,7,0
Ward 10,5270,LENDRUM PLACE,805,31,0,0,10,0
Ward 10,5280,MALMO PLAINS,1257,29,0,1,18,0
Ward 10,5310,PARKALLEN,1015,73,1,12,38,0
Ward 10,5320,PLEASANTVIEW,1777,255,1,6,37,0
Ward 10,5360,RIDEAU PARK,958,11,0,161,6,0
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1403,41,0,1,16,0
Ward 10,5460,SKYRATTLER,1048,17,0,3,104,0
Ward 10,5470,STEINHAUER,774,11,0,1,2,0
Ward 10,5490,SWEET GRASS,1039,14,0,0,3,0
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,477,17,1,1,3,0
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6010,ARGYLL,342,2,0,2,8,0
Ward 11,6020,AVONMORE,971,29,1,1,15,0
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0
Ward 11,6200,EKOTA,907,38,2,0,2,0
Ward 11,6250,GAINER INDUSTRIAL,128,53,57,0,2,0
Ward 11,6260,GIRARD INDUSTRIAL,1,0,0,0,0,0
Ward 11,6280,GREENVIEW,1044,33,0,1,2,0
Ward 11,6290,HAZELDEAN,1300,108,0,14,109,0
Ward 11,6300,HILLVIEW,1362,19,0,0,8,0
Ward 11,6340,KAMEYOSEK,1139,23,0,0,9,0
Ward 11,6360,KING EDWARD PARK,2028,126,2,24,67,0
Ward 11,6400,LEE RIDGE,1013,36,0,0,8,0
Ward 11,6410,MAPLE RIDGE,810,53,3,0,0,0
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,23,6,2,0,2,0
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6450,MENISA,908,11,0,0,0,0
Ward 11,6460,MEYOKUMIN,1029,32,0,0,2,0
Ward 11,6470,MEYONOHK,1086,37,0,1,5,0
Ward 11,6480,MICHAELS PARK,809,33,0,0,4,0
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,657,21,0,0,11,0
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,1098,63,0,0,3,0
Ward 11,6610,RITCHIE,2312,75,18,12,162,0
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0
Ward 11,6670,SAKAW,1351,46,0,1,10,0
Ward 11,6680,SATOO,1242,18,0,1,4,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0
Ward 11,6720,TAWA,968,22,0,0,5,0
Ward 11,6750,TIPASKAN,1061,48,0,1,15,0
Ward 11,6760,TWEDDLE PLACE,1076,58,0,0,7,0
Ward 11,6780,WEIR INDUSTRIAL,49,10,1,0,18,0
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0
Ward 12,6030,BISSET,1349,50,0,0,12,0
Ward 12,6661,CHARLESWORTH,1015,35,0,3,1,0
Ward 12,6140,CRAWFORD PLAINS,1440,33,0,0,4,0
Ward 12,6150,DALY GROVE,1207,38,0,0,8,0
Ward 12,6211,ELLERSLIE,2012,56,0,2,17,0
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0
Ward 12,6330,JACKSON HEIGHTS,1239,30,0,0,1,0
Ward 12,6370,KINISKI GARDENS,2177,36,0,0,2,0
Ward 12,6390,LARKSPUR,1630,46,0,0,2,0
Ward 12,6444,LAUREL,519,39,17,178,12,0
Ward 12,6441,MAPLE,0,0,0,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0
Ward 12,6530,MINCHAU,1093,44,0,0,5,0
Ward 12,6580,POLLARD MEADOWS,1631,40,0,30,8,0
Ward 12,6660,RURAL SOUTH EAST,66,14,0,1,3,0
Ward 12,6442,SILVER BERRY,2420,65,2,78,4,0
Ward 12,6213,SUMMERSIDE,2649,180,24,204,17,0
Ward 12,6443,TAMARACK,748,35,0,137,2,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0,0,0,0
Ward 12,6662,WALKER,736,27,144,69,0,0
Ward 12,6770,WEINLOS,1189,31,0,1,4,0
Ward 12,6790,WILD ROSE,2357,40,3,37,4,0
