Ward,Neighbourhood Number,Neighbourhood Name,Married,Common Law,Separated/Divorced,Never Married,Widowed,No Response
WARD 2,1250,WESTWOOD,512,134,212,906,53,1300
WARD 6,3440,WESTMOUNT,1484,421,320,1802,123,1737
WARD 7,1130,ELMWOOD PARK,192,70,81,305,41,404
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0
WARD 2,3390,ROSSLYN,879,169,251,821,321,534
WARD 7,1160,PARKDALE,518,169,188,894,89,1474
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0
WARD 8,6730,TERRACE HEIGHTS,442,93,107,477,71,1234
WARD 12,6150,DALY GROVE,1057,142,143,1059,67,968
WARD 3,2450,LAGO LINDO,1255,134,109,945,68,1422
WARD 4,2251,EBBERS,51,10,1,46,1,16
WARD 1,4520,SUMMERLEA,588,98,123,512,86,624
WARD 4,2070,BELMONT,1444,247,218,1619,153,1541
WARD 12,6444,LAUREL,1588,148,59,1475,41,3740
WARD 6,3210,GROVENOR,549,165,126,583,61,676
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0
WARD 11,6600,RICHFIELD,1030,144,160,1356,90,540
WARD 2,3111,GRIESBACH,1005,188,126,1238,64,2093
WARD 9,5466,CASHMAN,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,515,74,58,397,18,507
WARD 8,6320,IDYLWYLDE,480,104,125,543,136,434
WARD 3,3190,ELSINORE,844,40,49,576,55,746
WARD 7,2550,MONTROSE,621,173,207,809,93,1406
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0
WARD 8,6270,GOLD BAR,856,198,148,814,120,663
WARD 9,5467,CAVANAGH,0,0,0,0,0,0
WARD 1,4310,MEADOWLARK PARK,944,108,172,749,218,511
WARD 2,1170,PRINCE RUPERT,400,85,30,425,34,318
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0
WARD 10,5310,PARKALLEN,692,112,110,689,40,731
WARD 11,6670,SAKAW,1466,199,214,1374,94,637
WARD 9,5190,FALCONER HEIGHTS,633,27,58,408,85,756
WARD 1,4020,ALDERGROVE,1799,198,185,1651,132,1015
WARD 10,5430,ROYAL GARDENS,914,116,132,965,122,1144
WARD 10,5160,DUGGAN,1703,179,212,1596,134,709
WARD 5,4080,CALLINGWOOD SOUTH,943,232,318,1318,169,2528
WARD 4,2320,HAIRSINE,599,147,178,872,64,574
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0
WARD 9,5465,HAYS RIDGE AREA,67,6,0,39,2,46
WARD 4,2500,MATT BERRY,1554,89,88,1346,85,855
WARD 3,2463,CRYSTALLINA NERA WEST,108,31,1,91,0,678
WARD 8,5040,BELGRAVIA,840,70,79,808,56,481
WARD 7,2230,DELWOOD,909,127,132,831,159,1155
WARD 6,1030,CENTRAL MCDOUGALL,735,193,293,1508,88,2094
WARD 11,6110,CPR IRVINE,18,26,4,39,0,79
WARD 7,2020,BALWIN,875,168,209,1126,124,1320
WARD 1,4290,MAYFIELD,442,103,108,460,73,777
WARD 2,3450,WOODCROFT,572,93,218,508,195,558
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0
WARD 5,4160,GARIEPY,620,34,63,352,30,658
WARD 3,2511,MAYLIEWAN,1344,88,83,1057,91,1390
WARD 12,6390,LARKSPUR,2057,194,186,1783,114,780
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0
WARD 7,1080,DELTON,441,103,138,656,75,575
WARD 1,4750,ROSENTHAL,266,38,15,205,7,930
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0
WARD 9,5100,BULYEA HEIGHTS,863,21,37,471,49,1998
WARD 12,6370,KINISKI GARDENS,1961,232,216,1778,91,1802
WARD 1,4475,KINOKAMAU PLAINS AREA,62,8,1,38,3,0
WARD 3,2050,BELLE RIVE,1322,86,91,1101,86,1048
WARD 1,4486,STEWART GREENS,40,8,3,30,0,163
WARD 2,3260,LAUDERDALE,538,78,107,815,64,1307
WARD 7,2330,HIGHLANDS,846,170,178,718,112,521
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0
WARD 12,6443,TAMARACK,1258,143,94,1300,37,1745
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0
WARD 10,5010,ALLENDALE,383,118,122,625,68,1423
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0
WARD 9,5462,CHAPPELLE AREA,643,124,40,586,12,2908
WARD 8,6710,STRATHEARN,518,151,235,507,136,1095
WARD 5,4360,OLESKIW,995,36,32,486,48,1205
WARD 5,4570,WEDGEWOOD HEIGHTS,514,28,28,278,24,559
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0
WARD 9,5469,PAISLEY,133,20,11,111,1,208
WARD 1,4240,LA PERLE,1330,168,238,1407,150,1554
WARD 9,5576,KESWICK AREA,257,40,20,182,10,80
WARD 12,6441,MAPLE,390,60,23,230,3,443
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0
WARD 11,6200,EKOTA,652,98,99,674,48,844
WARD 6,1140,MCCAULEY,621,152,263,1004,130,2629
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0
WARD 11,6450,MENISA,1152,120,178,875,77,221
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0
WARD 7,2660,RUNDLE HEIGHTS,762,145,153,831,74,1444
WARD 2,3320,OXFORD,1522,140,113,1270,90,903
WARD 7,1100,EASTWOOD,605,202,260,1055,123,1770
WARD 9,5451,RICHFORD,334,17,27,199,29,152
WARD 10,5060,BLUE QUILL,1347,111,186,1392,71,1512
WARD 9,5458,ALLARD,811,89,42,671,21,1499
WARD 5,4390,PATRICIA HEIGHTS,492,100,69,571,29,464
WARD 5,4380,ORMSBY PLACE,1484,175,194,1422,75,2014
WARD 1,4180,GLENWOOD,1229,231,298,1313,221,1687
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0
WARD 7,1240,VIRGINIA PARK,135,12,59,118,66,341
WARD 9,5454,RUTHERFORD,3818,501,323,3594,155,2452
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,4,2,0,68,0,3
WARD 7,1070,CROMDALE,382,147,112,698,91,629
WARD 11,6720,TAWA,547,73,146,456,125,685
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0
WARD 10,5320,PLEASANTVIEW,1017,167,212,1044,249,1213
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,237
WARD 1,4730,SUDER GREENS,1154,139,95,1020,65,807
WARD 2,3240,INGLEWOOD,1071,409,447,2140,282,1573
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,1690
WARD 12,6660,RURAL SOUTH EAST,89,9,7,42,7,14
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0
WARD 12,6211,ELLERSLIE,1574,195,128,1643,60,1940
WARD 12,6442,SILVER BERRY,1694,151,109,1587,73,5387
WARD 8,6550,OTTEWELL,1786,259,303,1452,244,1685
WARD 8,5290,MCKERNAN,585,188,121,1005,36,520
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0
WARD 11,6280,GREENVIEW,924,107,121,786,48,657
WARD 9,5468,GRAYDON HILL,26,10,4,27,0,62
WARD 2,3170,DOVERCOURT,625,155,143,616,62,514
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0
WARD 7,2560,NEWTON,825,165,164,772,96,794
WARD 9,5640,TERWILLEGAR TOWNE,1988,189,209,1766,184,1848
WARD 11,6680,SATOO,1064,146,127,983,84,878
WARD 2,3150,CUMBERLAND,1929,239,175,1774,79,1882
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0
WARD 10,5460,SKYRATTLER,594,139,172,685,38,453
WARD 6,3300,MCQUEEN,413,51,101,424,99,639
WARD 12,6770,WEINLOS,983,109,130,801,79,1206
WARD 11,6610,RITCHIE,912,392,267,1362,134,912
WARD 5,4466,CAMERON HEIGHTS,832,51,39,531,15,175
WARD 11,6410,MAPLE RIDGE,400,147,131,332,71,528
WARD 10,5070,BLUE QUILL ESTATES,517,47,42,388,21,204
WARD 12,6662,WALKER,2958,329,204,2601,70,1384
WARD 7,2420,KILLARNEY,991,218,180,1265,107,1591
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0
WARD 7,2040,BEACON HEIGHTS,796,194,176,1077,141,503
WARD 4,2530,MCLEOD,847,90,96,582,87,524
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0
WARD 2,3020,BARANOW,269,52,83,296,83,994
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0
WARD 10,5030,BEARSPAW,916,63,74,603,78,369
WARD 3,3370,RAPPERSWILL,396,74,31,386,8,1132
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,59
WARD 5,3270,LAURIER HEIGHTS,1082,90,118,729,193,622
WARD 1,4540,TERRA LOSA,606,89,198,504,221,605
WARD 1,4710,POTTER GREENS,741,59,31,376,44,239
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0
WARD 2,3480,HUDSON,734,72,55,749,33,742
WARD 9,5590,BLACKBURNE,634,60,52,391,42,231
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,49,17,15,57,0,420
WARD 5,4420,QUESNELL HEIGHTS,187,10,9,139,7,20
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0
WARD 3,3030,BATURYN,1549,205,185,1254,117,1608
WARD 9,5477,MACTAGGART,944,81,72,747,46,227
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,11,5,2,8,0,289
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0
WARD 10,5020,ASPEN GARDENS,684,34,69,570,52,241
WARD 6,3310,NORTH GLENORA,591,117,113,616,61,417
WARD 12,6661,CHARLESWORTH,1502,205,148,1584,57,1966
WARD 4,2311,GORMAN,0,0,0,0,0,0
WARD 10,5360,RIDEAU PARK,589,39,109,451,117,676
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0
WARD 7,2290,GLENGARRY,788,129,144,691,173,1084
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0
WARD 5,4110,DECHENE,684,45,41,391,40,431
WARD 9,5230,HENDERSON ESTATES,896,27,41,547,36,258
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0
WARD 2,1230,SPRUCE AVENUE,209,65,68,358,24,1158
WARD 3,2440,KLARVATTEN,1771,205,122,1650,79,1903
WARD 6,1180,QUEEN MARY PARK,1154,363,357,2044,125,2903
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0
WARD 2,3010,ATHLONE,844,201,143,826,93,1051
WARD 7,2090,BERGMAN,528,93,60,423,54,395
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0
WARD 3,2700,SCHONSEE,1041,96,96,1152,91,353
WARD 6,1020,BOYLE STREET,822,300,502,1637,264,3215
WARD 8,6061,CAPILANO,1275,144,89,684,104,238
WARD 12,6580,POLLARD MEADOWS,1170,122,194,1297,110,1677
WARD 4,2145,CLAREVIEW TOWN CENTRE,675,156,119,879,48,1458
WARD 11,6520,MILL WOODS TOWN CENTRE,362,29,95,256,139,299
WARD 5,4430,RIO TERRACE,527,40,61,358,38,262
WARD 5,4462,EDGEMONT,382,31,12,283,8,820
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0
WARD 2,3060,CAERNARVON,1023,149,147,975,90,1955
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0
WARD 9,5610,HADDOW,1629,105,109,1248,107,994
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0
WARD 9,5453,BLACKMUD CREEK,1186,77,86,919,60,435
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0
WARD 8,5580,WINDSOR PARK,434,21,28,243,29,2063
WARD 8,6240,FULTON PLACE,623,87,78,420,93,700
WARD 11,6290,HAZELDEAN,860,250,162,979,106,916
WARD 2,3470,CARLTON,1340,148,119,1263,68,1995
WARD 2,3410,SHERBROOKE,631,140,146,715,67,894
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,100
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0
WARD 11,6750,TIPASKAN,949,136,130,1066,61,618
WARD 1,4230,JASPER PARK,376,74,103,486,81,635
WARD 3,2241,EAUX CLAIRES,1086,173,123,1031,85,929
WARD 5,4140,ELMWOOD,882,150,138,1106,105,340
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0
WARD 11,6460,MEYOKUMIN,809,92,125,821,65,1108
WARD 10,5180,ERMINESKIN,1499,248,314,1416,298,1466
WARD 5,4610,WESTRIDGE,605,32,25,362,34,297
WARD 4,2521,MCCONACHIE AREA,1233,204,84,1324,49,2047
WARD 11,6010,ARGYLL,219,30,32,157,21,318
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0
WARD 8,5200,GARNEAU,1097,330,234,2996,206,4927
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0
WARD 5,4270,LYMBURN,1869,251,260,1878,131,1303
WARD 12,6213,SUMMERSIDE,4172,626,247,4072,124,4119
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0
WARD 11,6470,MEYONOHK,693,102,89,687,41,1248
WARD 4,2430,KIRKNESS,1114,226,235,1412,77,923
WARD 3,3180,DUNLUCE,1554,262,314,1711,128,2354
WARD 9,5630,LEGER,808,19,61,633,47,894
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,346,23,6,157,7,113
WARD 9,5505,AMBLESIDE,1613,197,169,1342,74,1042
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0
WARD 9,5350,RHATIGAN RIDGE,1779,59,100,893,92,154
WARD 6,1150,OLIVER,2714,1129,1238,4424,623,7995
WARD 4,2030,BANNERMAN,958,188,248,1210,79,346
WARD 6,1090,DOWNTOWN,1652,651,536,3316,420,6193
WARD 4,2080,BELVEDERE,934,212,323,1266,154,2280
WARD 5,4280,LYNNWOOD,888,159,150,866,84,1133
WARD 8,5480,STRATHCONA,1787,602,448,2326,155,3655
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0
WARD 1,4580,WEST JASPER PLACE,701,106,189,644,83,1345
WARD 3,2600,OZERNA,1482,98,124,1096,97,1493
WARD 1,4474,STARLING,180,26,11,74,1,362
WARD 12,6330,JACKSON HEIGHTS,1144,69,96,817,80,1771
WARD 4,2390,KERNOHAN,1157,92,149,783,72,739
WARD 12,6030,BISSET,1296,136,136,1200,64,1114
WARD 4,2670,RURAL NORTH EAST HORSE HILL,36,4,0,27,4,524
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0
WARD 2,3430,WELLINGTON,829,162,143,861,107,1028
WARD 4,2590,OVERLANDERS,576,173,188,906,50,1044
WARD 11,6360,KING EDWARD PARK,985,275,246,1409,129,1204
WARD 9,5457,CALLAGHAN,1132,174,82,985,31,1155
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0
WARD 2,3340,PEMBINA,157,32,36,130,30,138
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,1986,258,211,2041,92,1548
WARD 7,1010,ALBERTA AVENUE,1330,411,353,2064,209,2388
WARD 7,2010,ABBOTTSFIELD,371,100,119,774,34,509
WARD 1,4200,HIGH PARK,280,35,52,177,30,764
WARD 8,5330,QUEEN ALEXANDRA,815,348,244,1614,102,2035
WARD 1,4470,RURAL WEST BIG LAKE,62,2,0,13,1,48
WARD 3,2260,EVANSDALE,1494,212,256,1762,167,1913
WARD 1,4485,LEWIS FARMS INDUSTRIAL,26,4,3,24,1,33
WARD 2,3460,ALBANY,327,68,40,395,7,446
WARD 1,4620,WESTVIEW VILLAGE,412,135,127,462,73,948
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0
WARD 10,5470,STEINHAUER,861,83,87,715,57,324
WARD 8,6230,FOREST HEIGHTS,1026,250,214,1045,166,1400
WARD 4,2720,YORK,1205,188,225,1277,159,847
WARD 6,1220,ROSSDALE,246,67,57,232,12,248
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0
WARD 10,5170,EMPIRE PARK,974,286,233,1550,139,1720
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0
WARD 8,6040,BONNIE DOON,1000,252,274,1220,140,1653
WARD 11,6400,LEE RIDGE,519,54,92,508,40,1499
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0
WARD 1,4090,CANORA,492,141,175,742,57,1567
WARD 8,6350,KENILWORTH,836,112,167,669,132,637
WARD 3,3280,LORELEI,1317,222,192,1347,108,948
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0
WARD 10,5540,WESTBROOK ESTATES,436,16,24,267,34,304
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,160
WARD 9,5577,GLENRIDDING AREA,397,40,15,282,4,636
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0
WARD 9,5620,HODGSON,1087,63,80,841,61,582
WARD 1,4471,TRUMPETER AREA,342,85,41,271,9,308
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,74
WARD 9,5080,BRANDER GARDENS,709,66,164,786,55,694
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,408,86,30,363,8,1168
WARD 9,5090,BROOKSIDE,609,44,57,443,41,843
WARD 1,4060,BRITANNIA YOUNGSTOWN,902,234,304,1100,123,2076
WARD 9,5476,MAGRATH HEIGHTS,1282,44,74,1019,67,971
WARD 12,6790,WILD ROSE,2734,154,137,2111,140,3337
WARD 10,5260,LANSDOWNE,531,32,44,447,39,148
WARD 7,2100,BEVERLY HEIGHTS,908,184,298,875,251,668
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0
WARD 12,6140,CRAWFORD PLAINS,1430,177,175,1426,74,997
WARD 1,4700,BRECKENRIDGE GREENS,837,85,89,609,51,219
WARD 5,4463,RIVERVIEW AREA,168,6,13,132,10,117
WARD 8,6070,CLOVERDALE,273,54,58,208,19,303
WARD 9,5642,SOUTH TERWILLEGAR,2499,379,287,2529,82,2801
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
WARD 1,4740,WEBBER GREENS,533,50,19,461,15,1193
WARD 4,2611,CY BECKER,144,26,4,135,5,369
WARD 6,3200,GLENORA,1144,117,152,934,86,1080
WARD 4,2541,MILLER,926,118,98,886,110,1028
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0
WARD 11,6760,TWEDDLE PLACE,664,76,58,655,46,1785
WARD 7,2580,NORTHMOUNT,801,93,132,637,102,1427
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0
WARD 11,6020,AVONMORE,635,93,106,548,95,690
WARD 9,5300,OGILVIE RIDGE,424,13,18,199,17,311
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0
WARD 10,5490,SWEET GRASS,848,74,108,764,43,840
WARD 6,1210,RIVERDALE,545,173,119,552,44,583
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0
WARD 2,3250,KENSINGTON,827,122,149,663,310,1778
WARD 4,2130,CASSELMAN,1016,211,199,1369,87,763
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0
WARD 1,4487,SECORD,1378,106,54,764,16,853
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0
WARD 9,5570,WINDERMERE,2496,163,111,1764,57,3537
WARD 1,4500,SHERWOOD,291,57,45,341,29,575
WARD 2,3070,CALDER,673,226,223,1085,123,1674
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0
WARD 4,2280,FRASER,1004,184,147,1029,50,1075
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0
WARD 2,3090,CARLISLE,1098,118,156,1229,67,1084
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0
WARD 5,4461,THE HAMPTONS,3676,526,349,3846,97,3066
WARD 3,3040,BEAUMARIS,1445,114,177,984,279,1399
