WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,PUBLIC,CATHOLIC,NO_RESPONSE
Ward 3,3180,DUNLUCE,3521,1523,1420
Ward 3,3190,ELSINORE,1079,921,254
Ward 3,3280,LORELEI,2253,975,922
Ward 3,3370,RAPPERSWILL,550,266,179
Ward 3,3490,GOODRIDGE CORNERS,0,0,1317
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 4,2030,BANNERMAN,1906,728,427
Ward 4,2070,BELMONT,2863,1630,827
Ward 4,2080,BELVEDERE,3456,1092,898
Ward 4,2110,BRINTNELL,2983,1371,1393
Ward 4,2120,CANON RIDGE,1262,509,451
Ward 4,2130,CASSELMAN,2189,1077,418
Ward 4,2145,CLAREVIEW TOWN CENTRE,1873,783,671
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,914,82,505
Ward 4,2280,FRASER,2147,648,541
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,1420,755,344
Ward 4,2340,HOLLICK-KENYON,3179,1414,992
Ward 4,2350,HOMESTEADER,1995,1054,520
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,1664,1025,364
Ward 4,2430,KIRKNESS,2584,940,423
Ward 4,2500,MATT BERRY,2405,1311,493
Ward 4,2521,MCCONACHIE AREA,1439,835,469
Ward 4,2530,MCLEOD,1410,732,138
Ward 4,2541,MILLER,1804,825,588
Ward 4,2590,OVERLANDERS,1830,590,526
Ward 4,2611,CY BECKER,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,187,38,36
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,141,23,313
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,357,274,54
Ward 4,2710,SIFTON PARK,1370,413,516
Ward 4,2720,YORK,2399,1144,529
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1819,562,351
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1471,457,520
Ward 5,4080,CALLINGWOOD SOUTH,2894,1240,1761
Ward 5,4110,DECHENE,853,527,309
Ward 5,4120,DONSDALE,725,332,303
Ward 5,4140,ELMWOOD,1712,634,338
Ward 5,4160,GARIEPY,1208,309,387
Ward 5,4220,JAMIESON PLACE,2443,955,553
Ward 5,4270,LYMBURN,3649,1528,831
Ward 5,4280,LYNNWOOD,1924,730,850
Ward 5,4360,OLESKIW,1951,756,299
Ward 5,4380,ORMSBY PLACE,3270,1425,755
Ward 5,4390,PATRICIA HEIGHTS,986,280,550
Ward 5,4420,QUESNELL HEIGHTS,264,93,26
Ward 5,4430,RIO TERRACE,927,279,98
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,284,175,37
Ward 5,4461,THE HAMPTONS,6295,3010,1494
Ward 5,4462,EDGEMONT,40,48,27
Ward 5,4466,CAMERON HEIGHTS,856,472,134
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,4551,GRANVILLE,438,376,171
Ward 5,4560,THORNCLIFF,2100,910,686
Ward 5,4570,WEDGEWOOD HEIGHTS,926,446,250
Ward 5,4610,WESTRIDGE,990,281,67
Ward 5,4720,GLASTONBURY,3747,1656,832
Ward 6,1020,BOYLE STREET,2332,894,3687
Ward 6,1030,CENTRAL MCDOUGALL,2750,959,1956
Ward 6,1090,DOWNTOWN,5998,1336,5814
Ward 6,1140,MCCAULEY,2037,920,2210
Ward 6,1150,OLIVER,9710,2888,6537
Ward 6,1180,QUEEN MARY PARK,3087,1115,3023
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,1440,339,283
Ward 6,1220,ROSSDALE,591,111,143
Ward 6,3200,GLENORA,2166,706,700
Ward 6,3210,GROVENOR,1347,399,636
Ward 6,3300,MCQUEEN,1021,240,555
Ward 6,3310,NORTH GLENORA,1399,343,353
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,3440,WESTMOUNT,3061,723,2327
Ward 7,1010,ALBERTA AVENUE,3936,1418,1211
Ward 7,1070,CROMDALE,1399,394,424
Ward 7,1080,DELTON,887,328,707
Ward 7,1100,EASTWOOD,1780,823,1701
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0
Ward 7,1130,ELMWOOD PARK,658,233,430
Ward 7,1160,PARKDALE,1991,912,731
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,1240,VIRGINIA PARK,505,91,170
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 7,2010,ABBOTTSFIELD,992,316,581
Ward 7,2020,BALWIN,1718,746,1522
Ward 7,2040,BEACON HEIGHTS,1912,855,320
Ward 7,2060,BELLEVUE,580,141,290
Ward 7,2090,BERGMAN,994,404,167
Ward 7,2100,BEVERLY HEIGHTS,2204,653,540
Ward 7,2230,DELWOOD,1905,1057,464
Ward 7,2290,GLENGARRY,1770,771,353
Ward 7,2330,HIGHLANDS,1899,441,326
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,1764,726,477
Ward 7,2420,KILLARNEY,2483,949,795
Ward 7,2550,MONTROSE,1587,662,939
Ward 7,2560,NEWTON,1572,935,397
Ward 7,2580,NORTHMOUNT,1470,952,924
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,2240,706,620
Ward 8,5040,BELGRAVIA,1727,243,380
Ward 8,5151,STRATHCONA JUNCTION,0,0,0
Ward 8,5200,GARNEAU,4014,586,5342
Ward 8,5290,MCKERNAN,1527,204,1054
Ward 8,5330,QUEEN ALEXANDRA,2699,568,1771
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
Ward 8,5480,STRATHCONA,4723,905,3990
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,1042,132,1871
Ward 8,6040,BONNIE DOON,2882,1059,750
Ward 8,6061,CAPILANO,1441,490,684
Ward 8,6070,CLOVERDALE,560,186,126
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,2200,674,1226
Ward 8,6240,FULTON PLACE,1235,345,581
Ward 8,6270,GOLD BAR,1470,367,875
Ward 8,6310,HOLYROOD,2177,533,766
Ward 8,6320,IDYLWYLDE,908,269,621
Ward 8,6350,KENILWORTH,1556,512,424
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,217
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,3587,1279,1119
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,6710,STRATHEARN,1831,376,448
Ward 8,6730,TERRACE HEIGHTS,1437,365,470
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,5080,BRANDER GARDENS,1555,441,502
Ward 9,5090,BROOKSIDE,1342,302,376
Ward 9,5100,BULYEA HEIGHTS,2534,543,459
Ward 9,5130,CARTER CREST,1005,411,263
Ward 9,5190,FALCONER HEIGHTS,1341,376,364
Ward 9,5230,HENDERSON ESTATES,1234,446,176
Ward 9,5300,OGILVIE RIDGE,680,207,88
Ward 9,5340,RAMSAY HEIGHTS,1992,665,766
Ward 9,5350,RHATIGAN RIDGE,2078,648,530
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5451,RICHFORD,427,86,83
Ward 9,5452,MACEWAN,3084,1107,1643
Ward 9,5453,BLACKMUD CREEK,1681,508,515
Ward 9,5454,RUTHERFORD,6469,1930,2038
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5457,CALLAGHAN,1369,443,435
Ward 9,5458,ALLARD,709,207,554
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5462,CHAPPELLE AREA,1090,354,163
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0
Ward 9,5466,CASHMAN,0,0,0
Ward 9,5476,MAGRATH HEIGHTS,2039,704,416
Ward 9,5477,MACTAGGART,1432,634,298
Ward 9,5505,AMBLESIDE,1981,728,783
Ward 9,5511,TWIN BROOKS,4846,1090,494
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,3064,1146,1129
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 9,5576,KESWICK AREA,0,0,0
Ward 9,5577,GLENRIDDING AREA,192,41,102
Ward 9,5590,BLACKBURNE,874,415,161
Ward 9,5610,HADDOW,2842,1083,451
Ward 9,5620,HODGSON,1712,454,611
Ward 9,5630,LEGER,1538,657,334
Ward 9,5640,TERWILLEGAR TOWNE,4037,1402,1152
Ward 9,5642,SOUTH TERWILLEGAR,5505,1691,1784
Ward 10,5010,ALLENDALE,1284,336,1244
Ward 10,5020,ASPEN GARDENS,1082,303,238
Ward 10,5030,BEARSPAW,1278,319,501
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,2529,834,1219
Ward 10,5070,BLUE QUILL ESTATES,902,238,225
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,2983,968,750
Ward 10,5170,EMPIRE PARK,2379,546,1896
Ward 10,5180,ERMINESKIN,2437,776,2210
Ward 10,5210,GRANDVIEW HEIGHTS,703,109,332
Ward 10,5220,GREENFIELD,2494,623,499
Ward 10,5250,KEHEEWIN,1692,510,649
Ward 10,5260,LANSDOWNE,670,140,407
Ward 10,5270,LENDRUM PLACE,1057,200,626
Ward 10,5280,MALMO PLAINS,1939,268,1006
Ward 10,5310,PARKALLEN,1289,195,819
Ward 10,5320,PLEASANTVIEW,2415,700,1114
Ward 10,5360,RIDEAU PARK,1275,302,498
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,5430,ROYAL GARDENS,1964,626,946
Ward 10,5460,SKYRATTLER,1114,317,685
Ward 10,5470,STEINHAUER,1445,331,337
Ward 10,5490,SWEET GRASS,1801,497,487
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,874,166,167
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,580,137,97
Ward 11,6020,AVONMORE,1477,423,305
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6200,EKOTA,1802,747,192
Ward 11,6250,GAINER INDUSTRIAL,203,78,16
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0
Ward 11,6280,GREENVIEW,1887,561,580
Ward 11,6290,HAZELDEAN,1993,494,771
Ward 11,6300,HILLVIEW,2472,685,417
Ward 11,6340,KAMEYOSEK,1700,465,791
Ward 11,6360,KING EDWARD PARK,2487,639,1371
Ward 11,6400,LEE RIDGE,2091,585,143
Ward 11,6410,MAPLE RIDGE,1363,339,103
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,52,2,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,1764,496,278
Ward 11,6460,MEYOKUMIN,1880,595,618
Ward 11,6470,MEYONOHK,2012,542,427
Ward 11,6480,MICHAELS PARK,1523,535,141
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,748,198,363
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,2627,687,309
Ward 11,6610,RITCHIE,2609,642,992
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,2745,870,440
Ward 11,6680,SATOO,2035,813,666
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,1108,482,325
Ward 11,6750,TIPASKAN,1879,741,517
Ward 11,6760,TWEDDLE PLACE,2278,742,298
Ward 11,6780,WEIR INDUSTRIAL,55,13,2
Ward 12,6030,BISSET,2434,573,810
Ward 12,6140,CRAWFORD PLAINS,3180,869,456
Ward 12,6150,DALY GROVE,2519,738,379
Ward 12,6211,ELLERSLIE,3519,1444,983
Ward 12,6213,SUMMERSIDE,6327,1805,3182
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,526,146,110
Ward 12,6330,JACKSON HEIGHTS,2831,818,454
Ward 12,6370,KINISKI GARDENS,4380,1639,733
Ward 12,6390,LARKSPUR,3367,909,846
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6441,MAPLE,175,68,66
Ward 12,6442,SILVER BERRY,5410,1753,1449
Ward 12,6443,TAMARACK,2456,552,530
Ward 12,6444,LAUREL,2580,930,588
Ward 12,6530,MINCHAU,2271,652,401
Ward 12,6580,POLLARD MEADOWS,2851,694,1156
Ward 12,6660,RURAL SOUTH EAST,121,20,100
Ward 12,6661,CHARLESWORTH,2520,904,745
Ward 12,6662,WALKER,3142,660,622
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6770,WEINLOS,2490,483,515
Ward 12,6790,WILD ROSE,5143,1644,1606
