Ward,Neighbourhood Number,Neighbourhood Name,Car/Truck/Van (as Driver),Car/Truck/Van (as Passenger),Public Transit,Walk,Bicycle,Other,No Response
WARD 11,6750,TIPASKAN,812,61,220,22,5,27,20
WARD 1,4240,LA PERLE,1260,97,213,65,5,33,25
WARD 6,1090,DOWNTOWN,1693,107,867,1475,76,96,79
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0
WARD 11,6400,LEE RIDGE,388,34,90,4,2,12,6
WARD 12,6770,WEINLOS,754,63,113,22,5,27,120
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,1978,113,302,40,2,69,20
WARD 5,4110,DECHENE,534,16,47,9,3,20,10
WARD 11,6200,EKOTA,573,42,109,16,1,27,7
WARD 7,2040,BEACON HEIGHTS,896,51,171,47,4,23,25
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0
WARD 12,6444,LAUREL,1351,102,239,6,1,42,10
WARD 2,3170,DOVERCOURT,724,45,106,25,13,20,3
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0
WARD 1,4020,ALDERGROVE,1433,135,313,59,5,57,69
WARD 12,6030,BISSET,1065,74,161,13,2,21,34
WARD 11,6610,RITCHIE,1311,70,343,97,87,53,11
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5457,CALLAGHAN,1075,34,114,2,1,20,75
WARD 3,2260,EVANSDALE,1215,90,223,39,5,43,12
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0
WARD 7,2020,BALWIN,821,44,145,30,7,26,19
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0
WARD 6,1210,RIVERDALE,598,26,96,115,41,30,11
WARD 3,3030,BATURYN,1196,92,157,16,3,47,72
WARD 1,4500,SHERWOOD,281,22,60,11,4,7,3
WARD 1,4710,POTTER GREENS,582,33,35,5,0,29,9
WARD 2,3010,ATHLONE,914,95,120,21,9,41,10
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0
WARD 5,4160,GARIEPY,395,15,35,8,0,178,9
WARD 1,4580,WEST JASPER PLACE,661,46,171,29,7,16,17
WARD 4,2710,SIFTON PARK,262,21,75,27,2,18,4
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0
WARD 2,1170,PRINCE RUPERT,192,11,26,6,2,7,301
WARD 9,5476,MAGRATH HEIGHTS,961,64,133,13,3,56,12
WARD 10,5430,ROYAL GARDENS,756,45,197,29,14,26,12
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0
WARD 2,3410,SHERBROOKE,563,48,125,10,17,17,156
WARD 8,6320,IDYLWYLDE,470,36,148,25,21,27,6
WARD 4,2110,BRINTNELL,1629,117,279,22,3,37,86
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0
WARD 4,2350,HOMESTEADER,837,68,194,42,8,32,17
WARD 2,3340,PEMBINA,172,8,24,13,0,2,2
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0
WARD 4,2311,GORMAN,0,0,0,0,0,0,0
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0
WARD 10,5010,ALLENDALE,522,28,117,31,42,10,13
WARD 7,2400,KILDARE,526,25,126,28,4,17,4
WARD 8,6270,GOLD BAR,840,52,106,41,11,28,18
WARD 5,4120,DONSDALE,482,42,17,6,2,26,6
WARD 4,2080,BELVEDERE,951,69,243,54,2,39,21
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0
WARD 7,2100,BEVERLY HEIGHTS,842,58,145,12,15,13,7
WARD 9,5469,PAISLEY,152,4,21,0,0,5,2
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5300,OGILVIE RIDGE,256,23,20,0,6,20,7
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0
WARD 1,4474,STARLING,177,4,3,0,0,2,2
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0
WARD 11,6360,KING EDWARD PARK,1225,83,268,68,68,38,33
WARD 9,5577,GLENRIDDING AREA,429,12,29,2,0,5,93
WARD 2,3150,CUMBERLAND,1865,153,190,37,9,33,33
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5576,KESWICK AREA,260,24,12,0,0,7,1
WARD 1,4700,BRECKENRIDGE GREENS,780,60,82,9,1,23,5
WARD 2,3020,BARANOW,286,16,34,15,0,7,6
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0
WARD 2,3090,CARLISLE,999,79,136,28,4,32,9
WARD 11,6250,GAINER INDUSTRIAL,181,12,17,4,0,4,1
WARD 11,6470,MEYONOHK,637,32,101,17,6,13,9
WARD 2,1250,WESTWOOD,549,39,224,41,18,35,43
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0
WARD 6,1180,QUEEN MARY PARK,1264,138,589,200,45,87,127
WARD 7,2550,MONTROSE,736,61,144,16,5,24,188
WARD 9,5454,RUTHERFORD,3541,168,647,39,6,145,40
WARD 8,5330,QUEEN ALEXANDRA,1037,53,390,280,97,55,38
WARD 12,6662,WALKER,2784,142,513,20,1,72,32
WARD 1,4230,JASPER PARK,450,20,99,21,12,18,6
WARD 7,2060,BELLEVUE,268,13,53,11,16,16,2
WARD 11,6480,MICHAELS PARK,478,35,82,10,4,16,15
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0
WARD 6,3200,GLENORA,980,39,118,37,39,53,34
WARD 6,3440,WESTMOUNT,1701,111,413,192,121,76,25
WARD 1,4060,BRITANNIA YOUNGSTOWN,889,80,203,69,16,24,68
WARD 11,6300,HILLVIEW,845,64,120,47,4,33,12
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0
WARD 9,5642,SOUTH TERWILLEGAR,2577,138,406,39,12,105,32
WARD 11,6290,HAZELDEAN,910,50,220,59,65,53,37
WARD 4,2145,CLAREVIEW TOWN CENTRE,549,131,323,42,1,33,21
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0
WARD 11,6340,KAMEYOSEK,560,45,130,12,3,7,5
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2270,EVERGREEN,305,17,32,0,0,8,28
WARD 11,6670,SAKAW,1271,129,251,30,12,62,8
WARD 6,1150,OLIVER,3264,168,1401,1312,147,140,60
WARD 5,4466,CAMERON HEIGHTS,763,21,21,11,1,11,3
WARD 7,2330,HIGHLANDS,839,56,135,33,33,53,4
WARD 9,5451,RICHFORD,271,8,26,3,0,8,2
WARD 5,4551,GRANVILLE,525,35,41,16,2,7,6
WARD 2,3460,ALBANY,393,13,20,10,0,3,37
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0
WARD 5,4560,THORNCLIFF,674,79,244,91,5,44,33
WARD 4,2320,HAIRSINE,709,37,197,23,1,24,7
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0
WARD 6,3210,GROVENOR,636,34,104,17,17,30,10
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,295,20,48,23,20,10,1
WARD 9,5230,HENDERSON ESTATES,625,41,49,7,6,49,7
WARD 8,5580,WINDSOR PARK,172,4,42,101,14,11,94
WARD 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0
WARD 3,2241,EAUX CLAIRES,1065,78,182,34,2,23,25
WARD 12,6441,MAPLE,280,14,22,3,0,8,109
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0
WARD 3,3190,ELSINORE,641,26,48,4,1,21,8
WARD 7,2660,RUNDLE HEIGHTS,745,62,110,36,4,13,14
WARD 9,5130,CARTER CREST,489,35,50,3,4,27,4
WARD 4,2541,MILLER,811,35,158,11,3,19,45
WARD 6,3310,NORTH GLENORA,624,44,93,27,32,24,6
WARD 1,4485,LEWIS FARMS INDUSTRIAL,29,0,0,1,0,0,1
WARD 1,4470,RURAL WEST BIG LAKE,34,0,0,0,0,0,1
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0
WARD 12,6530,MINCHAU,487,31,47,13,1,14,6
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0
WARD 8,6350,KENILWORTH,767,53,81,25,7,13,14
WARD 2,3111,GRIESBACH,977,72,143,25,4,30,17
WARD 9,5468,GRAYDON HILL,45,1,6,0,0,2,0
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0
WARD 1,4620,WESTVIEW VILLAGE,489,35,48,10,0,11,3
WARD 10,5310,PARKALLEN,490,23,204,64,59,29,17
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0
WARD 5,4080,CALLINGWOOD SOUTH,990,68,280,57,6,28,19
WARD 5,4070,CALLINGWOOD NORTH,690,75,202,18,3,23,11
WARD 2,3240,INGLEWOOD,1708,154,439,91,66,42,36
WARD 5,4220,JAMIESON PLACE,880,47,109,15,4,40,8
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0
WARD 10,5020,ASPEN GARDENS,532,24,91,9,13,29,11
WARD 3,2050,BELLE RIVE,1248,69,111,7,3,28,13
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0
WARD 3,3080,CANOSSA,1146,67,107,2,2,44,9
WARD 12,6211,ELLERSLIE,1601,81,201,25,4,40,22
WARD 7,2010,ABBOTTSFIELD,351,25,111,32,0,22,27
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2521,MCCONACHIE AREA,1226,71,169,11,1,35,10
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,9,0,0,0,0,2,0
WARD 7,2290,GLENGARRY,599,37,86,22,4,18,33
WARD 1,4590,WEST MEADOWLARK PARK,509,53,124,67,5,31,9
WARD 8,5200,GARNEAU,949,50,452,731,89,53,38
WARD 10,5220,GREENFIELD,939,43,175,35,30,38,24
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0
WARD 1,4473,HAWKS RIDGE,179,7,1,0,0,4,4
WARD 8,5480,STRATHCONA,1906,103,649,467,266,97,61
WARD 11,6010,ARGYLL,190,4,25,15,8,10,10
WARD 5,4380,ORMSBY PLACE,1480,86,214,29,5,61,26
WARD 9,5477,MACTAGGART,777,35,82,5,2,19,15
WARD 2,3060,CAERNARVON,885,60,130,14,1,21,29
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0
WARD 7,1100,EASTWOOD,669,56,242,18,9,15,21
WARD 5,4270,LYMBURN,1958,202,314,24,10,46,17
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,459,19,49,4,2,13,7
WARD 7,1130,ELMWOOD PARK,209,26,46,10,2,5,3
WARD 12,6442,SILVER BERRY,1634,73,142,10,2,17,37
WARD 5,4720,GLASTONBURY,2107,132,233,31,3,53,23
WARD 1,4750,ROSENTHAL,255,15,45,1,0,4,1
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5505,AMBLESIDE,1588,90,125,40,3,41,9
WARD 8,6230,FOREST HEIGHTS,1047,66,208,43,25,56,32
WARD 1,4040,BELMEAD,1116,80,236,62,8,48,16
WARD 3,2410,KILKENNY,1180,84,197,34,6,42,11
WARD 7,1070,CROMDALE,403,32,213,29,18,18,8
WARD 12,6150,DALY GROVE,1004,71,144,10,3,47,38
WARD 10,5470,STEINHAUER,642,28,169,25,12,33,5
WARD 5,4420,QUESNELL HEIGHTS,140,9,6,4,4,8,13
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0
WARD 4,2280,FRASER,984,62,216,17,2,49,31
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0
WARD 7,1240,VIRGINIA PARK,120,3,22,2,7,15,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,23,1,1,0,0,1,0
WARD 8,6240,FULTON PLACE,508,25,75,24,10,25,22
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0
WARD 1,4740,WEBBER GREENS,468,37,90,7,0,18,9
WARD 9,5190,FALCONER HEIGHTS,419,25,63,5,3,15,4
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0
WARD 4,2070,BELMONT,1253,90,268,49,5,36,46
WARD 3,3040,BEAUMARIS,1011,55,141,22,3,26,11
WARD 5,4463,RIVERVIEW AREA,166,4,0,0,0,11,0
WARD 8,6070,CLOVERDALE,308,15,26,30,7,12,2
WARD 10,5460,SKYRATTLER,680,31,198,21,5,25,10
WARD 12,6443,TAMARACK,1159,60,170,25,2,38,48
WARD 5,4462,EDGEMONT,342,18,24,1,0,5,4
WARD 6,1220,ROSSDALE,256,23,48,75,8,11,4
WARD 1,4475,KINOKAMAU PLAINS AREA,30,1,1,0,0,0,1
WARD 7,2230,DELWOOD,734,51,123,17,5,17,7
WARD 9,5511,TWIN BROOKS,1965,91,348,18,5,97,22
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0
WARD 2,3320,OXFORD,1323,69,125,26,3,28,28
WARD 11,6600,RICHFIELD,673,63,155,35,6,28,260
WARD 3,3120,CHAMBERY,613,22,29,2,1,16,11
WARD 9,5452,MACEWAN,1810,90,344,26,2,85,40
WARD 11,6280,GREENVIEW,836,37,111,21,5,27,1
WARD 2,3470,CARLTON,1441,72,108,15,5,44,9
WARD 5,4360,OLESKIW,657,20,50,8,8,41,40
WARD 10,5360,RIDEAU PARK,406,26,118,42,7,9,3
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0
WARD 3,2600,OZERNA,1102,71,141,8,1,29,12
WARD 11,6680,SATOO,977,69,128,17,4,42,13
WARD 9,5465,HAYS RIDGE AREA,50,2,5,0,0,3,3
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0
WARD 7,2560,NEWTON,729,50,129,11,5,27,35
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0
WARD 10,5060,BLUE QUILL,980,93,495,39,8,30,42
WARD 3,2511,MAYLIEWAN,1176,69,124,4,2,35,59
WARD 4,2130,CASSELMAN,1067,73,288,24,2,42,60
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0
WARD 1,4471,TRUMPETER AREA,440,14,8,2,0,13,1
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0
WARD 9,5630,LEGER,628,48,68,18,3,26,6
WARD 10,5250,KEHEEWIN,457,23,117,11,5,21,12
WARD 12,6370,KINISKI GARDENS,1976,132,223,27,10,52,25
WARD 10,5270,LENDRUM PLACE,362,18,119,32,28,25,20
WARD 10,5260,LANSDOWNE,399,18,95,35,21,12,4
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0,0
WARD 1,4180,GLENWOOD,1031,112,330,87,12,30,17
WARD 6,1020,BOYLE STREET,866,107,526,171,23,52,38
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,72,2,13,0,0,2,1
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2530,MCLEOD,620,45,120,7,2,25,23
WARD 11,6760,TWEDDLE PLACE,463,35,75,16,6,16,17
WARD 4,2590,OVERLANDERS,737,45,161,15,4,10,4
WARD 10,5180,ERMINESKIN,1173,85,516,76,12,55,32
WARD 4,2430,KIRKNESS,1216,85,309,18,2,36,8
WARD 8,5040,BELGRAVIA,508,17,197,133,64,32,24
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0
WARD 8,6550,OTTEWELL,1568,78,220,77,34,61,23
WARD 5,4430,RIO TERRACE,399,14,38,4,20,16,22
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0
WARD 10,5030,BEARSPAW,620,29,133,26,6,19,9
WARD 1,4486,STEWART GREENS,37,3,8,0,0,1,0
WARD 9,5090,BROOKSIDE,436,21,60,6,10,31,2
WARD 10,5170,EMPIRE PARK,921,98,466,148,24,32,46
WARD 9,5610,HADDOW,1273,81,152,10,9,81,9
WARD 2,3250,KENSINGTON,609,50,74,29,7,27,11
WARD 5,4610,WESTRIDGE,437,19,26,4,5,24,9
WARD 3,2450,LAGO LINDO,1138,60,129,34,4,20,5
WARD 8,5290,MCKERNAN,734,49,256,165,46,43,27
WARD 7,2090,BERGMAN,454,33,47,8,2,9,22
WARD 1,4200,HIGH PARK,216,24,24,6,2,11,5
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0
WARD 11,6460,MEYOKUMIN,754,62,134,23,4,27,4
WARD 12,6330,JACKSON HEIGHTS,935,61,89,3,4,22,14
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0
WARD 1,4730,SUDER GREENS,1130,114,131,16,4,31,17
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0
WARD 1,4290,MAYFIELD,494,44,50,15,4,17,1
WARD 10,5160,DUGGAN,1270,87,351,73,28,59,13
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2611,CY BECKER,116,6,18,1,0,2,2
WARD 4,2500,MATT BERRY,1325,68,151,12,4,41,26
WARD 3,3370,RAPPERSWILL,441,14,40,7,1,13,12
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0
WARD 9,5620,HODGSON,874,39,162,14,2,37,7
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0
WARD 3,2463,CRYSTALLINA NERA WEST,119,7,14,0,0,3,2
WARD 1,4520,SUMMERLEA,531,50,72,77,3,32,4
WARD 12,6213,SUMMERSIDE,4350,212,446,23,10,137,55
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0
WARD 8,6730,TERRACE HEIGHTS,431,30,79,37,9,15,13
WARD 7,1160,PARKDALE,577,53,217,40,19,29,21
WARD 11,6020,AVONMORE,600,32,80,16,24,14,12
WARD 10,5280,MALMO PLAINS,601,29,266,24,25,20,14
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0
WARD 1,4310,MEADOWLARK PARK,908,42,116,32,11,14,19
WARD 5,4280,LYNNWOOD,716,50,255,31,5,22,16
WARD 11,6520,MILL WOODS TOWN CENTRE,193,18,105,25,0,2,6
WARD 6,1140,MCCAULEY,451,43,212,78,18,17,81
WARD 2,3350,PRINCE CHARLES,226,19,49,12,7,7,3
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,3,0,0,0,0,1,0
WARD 9,5080,BRANDER GARDENS,615,28,153,10,11,27,5
WARD 12,6660,RURAL SOUTH EAST,71,2,1,0,0,5,3
WARD 8,6040,BONNIE DOON,1066,75,275,133,51,54,45
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0
WARD 8,6061,CAPILANO,749,23,60,16,21,61,278
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0
WARD 4,2030,BANNERMAN,939,70,261,34,4,39,18
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0
WARD 7,1080,DELTON,587,42,101,18,6,13,24
WARD 9,5453,BLACKMUD CREEK,990,54,147,8,7,54,8
WARD 10,5490,SWEET GRASS,672,31,163,12,6,20,5
WARD 11,6450,MENISA,921,81,171,18,7,35,9
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0
WARD 9,5640,TERWILLEGAR TOWNE,1767,100,221,24,7,96,25
WARD 9,5350,RHATIGAN RIDGE,1131,49,77,12,7,36,13
WARD 5,3270,LAURIER HEIGHTS,842,18,57,11,39,53,16
WARD 1,4540,TERRA LOSA,545,30,90,56,4,15,3
WARD 8,6310,HOLYROOD,727,36,147,38,39,26,9
WARD 9,5570,WINDERMERE,2048,99,111,22,3,51,233
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0
WARD 6,1030,CENTRAL MCDOUGALL,801,80,384,145,19,18,135
WARD 3,3280,LORELEI,1177,79,169,32,1,17,7
WARD 12,6140,CRAWFORD PLAINS,1448,90,177,18,3,44,10
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0
WARD 5,4570,WEDGEWOOD HEIGHTS,413,11,13,6,3,25,6
WARD 9,5458,ALLARD,675,37,140,3,0,31,5
WARD 2,3480,HUDSON,750,61,61,11,2,15,8
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0
WARD 5,4461,THE HAMPTONS,4042,227,439,65,8,117,27
WARD 2,3390,ROSSLYN,788,65,107,23,7,14,13
WARD 5,4140,ELMWOOD,843,61,235,84,11,49,6
WARD 2,1230,SPRUCE AVENUE,214,12,74,53,5,2,4
WARD 3,2700,SCHONSEE,1121,71,76,13,1,13,9
WARD 10,5320,PLEASANTVIEW,942,43,293,61,21,30,20
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,225,8,13,9,0,10,48
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0
WARD 4,2251,EBBERS,38,4,12,3,0,3,0
WARD 9,5340,RAMSAY HEIGHTS,1159,49,247,14,20,70,18
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0
WARD 7,2580,NORTHMOUNT,559,34,122,16,2,8,6
WARD 3,3180,DUNLUCE,1588,105,264,40,4,36,32
WARD 4,2720,YORK,1079,98,258,53,2,35,6
WARD 10,5070,BLUE QUILL ESTATES,366,27,86,5,2,23,8
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0
WARD 5,4390,PATRICIA HEIGHTS,463,29,110,14,6,21,15
