WARD,Neighbourhood Number,Neighbourhood Name,Canadian Citizen,Permanent Resident,Refugee,Other,No Response,Month,Quarter,Year
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,2,1,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,3,1,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,4,2,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,5,2,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,6,2,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,7,3,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,8,3,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,9,3,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,10,4,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,11,4,2016
WARD 5,3270,LAURIER HEIGHTS,2232,41,0,14,547,12,4,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,1,1,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,2,1,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,3,1,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,4,2,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,5,2,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,6,2,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,7,3,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,8,3,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,9,3,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,10,4,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,11,4,2016
WARD 1,4540,TERRA LOSA,1460,117,0,28,618,12,4,2016
WARD 11,6680,SATOO,2280,134,5,22,841,1,1,2016
WARD 11,6680,SATOO,2280,134,5,22,841,2,1,2016
WARD 11,6680,SATOO,2280,134,5,22,841,3,1,2016
WARD 11,6680,SATOO,2280,134,5,22,841,4,2,2016
WARD 11,6680,SATOO,2280,134,5,22,841,5,2,2016
WARD 11,6680,SATOO,2280,134,5,22,841,6,2,2016
WARD 11,6680,SATOO,2280,134,5,22,841,7,3,2016
WARD 11,6680,SATOO,2280,134,5,22,841,8,3,2016
WARD 11,6680,SATOO,2280,134,5,22,841,9,3,2016
WARD 11,6680,SATOO,2280,134,5,22,841,10,4,2016
WARD 11,6680,SATOO,2280,134,5,22,841,11,4,2016
WARD 11,6680,SATOO,2280,134,5,22,841,12,4,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,1,1,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,2,1,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,3,1,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,4,2,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,5,2,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,6,2,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,7,3,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,8,3,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,9,3,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,10,4,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,11,4,2016
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,12,4,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,1,1,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,2,1,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,3,1,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,4,2,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,5,2,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,6,2,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,7,3,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,8,3,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,9,3,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,10,4,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,11,4,2016
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,12,4,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,1,1,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,2,1,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,3,1,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,4,2,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,5,2,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,6,2,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,7,3,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,8,3,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,9,3,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,10,4,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,11,4,2016
WARD 11,6470,MEYONOHK,1468,127,0,3,1262,12,4,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,1,1,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,2,1,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,3,1,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,4,2,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,5,2,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,6,2,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,7,3,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,8,3,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,9,3,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,10,4,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,11,4,2016
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,12,4,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,1,1,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,2,1,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,3,1,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,4,2,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,5,2,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,6,2,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,7,3,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,8,3,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,9,3,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,10,4,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,11,4,2016
WARD 5,4420,QUESNELL HEIGHTS,343,6,0,3,20,12,4,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,1,1,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,2,1,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,3,1,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,4,2,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,5,2,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,6,2,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,7,3,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,8,3,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,9,3,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,10,4,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,11,4,2016
WARD 10,5540,WESTBROOK ESTATES,656,81,0,24,320,12,4,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,1,1,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,2,1,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,3,1,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,4,2,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,5,2,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,6,2,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,7,3,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,8,3,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,9,3,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,10,4,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,11,4,2016
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,12,4,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,1,1,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,2,1,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,3,1,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,4,2,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,5,2,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,6,2,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,7,3,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,8,3,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,9,3,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,10,4,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,11,4,2016
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,12,4,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,1,1,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,2,1,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,3,1,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,4,2,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,5,2,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,6,2,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,7,3,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,8,3,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,9,3,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,10,4,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,11,4,2016
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,100,12,4,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,1,1,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,2,1,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,3,1,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,4,2,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,5,2,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,6,2,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,7,3,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,8,3,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,9,3,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,10,4,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,11,4,2016
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,12,4,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,1,1,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,2,1,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,3,1,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,4,2,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,5,2,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,6,2,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,7,3,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,8,3,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,9,3,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,10,4,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,11,4,2016
WARD 5,4120,DONSDALE,1009,20,1,6,438,12,4,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,1,1,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,2,1,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,3,1,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,4,2,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,5,2,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,6,2,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,7,3,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,8,3,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,9,3,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,10,4,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,11,4,2016
WARD 5,4463,RIVERVIEW AREA,322,6,0,1,117,12,4,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,1,1,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,2,1,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,3,1,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,4,2,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,5,2,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,6,2,2016
WARD 4,2080,BELVEDERE,2692,222,5,33,2217,7,3,2016
