WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,EDMONTON_PUBLIC,EDMONTON_CATHOLIC,NO_RESPONSE
Ward 8,5480,STRATHCONA,5354,990,2640
Ward 8,6710,STRATHEARN,1806,445,371
Ward 8,6730,TERRACE HEIGHTS,1598,348,386
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0
Ward 8,5580,WINDSOR PARK,964,134,1768
Ward 9,5458,ALLARD,157,55,29
Ward 9,5505,AMBLESIDE,1532,473,323
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0
Ward 9,5590,BLACKBURNE,964,433,123
Ward 9,5453,BLACKMUD CREEK,1881,609,87
Ward 9,5080,BRANDER GARDENS,1613,416,406
Ward 9,5090,BROOKSIDE,1269,278,369
Ward 9,5100,BULYEA HEIGHTS,2770,667,154
Ward 9,5457,CALLAGHAN,815,278,84
Ward 9,5130,CARTER CREST,1020,427,277
Ward 9,5462,CHAPPELLE AREA,93,55,3
Ward 9,5463,DESROCHERS AREA,0,0,0
Ward 9,5190,FALCONER HEIGHTS,1391,471,208
Ward 9,5610,HADDOW,2883,1171,288
Ward 9,5230,HENDERSON ESTATES,1254,444,195
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0
Ward 9,5620,HODGSON,2000,412,242
Ward 9,5630,LEGER,1690,667,207
Ward 9,5452,MACEWAN,4188,1039,402
Ward 9,5477,MACTAGGART,1078,400,209
Ward 9,5476,MAGRATH HEIGHTS,1900,602,308
Ward 9,5300,OGILVIE RIDGE,683,192,126
Ward 9,5340,RAMSAY HEIGHTS,2440,783,126
Ward 9,5350,RHATIGAN RIDGE,2179,883,190
Ward 9,5451,RICHFORD,372,60,98
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0
Ward 9,5454,RUTHERFORD,5446,1806,1155
Ward 9,5641,SOUTH TERWILLEGAR,5096,1339,1097
Ward 9,5640,TERWILLEGAR TOWNE,4234,1374,1019
Ward 9,5511,TWIN BROOKS,4801,1021,613
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0
Ward 9,5570,WINDERMERE,1221,451,464
Ward 9,5575,WINDERMERE AREA,0,0,0
Ward 10,5010,ALLENDALE,1469,348,905
Ward 10,5020,ASPEN GARDENS,1258,261,119
Ward 10,5030,BEARSPAW,1636,311,179
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0
Ward 10,5060,BLUE QUILL,3065,1015,488
Ward 10,5070,BLUE QUILL ESTATES,883,246,167
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0
Ward 10,5160,DUGGAN,3186,968,393
Ward 10,5170,EMPIRE PARK,2936,545,1705
Ward 10,5180,ERMINESKIN,2992,866,1389
Ward 10,5210,GRANDVIEW HEIGHTS,522,85,483
Ward 10,5220,GREENFIELD,2627,600,413
Ward 10,5250,KEHEEWIN,2120,487,315
Ward 10,5260,LANSDOWNE,865,156,193
Ward 10,5270,LENDRUM PLACE,1403,243,242
Ward 10,5280,MALMO PLAINS,2235,426,644
Ward 10,5310,PARKALLEN,1793,242,180
Ward 10,5320,PLEASANTVIEW,2244,452,1059
Ward 10,5360,RIDEAU PARK,1144,273,466
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0
Ward 10,5430,ROYAL GARDENS,2319,594,568
Ward 10,5460,SKYRATTLER,1226,308,413
Ward 10,5470,STEINHAUER,1238,292,337
Ward 10,5490,SWEET GRASS,1842,488,306
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0
Ward 10,5540,WESTBROOK ESTATES,977,161,87
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0
Ward 11,6010,ARGYLL,594,149,107
Ward 11,6020,AVONMORE,1415,360,312
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0
Ward 11,6200,EKOTA,1768,615,177
Ward 11,6250,GAINER INDUSTRIAL,150,48,18
Ward 11,6260,GIRARD INDUSTRIAL,0,0,59
Ward 11,6280,GREENVIEW,1942,583,402
Ward 11,6290,HAZELDEAN,2096,401,679
Ward 11,6300,HILLVIEW,1971,437,1039
Ward 11,6340,KAMEYOSEK,1717,516,674
Ward 11,6360,KING EDWARD PARK,2597,589,1052
Ward 11,6400,LEE RIDGE,2159,533,47
Ward 11,6410,MAPLE RIDGE,1039,273,399
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,51,8,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0
Ward 11,6450,MENISA,1514,440,590
Ward 11,6460,MEYOKUMIN,1829,620,449
Ward 11,6470,MEYONOHK,1941,594,407
Ward 11,6480,MICHAELS PARK,1747,430,24
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,770,198,279
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0
Ward 11,6600,RICHFIELD,2692,566,41
Ward 11,6610,RITCHIE,2768,619,807
Ward 11,6640,ROPER INDUSTRIAL,0,0,0
Ward 11,6670,SAKAW,2760,972,381
Ward 11,6680,SATOO,2227,768,396
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0
Ward 11,6720,TAWA,1090,493,389
Ward 11,6750,TIPASKAN,1255,276,1371
Ward 11,6760,TWEDDLE PLACE,2435,658,35
Ward 11,6780,WEIR INDUSTRIAL,61,8,13
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0
Ward 12,6030,BISSET,2468,671,711
Ward 12,6661,CHARLESWORTH,922,348,1671
Ward 12,6140,CRAWFORD PLAINS,2718,688,988
Ward 12,6150,DALY GROVE,2626,622,303
Ward 12,6211,ELLERSLIE,3376,1184,1006
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0
Ward 12,6330,JACKSON HEIGHTS,2678,777,475
Ward 12,6370,KINISKI GARDENS,4508,1626,515
Ward 12,6390,LARKSPUR,3474,1067,447
Ward 12,6444,LAUREL,1044,315,247
Ward 12,6441,MAPLE,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0
Ward 12,6530,MINCHAU,2110,588,414
Ward 12,6580,POLLARD MEADOWS,3731,623,222
Ward 12,6660,RURAL SOUTH EAST,134,46,20
Ward 12,6442,SILVER BERRY,5411,1799,879
Ward 12,6213,SUMMERSIDE,4536,1346,2094
Ward 12,6443,TAMARACK,1595,375,378
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0
Ward 12,6662,WALKER,1411,258,367
Ward 12,6770,WEINLOS,2484,576,385
Ward 12,6790,WILD ROSE,5371,1610,1050
