WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,PRESCHOOL,KINDERGARTEN - GRADE6,GRADE 7 - GRADE 9,GRADE 10 - GRADE 12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HOURS,EMPLOYED_MORE_THAN_30_HOURS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,OTHER,NO_RESPONSE
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,1,0,0,5,0,0,1,0,156
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3460,ALBANY,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3010,ATHLONE,180,224,115,140,127,107,150,1398,77,347,34,15,202
Ward 2,3020,BARANOW,43,41,14,19,28,26,57,449,18,200,13,1,228
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,264,366,136,137,172,210,278,1655,114,507,66,18,293
Ward 2,3070,CALDER,227,267,106,96,108,158,229,1713,179,512,84,23,357
Ward 2,3090,CARLISLE,291,339,134,137,153,197,228,1490,115,340,58,8,358
Ward 2,3470,CARLTON,260,316,93,83,99,117,166,1279,32,153,10,8,121
Ward 2,3150,CUMBERLAND,566,649,219,202,210,244,338,2926,80,287,21,40,637
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,129,116,44,56,51,59,163,919,63,263,25,15,145
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3111,GRIESBACH,282,234,95,93,86,100,137,1392,47,284,20,13,438
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3480,HUDSON,124,183,76,73,95,85,74,880,20,99,6,0,305
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,342,244,92,94,268,178,399,2565,321,959,234,53,561
Ward 2,3250,KENSINGTON,148,206,100,119,96,135,193,1142,87,982,31,17,339
Ward 2,3260,LAUDERDALE,167,184,77,81,94,116,169,1019,91,381,64,25,265
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3320,OXFORD,172,253,131,145,188,147,186,1452,37,342,16,64,266
Ward 2,3340,PEMBINA,23,14,3,5,16,13,76,183,16,90,3,2,62
Ward 2,3350,PRINCE CHARLES,60,55,22,35,31,40,59,495,39,106,31,9,341
Ward 2,1170,PRINCE RUPERT,57,54,25,37,113,29,77,621,39,148,14,0,125
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,142,151,75,66,87,99,230,930,100,690,35,17,280
Ward 2,3400,RURAL NORTH WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2,3410,SHERBROOKE,144,158,59,61,68,65,120,1063,88,257,44,19,292
Ward 2,1230,SPRUCE AVENUE,89,89,43,36,126,53,60,625,74,170,59,21,675
Ward 2,3430,WELLINGTON,200,214,102,93,87,116,173,1394,88,461,47,11,154
Ward 2,1250,WESTWOOD,115,77,34,35,480,57,152,1253,170,219,96,30,597
Ward 2,3450,WOODCROFT,148,150,84,76,94,90,135,910,59,696,47,11,98
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0,80
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,3030,BATURYN,320,469,183,207,170,226,290,2091,96,581,54,10,222
Ward 3,3040,BEAUMARIS,187,237,110,134,177,156,226,1603,102,1090,41,18,303
Ward 3,2050,BELLE RIVE,213,345,195,183,292,168,214,1805,84,333,23,5,85
Ward 3,3080,CANOSSA,310,297,123,136,131,110,144,1600,58,126,10,2,167
Ward 3,3120,CHAMBERY,201,242,94,87,87,84,112,940,23,95,8,7,84
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,3180,DUNLUCE,371,484,216,238,259,244,327,2577,184,548,61,79,769
Ward 3,2241,EAUX CLAIRES,181,252,98,117,183,123,128,1453,44,226,25,8,397
Ward 3,3190,ELSINORE,121,165,89,107,117,81,88,862,20,334,10,2,153
Ward 3,2260,EVANSDALE,489,560,217,236,214,334,325,1888,203,708,70,81,335
Ward 3,2410,KILKENNY,391,497,225,228,255,242,303,2185,203,753,99,111,223
Ward 3,2440,KLARVATTEN,408,424,177,200,213,180,230,2240,91,225,2,20,379
Ward 3,2450,LAGO LINDO,206,341,137,169,203,156,307,1887,76,384,21,10,97
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,3280,LORELEI,263,302,154,145,176,204,263,1484,104,472,36,34,390
Ward 3,2511,MAYLIEWAN,199,363,189,217,250,184,222,1858,71,409,26,15,203
Ward 3,2600,OZERNA,207,373,207,245,266,163,232,1891,76,415,40,17,363
Ward 3,3370,RAPPERSWILL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3,2700,SCHONSEE,167,165,76,77,93,91,75,700,22,72,6,22,146
Ward 4,2030,BANNERMAN,257,247,85,83,108,112,211,1342,117,236,56,3,197
Ward 4,2070,BELMONT,354,416,205,195,174,213,275,2328,140,514,80,16,304
Ward 4,2080,BELVEDERE,302,343,135,138,160,184,329,1844,207,645,127,35,636
Ward 4,2110,BRINTNELL,548,521,189,166,167,201,231,2338,73,129,9,30,575
Ward 4,2120,CANON RIDGE,136,142,57,52,58,68,97,1024,40,171,18,6,156
Ward 4,2130,CASSELMAN,213,225,107,100,131,81,236,1346,120,321,48,17,460
Ward 4,2145,CLAREVIEW TOWN CENTRE,195,129,62,70,390,92,155,1558,96,123,25,17,318
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,54,84,31,24,17,58,82,550,51,191,56,3,249
Ward 4,2280,FRASER,197,231,114,146,153,109,173,1559,115,176,47,27,258
Ward 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,175,212,110,79,107,94,120,1037,74,179,53,33,197
Ward 4,2340,HOLLICK-KENYON,409,481,211,216,214,178,247,2450,89,307,26,24,359
Ward 4,2350,HOMESTEADER,241,304,127,123,126,137,168,1269,115,288,30,28,327
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,170,228,110,104,113,117,150,1315,57,411,39,43,224
Ward 4,2430,KIRKNESS,252,317,137,115,144,170,160,1640,137,242,52,20,354
Ward 4,2500,MATT BERRY,203,352,181,194,221,180,223,1699,42,388,21,6,370
Ward 4,2521,MCCONACHIE AREA,95,70,31,28,27,23,30,428,6,10,3,1,145
Ward 4,2530,MCLEOD,82,159,79,94,100,74,156,968,52,475,31,15,29
Ward 4,2541,MILLER,201,276,90,89,122,109,161,1301,41,297,22,17,396
Ward 4,2590,OVERLANDERS,146,156,81,84,139,70,136,1387,83,205,37,31,308
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,17,22,8,6,5,14,16,79,1,22,3,0,377
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,4,15,8,5,5,10,13,57,3,29,0,1,325
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,32,50,23,32,29,26,40,267,4,47,0,1,54
Ward 4,2710,SIFTON PARK,147,192,68,82,71,83,154,860,73,145,65,16,333
Ward 4,2720,YORK,236,271,167,131,138,174,205,1578,96,551,59,14,216
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,133,143,59,58,82,61,179,1041,77,150,26,44,322
Ward 5,4080,CALLINGWOOD SOUTH,357,350,105,125,170,184,307,2379,275,535,104,62,635
Ward 5,4466,CAMERON HEIGHTS,137,109,28,33,21,49,55,551,5,30,2,23,82
Ward 5,4110,DECHENE,52,85,61,57,99,31,92,572,19,202,13,29,409
Ward 5,4120,DONSDALE,40,85,50,57,98,54,61,494,10,87,0,2,270
Ward 5,4140,ELMWOOD,108,143,67,81,84,64,210,956,47,365,28,9,451
Ward 5,4160,GARIEPY,78,132,52,64,93,83,141,736,21,253,5,5,225
Ward 5,4720,GLASTONBURY,487,545,201,182,223,222,348,2739,68,417,20,22,510
Ward 5,4551,GRANVILLE,33,22,10,9,8,14,10,109,1,2,1,0,3
Ward 5,4220,JAMIESON PLACE,205,298,152,196,243,134,260,1686,53,286,15,27,367
Ward 5,3270,LAURIER HEIGHTS,114,181,87,99,139,83,188,895,18,386,7,15,428
Ward 5,4270,LYMBURN,345,428,231,273,305,208,369,2723,141,421,68,40,377
Ward 5,4280,LYNNWOOD,148,196,94,98,154,83,221,1374,121,439,51,33,290
Ward 5,4360,OLESKIW,101,191,100,123,276,157,242,1137,13,496,9,38,111
Ward 5,4380,ORMSBY PLACE,307,417,247,255,276,206,325,2375,113,368,42,25,367
Ward 5,4390,PATRICIA HEIGHTS,138,134,49,47,100,56,118,758,38,162,12,8,131
Ward 5,4420,QUESNELL HEIGHTS,17,17,15,16,33,9,5,138,5,40,0,0,51
Ward 5,4430,RIO TERRACE,71,113,44,52,68,57,114,486,10,237,1,2,50
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,23,51,24,29,39,29,47,227,4,55,2,0,29
Ward 5,4461,THE HAMPTONS,1027,841,293,237,303,356,403,4556,90,208,21,64,1006
Ward 5,4560,THORNCLIFF,250,289,116,97,121,134,204,1597,101,284,37,20,253
Ward 5,4570,WEDGEWOOD HEIGHTS,45,81,63,89,129,68,91,600,13,170,1,3,117
Ward 5,4610,WESTRIDGE,61,95,31,54,100,60,103,484,9,240,6,2,82
Ward 6,1020,BOYLE STREET,169,133,37,47,217,96,268,1793,315,838,156,50,2828
Ward 6,1030,CENTRAL MCDOUGALL,196,149,40,52,274,109,268,1563,256,240,190,93,1282
Ward 6,1090,DOWNTOWN,138,31,16,28,1878,122,552,4863,259,1118,116,61,3017
Ward 6,3200,GLENORA,211,297,104,110,174,129,178,1451,30,520,11,9,290
Ward 6,3210,GROVENOR,132,138,57,71,108,77,184,1048,50,243,29,12,213
Ward 6,1140,MCCAULEY,106,97,43,74,127,50,163,934,270,441,182,69,1627
Ward 6,3300,MCQUEEN,60,88,49,61,67,47,100,468,28,261,18,10,431
Ward 6,3310,NORTH GLENORA,114,123,61,58,109,53,118,908,47,231,11,13,166
Ward 6,1150,OLIVER,267,132,60,51,1553,204,959,8254,433,2642,225,139,3661
Ward 6,1180,QUEEN MARY PARK,346,187,61,77,517,172,478,3041,336,406,141,37,1586
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,94,125,47,41,86,45,155,1041,36,177,23,2,108
Ward 6,1220,ROSSDALE,16,25,4,23,42,14,49,424,11,72,6,4,129
Ward 6,3440,WESTMOUNT,249,247,107,112,289,104,359,2388,109,469,75,45,1347
Ward 7,2010,ABBOTTSFIELD,166,212,62,67,79,88,79,526,131,81,48,18,331
Ward 7,1010,ALBERTA AVENUE,270,319,144,157,225,180,460,2223,303,618,222,54,1001
Ward 7,2020,BALWIN,249,284,165,132,154,113,202,1385,169,534,90,29,357
Ward 7,2040,BEACON HEIGHTS,108,149,84,87,55,126,186,1061,116,438,63,21,529
Ward 7,2060,BELLEVUE,44,39,19,29,37,31,53,452,21,125,8,9,72
Ward 7,2090,BERGMAN,76,77,43,63,51,58,93,672,38,218,27,1,37
Ward 7,2100,BEVERLY HEIGHTS,131,143,67,59,71,108,179,1234,93,703,74,41,297
Ward 7,1070,CROMDALE,91,75,19,31,196,36,132,831,142,189,33,35,117
Ward 7,1080,DELTON,102,102,41,51,73,86,107,816,52,209,47,32,314
Ward 7,2230,DELWOOD,170,227,115,96,108,105,183,1248,86,842,34,38,140
Ward 7,1100,EASTWOOD,202,224,93,107,102,116,239,1322,277,430,151,80,722
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,1,0,1,0,1,0,0,85
Ward 7,1130,ELMWOOD PARK,37,41,14,16,29,32,49,369,42,139,31,33,262
Ward 7,2290,GLENGARRY,154,170,78,100,108,133,155,1070,86,636,49,29,148
Ward 7,2330,HIGHLANDS,135,134,65,71,106,63,201,1162,52,421,24,30,167
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2400,KILDARE,143,166,62,65,66,65,123,954,96,597,55,10,361
Ward 7,2420,KILLARNEY,263,290,125,108,112,161,253,1619,203,434,65,12,369
Ward 7,2550,MONTROSE,181,205,87,110,76,100,129,1359,126,339,94,34,409
Ward 7,2560,NEWTON,110,116,75,72,87,105,161,1228,79,429,38,18,392
Ward 7,2580,NORTHMOUNT,143,183,93,87,103,148,207,1040,74,681,32,16,440
Ward 7,1160,PARKDALE,147,153,54,76,195,105,170,1182,160,300,95,17,551
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,279,304,136,100,83,187,132,1192,165,347,68,26,340
Ward 7,1240,VIRGINIA PARK,25,20,14,10,47,2,35,224,17,242,4,4,149
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5040,BELGRAVIA,85,138,50,49,327,34,152,744,17,314,6,13,212
Ward 8,6040,BONNIE DOON,191,212,77,83,248,97,268,1767,108,576,60,92,771
Ward 8,6061,CAPILANO,111,183,93,113,104,63,184,1126,20,498,10,18,169
Ward 8,6070,CLOVERDALE,29,49,18,15,34,22,80,427,8,99,6,4,94
Ward 8,5150,CPR WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,125,178,75,75,103,59,174,1432,62,608,38,52,1014
Ward 8,6240,FULTON PLACE,110,133,69,84,109,76,153,956,45,487,13,3,6
Ward 8,5200,GARNEAU,140,103,36,38,3393,91,328,2199,145,568,77,41,2489
Ward 8,6270,GOLD BAR,171,219,87,100,97,114,158,1240,53,505,34,25,37
Ward 8,6310,HOLYROOD,167,182,94,107,155,111,149,1530,57,463,19,10,291
Ward 8,6320,IDYLWYLDE,70,59,37,33,79,40,125,708,36,396,39,9,147
Ward 8,6350,KENILWORTH,95,118,66,87,103,66,166,946,57,502,32,10,259
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,187
Ward 8,5290,MCKERNAN,74,63,30,37,911,45,104,877,54,177,11,35,399
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,228,319,159,174,283,134,373,2262,138,1205,48,37,509
Ward 8,5330,QUEEN ALEXANDRA,92,109,50,42,716,64,208,1947,103,419,31,48,865
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,246,212,83,68,1087,133,501,3816,206,649,64,50,1869
Ward 8,6710,STRATHEARN,116,94,45,53,113,53,142,1115,80,484,20,5,302
Ward 8,6730,TERRACE HEIGHTS,102,101,56,60,87,62,117,957,76,294,53,18,349
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,28,87,25,30,275,64,81,412,14,150,4,5,1691
Ward 9,5458,ALLARD,26,13,6,4,8,10,14,130,2,11,0,1,16
Ward 9,5505,AMBLESIDE,263,131,33,37,83,110,82,1196,18,80,2,4,289
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5590,BLACKBURNE,66,112,55,43,90,51,113,622,5,285,12,5,61
Ward 9,5453,BLACKMUD CREEK,198,273,99,82,109,104,177,1173,31,195,2,65,69
Ward 9,5080,BRANDER GARDENS,160,184,89,81,176,117,143,979,48,311,15,34,98
Ward 9,5090,BROOKSIDE,104,175,99,80,105,85,147,656,28,310,13,5,109
Ward 9,5100,BULYEA HEIGHTS,131,234,136,190,353,140,270,1418,26,527,7,13,146
Ward 9,5457,CALLAGHAN,117,113,25,35,49,62,65,558,8,61,2,2,80
Ward 9,5130,CARTER CREST,74,105,50,64,129,71,91,638,8,264,4,6,220
Ward 9,5462,CHAPPELLE AREA,19,25,8,0,4,10,5,74,0,2,0,1,3
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5190,FALCONER HEIGHTS,75,170,79,90,159,74,101,685,20,409,8,7,193
Ward 9,5610,HADDOW,288,484,149,140,258,191,210,1866,48,495,14,4,195
Ward 9,5230,HENDERSON ESTATES,63,159,76,81,146,88,172,713,21,234,9,2,129
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5620,HODGSON,196,191,100,98,186,152,119,1127,42,227,5,45,166
Ward 9,5630,LEGER,150,290,114,125,183,112,135,1034,20,193,4,26,178
Ward 9,5452,MACEWAN,485,434,135,138,255,200,254,2878,82,376,15,20,357
Ward 9,5477,MACTAGGART,190,151,60,46,77,94,75,685,6,120,3,7,173
Ward 9,5476,MAGRATH HEIGHTS,263,285,105,114,157,107,139,1073,39,206,6,75,241
Ward 9,5300,OGILVIE RIDGE,30,47,38,29,81,42,89,364,2,158,0,5,116
Ward 9,5340,RAMSAY HEIGHTS,168,223,90,117,221,156,261,1368,42,470,27,7,199
Ward 9,5350,RHATIGAN RIDGE,126,242,127,135,288,152,199,1263,25,552,11,14,118
Ward 9,5451,RICHFORD,16,36,11,22,53,23,28,202,2,85,3,0,49
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5454,RUTHERFORD,860,700,246,198,286,367,428,3768,49,357,13,48,1087
Ward 9,5641,SOUTH TERWILLEGAR,803,604,187,167,328,342,344,3684,96,238,5,44,690
Ward 9,5640,TERWILLEGAR TOWNE,516,706,241,203,263,264,335,2547,60,536,11,19,926
Ward 9,5511,TWIN BROOKS,250,541,284,293,476,267,425,2536,69,785,22,32,455
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,218,158,67,66,75,97,94,1020,11,78,1,5,246
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5010,ALLENDALE,100,121,59,74,268,65,148,1213,67,260,29,28,290
Ward 10,5020,ASPEN GARDENS,70,123,72,67,120,40,100,615,13,293,6,37,82
Ward 10,5030,BEARSPAW,104,137,70,78,151,94,147,790,24,419,5,20,87
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,288,332,110,124,380,146,233,1911,176,331,44,33,460
Ward 10,5070,BLUE QUILL ESTATES,65,86,39,50,82,49,92,480,14,157,2,3,177
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5160,DUGGAN,313,385,159,152,289,179,279,1566,136,558,25,46,460
Ward 10,5170,EMPIRE PARK,269,236,87,81,472,169,245,2306,187,321,30,30,753
Ward 10,5180,ERMINESKIN,236,231,95,95,279,160,232,2046,156,844,40,39,794
