WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,CAR/TRUCK/VAN_(AS_DRIVER),CAR/TRUCK/VAN_(AS_PASSENGER),TRANSIT,WALK,BICYCLE,OTHER,NO_RESPONSE
Ward 3,3280,LORELEI,1412,73,211,18,1,28,38
Ward 3,2511,MAYLIEWAN,1809,88,137,13,5,35,8
Ward 3,2600,OZERNA,1813,83,191,1,2,32,18
Ward 3,3370,RAPPERSWILL,0,0,0,0,0,0,0
Ward 3,2700,SCHONSEE,695,39,54,0,0,6,3
Ward 4,2030,BANNERMAN,1148,73,280,24,4,22,5
Ward 4,2070,BELMONT,1931,99,461,55,6,58,9
Ward 4,2080,BELVEDERE,1489,131,476,75,6,27,4
Ward 4,2110,BRINTNELL,2130,96,315,15,5,35,3
Ward 4,2120,CANON RIDGE,917,36,151,6,1,16,0
Ward 4,2130,CASSELMAN,1250,56,260,11,6,14,2
Ward 4,2145,CLAREVIEW TOWN CENTRE,1041,74,538,45,0,29,3
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,538,15,46,0,0,2,34
Ward 4,2280,FRASER,1339,92,276,14,4,33,1
Ward 4,2311,GORMAN,0,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,843,51,255,26,1,14,0
Ward 4,2340,HOLLICK-KENYON,2327,74,247,14,2,49,8
Ward 4,2350,HOMESTEADER,1114,52,212,44,1,25,17
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,1164,47,220,20,4,53,0
Ward 4,2430,KIRKNESS,1387,60,333,12,1,23,4
Ward 4,2500,MATT BERRY,1616,54,195,11,1,20,31
Ward 4,2521,MCCONACHIE AREA,369,17,57,0,0,10,6
Ward 4,2530,MCLEOD,925,43,136,6,8,9,12
Ward 4,2541,MILLER,1158,56,218,7,0,22,18
Ward 4,2590,OVERLANDERS,1170,78,261,11,2,20,12
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,83,0,1,8,0,3,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,59,2,2,6,0,2,0
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,279,5,11,9,0,4,0
Ward 4,2710,SIFTON PARK,545,147,229,63,0,33,13
Ward 4,2720,YORK,1264,111,316,58,5,36,7
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,916,23,252,32,4,15,22
Ward 5,4080,CALLINGWOOD SOUTH,1863,197,495,103,5,43,42
Ward 5,4466,CAMERON HEIGHTS,549,18,22,0,1,39,0
Ward 5,4110,DECHENE,628,14,33,4,2,3,9
Ward 5,4120,DONSDALE,490,34,8,1,0,22,2
Ward 5,4140,ELMWOOD,826,49,186,74,3,24,13
Ward 5,4160,GARIEPY,733,27,47,9,1,54,11
Ward 5,4720,GLASTONBURY,2708,75,227,22,6,57,14
Ward 5,4551,GRANVILLE,101,4,11,0,0,3,0
Ward 5,4220,JAMIESON PLACE,1668,48,148,20,4,42,43
Ward 5,3270,LAURIER HEIGHTS,915,21,79,12,25,44,2
Ward 5,4270,LYMBURN,2472,127,429,42,5,47,10
Ward 5,4280,LYNNWOOD,1061,70,396,48,9,38,6
Ward 5,4360,OLESKIW,1277,25,40,4,7,61,3
Ward 5,4380,ORMSBY PLACE,2165,120,327,42,7,61,3
Ward 5,4390,PATRICIA HEIGHTS,685,34,135,14,8,3,5
Ward 5,4420,QUESNELL HEIGHTS,129,2,7,4,1,0,0
Ward 5,4430,RIO TERRACE,495,10,52,5,5,35,0
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,250,6,0,1,0,17,0
Ward 5,4461,THE HAMPTONS,4372,115,374,47,5,81,29
Ward 5,4560,THORNCLIFF,1143,81,422,117,1,48,9
Ward 5,4570,WEDGEWOOD HEIGHTS,633,6,18,2,0,10,25
Ward 5,4610,WESTRIDGE,509,11,25,6,3,28,7
Ward 6,1020,BOYLE STREET,1264,87,581,123,14,38,4
Ward 6,1030,CENTRAL MCDOUGALL,834,110,597,303,15,25,40
Ward 6,1090,DOWNTOWN,2277,83,1142,1809,44,59,62
Ward 6,3200,GLENORA,1316,39,145,30,32,58,18
Ward 6,3210,GROVENOR,987,51,133,31,20,21,1
Ward 6,1140,MCCAULEY,616,48,311,116,16,17,42
Ward 6,3300,MCQUEEN,419,18,62,31,8,32,8
Ward 6,3310,NORTH GLENORA,786,48,123,41,24,16,1
Ward 6,1150,OLIVER,4852,283,2256,1568,161,148,84
Ward 6,1180,QUEEN MARY PARK,2056,153,887,321,46,62,31
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,823,32,153,140,37,3,10
Ward 6,1220,ROSSDALE,307,17,64,82,3,3,1
Ward 6,3440,WESTMOUNT,1945,83,504,150,62,43,5
Ward 7,2010,ABBOTTSFIELD,427,43,130,15,3,5,0
Ward 7,1010,ALBERTA AVENUE,1836,154,527,82,39,46,53
Ward 7,2020,BALWIN,1218,88,239,33,2,16,20
Ward 7,2040,BEACON HEIGHTS,952,64,175,53,4,19,1
Ward 7,2060,BELLEVUE,387,16,78,9,8,16,0
Ward 7,2090,BERGMAN,674,25,60,0,0,0,7
Ward 7,2100,BEVERLY HEIGHTS,1113,54,190,38,16,36,7
Ward 7,1070,CROMDALE,570,22,338,34,8,22,4
Ward 7,1080,DELTON,706,51,154,12,7,9,16
Ward 7,2230,DELWOOD,1142,63,183,25,4,34,18
Ward 7,1100,EASTWOOD,1006,87,423,68,23,30,4
Ward 7,1120,EDMONTON NORTHLANDS,1,0,0,0,0,0,0
Ward 7,1130,ELMWOOD PARK,324,30,66,15,3,10,3
Ward 7,2290,GLENGARRY,915,67,175,56,3,32,6
Ward 7,2330,HIGHLANDS,1067,47,180,24,13,52,10
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0
Ward 7,2400,KILDARE,787,59,164,22,4,25,26
Ward 7,2420,KILLARNEY,1305,102,375,57,11,33,1
Ward 7,2550,MONTROSE,1122,63,258,37,11,22,9
Ward 7,2560,NEWTON,1064,59,225,26,8,17,8
Ward 7,2580,NORTHMOUNT,995,51,165,36,3,10,3
Ward 7,1160,PARKDALE,922,50,326,40,8,22,1
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,1010,68,204,43,2,14,9
Ward 7,1240,VIRGINIA PARK,191,11,43,7,7,4,0
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0
Ward 8,5040,BELGRAVIA,499,12,207,132,29,30,0
Ward 8,6040,BONNIE DOON,1446,80,382,126,35,35,23
Ward 8,6061,CAPILANO,1118,33,97,30,6,33,11
Ward 8,6070,CLOVERDALE,408,22,37,31,8,3,2
Ward 8,5150,CPR WEST,0,0,0,0,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1335,28,235,27,14,18,1
Ward 8,6240,FULTON PLACE,928,22,114,27,5,16,0
Ward 8,5200,GARNEAU,1144,38,544,708,73,42,19
Ward 8,6270,GOLD BAR,1144,38,154,45,8,34,0
Ward 8,6310,HOLYROOD,1355,50,213,28,22,21,0
Ward 8,6320,IDYLWYLDE,579,31,155,28,11,21,17
Ward 8,6350,KENILWORTH,891,47,110,29,16,25,4
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0
Ward 8,5290,MCKERNAN,529,24,254,141,53,14,1
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,2071,80,319,99,25,40,38
Ward 8,5330,QUEEN ALEXANDRA,1222,49,509,291,82,46,4
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,2517,129,889,548,210,61,13
Ward 8,6710,STRATHEARN,901,67,193,37,27,37,0
Ward 8,6730,TERRACE HEIGHTS,759,57,167,78,15,15,1
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,264,5,53,153,13,10,0
Ward 9,5458,ALLARD,108,9,25,0,0,2,1
Ward 9,5505,AMBLESIDE,1127,21,64,31,0,37,2
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0
Ward 9,5590,BLACKBURNE,642,16,56,6,2,17,1
Ward 9,5453,BLACKMUD CREEK,1201,47,124,7,3,31,2
Ward 9,5080,BRANDER GARDENS,910,29,153,8,6,14,36
Ward 9,5090,BROOKSIDE,647,22,96,20,18,5,0
Ward 9,5100,BULYEA HEIGHTS,1502,25,91,10,6,61,6
Ward 9,5457,CALLAGHAN,495,33,69,2,0,25,1
Ward 9,5130,CARTER CREST,664,7,33,3,0,28,0
Ward 9,5462,CHAPPELLE AREA,68,4,8,0,0,0,0
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0
Ward 9,5190,FALCONER HEIGHTS,670,19,70,21,2,1,10
Ward 9,5610,HADDOW,1802,64,146,14,6,38,10
Ward 9,5230,HENDERSON ESTATES,736,21,52,1,1,58,18
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0
Ward 9,5620,HODGSON,1061,42,133,7,1,38,9
Ward 9,5630,LEGER,1003,23,124,8,1,26,10
Ward 9,5452,MACEWAN,2587,87,374,36,5,56,7
Ward 9,5477,MACTAGGART,678,24,33,1,1,26,4
Ward 9,5476,MAGRATH HEIGHTS,1113,23,92,11,1,44,3
Ward 9,5300,OGILVIE RIDGE,412,12,20,1,3,9,1
Ward 9,5340,RAMSAY HEIGHTS,1292,55,192,16,12,67,2
Ward 9,5350,RHATIGAN RIDGE,1227,23,119,18,6,28,55
Ward 9,5451,RICHFORD,202,6,16,1,1,4,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0
Ward 9,5454,RUTHERFORD,3432,128,493,27,6,146,12
Ward 9,5641,SOUTH TERWILLEGAR,3402,128,404,15,3,104,16
Ward 9,5640,TERWILLEGAR TOWNE,2381,84,276,27,8,111,14
Ward 9,5511,TWIN BROOKS,2498,47,344,10,10,82,2
Ward 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0
Ward 9,5570,WINDERMERE,994,41,53,9,0,20,2
Ward 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0
Ward 10,5010,ALLENDALE,928,60,243,64,33,45,16
Ward 10,5020,ASPEN GARDENS,602,8,76,0,1,1,64
Ward 10,5030,BEARSPAW,792,25,98,7,4,17,14
Ward 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0
Ward 10,5060,BLUE QUILL,1506,46,518,40,8,41,18
Ward 10,5070,BLUE QUILL ESTATES,412,16,110,0,3,33,1
Ward 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0
Ward 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0
Ward 10,5160,DUGGAN,1306,65,386,63,16,31,24
Ward 10,5170,EMPIRE PARK,1471,142,678,219,22,47,2
Ward 10,5180,ERMINESKIN,1488,128,536,82,13,56,14
Ward 10,5210,GRANDVIEW HEIGHTS,305,5,44,6,16,15,0
Ward 10,5220,GREENFIELD,1218,40,214,19,16,45,58
Ward 10,5250,KEHEEWIN,1049,14,190,12,3,26,27
Ward 10,5260,LANSDOWNE,392,12,96,14,14,10,1
Ward 10,5270,LENDRUM PLACE,520,30,178,36,23,29,6
Ward 10,5280,MALMO PLAINS,678,30,252,22,21,30,3
Ward 10,5310,PARKALLEN,743,23,276,88,51,11,1
Ward 10,5320,PLEASANTVIEW,1055,79,372,91,29,37,9
Ward 10,5360,RIDEAU PARK,522,29,139,37,8,15,11
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,1038,49,325,27,15,52,38
Ward 10,5460,SKYRATTLER,777,15,185,17,4,25,4
Ward 10,5470,STEINHAUER,606,17,100,12,11,20,0
Ward 10,5490,SWEET GRASS,906,30,180,14,5,15,19
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,408,12,65,4,1,16,5
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0
Ward 11,6010,ARGYLL,367,14,39,12,7,11,0
Ward 11,6020,AVONMORE,779,29,128,21,21,26,11
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0
Ward 11,6200,EKOTA,964,62,148,29,4,16,7
Ward 11,6250,GAINER INDUSTRIAL,119,2,11,2,1,0,0
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6280,GREENVIEW,1262,57,147,15,5,29,2
Ward 11,6290,HAZELDEAN,1145,71,203,61,34,46,2
Ward 11,6300,HILLVIEW,1274,66,179,43,7,17,2
Ward 11,6340,KAMEYOSEK,786,57,212,43,3,24,10
Ward 11,6360,KING EDWARD PARK,1525,75,355,76,58,53,10
Ward 11,6400,LEE RIDGE,975,29,291,19,1,16,0
Ward 11,6410,MAPLE RIDGE,681,79,62,12,6,4,3
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,29,2,1,3,0,0,0
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6450,MENISA,1146,76,147,14,2,34,2
Ward 11,6460,MEYOKUMIN,1027,63,157,36,5,21,6
Ward 11,6470,MEYONOHK,1120,70,205,27,8,27,5
Ward 11,6480,MICHAELS PARK,894,37,165,20,5,21,1
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,317,26,83,17,0,0,2
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,1117,56,272,30,8,25,0
Ward 11,6610,RITCHIE,1441,63,461,107,63,64,4
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6670,SAKAW,1684,109,244,25,3,42,3
Ward 11,6680,SATOO,1229,81,156,25,2,27,1
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0
Ward 11,6720,TAWA,575,36,107,57,4,16,0
Ward 11,6750,TIPASKAN,976,86,251,28,1,29,17
Ward 11,6760,TWEDDLE PLACE,1078,58,302,34,1,13,1
Ward 11,6780,WEIR INDUSTRIAL,29,2,2,5,0,1,0
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0
Ward 12,6030,BISSET,1435,109,248,21,5,40,20
Ward 12,6661,CHARLESWORTH,1460,36,150,10,5,9,0
Ward 12,6140,CRAWFORD PLAINS,1898,80,183,15,7,31,9
Ward 12,6150,DALY GROVE,1532,108,162,12,3,25,4
Ward 12,6211,ELLERSLIE,2443,106,217,34,3,35,6
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0
Ward 12,6330,JACKSON HEIGHTS,1595,77,119,6,1,38,1
Ward 12,6370,KINISKI GARDENS,2951,159,268,27,6,46,0
Ward 12,6390,LARKSPUR,2252,98,181,24,3,59,5
Ward 12,6444,LAUREL,734,74,80,4,0,2,5
Ward 12,6441,MAPLE,0,0,0,0,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0,0
Ward 12,6530,MINCHAU,1289,96,157,14,5,28,1
Ward 12,6580,POLLARD MEADOWS,1779,99,415,30,2,26,11
Ward 12,6660,RURAL SOUTH EAST,82,3,3,8,0,0,0
Ward 12,6442,SILVER BERRY,3367,201,294,24,5,59,18
Ward 12,6213,SUMMERSIDE,3180,140,265,13,9,40,72
Ward 12,6443,TAMARACK,964,47,89,10,0,22,14
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0,0,0,0,0
Ward 12,6662,WALKER,946,26,90,1,0,5,1
Ward 12,6770,WEINLOS,1355,91,187,31,2,22,7
Ward 12,6790,WILD ROSE,3350,182,238,19,2,55,16
