WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,LENGTH_OF_RESIDENCE,OWNED,RENTED,NO_RESPONSE
Ward 1,4130,EDMISTON INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,No Response,0,0,0
Ward 1,4180,GLENWOOD,5 years or more,1433,476,36
Ward 1,4180,GLENWOOD,No 3 years to less than 5 years,247,395,7
Ward 1,4180,GLENWOOD,1 year to less than 3 years,225,533,4
Ward 1,4180,GLENWOOD,Less than 1 year,159,697,11
Ward 1,4180,GLENWOOD,Child less than 1 year,15,45,1
Ward 1,4180,GLENWOOD,No Response,181,291,64
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,5 years or more,0,0,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,No Response,0,0,0
Ward 1,4473,HAWKS RIDGE,5 years or more,0,0,0
Ward 1,4473,HAWKS RIDGE,No 3 years to less than 5 years,0,0,0
Ward 1,4473,HAWKS RIDGE,1 year to less than 3 years,0,0,0
Ward 1,4473,HAWKS RIDGE,Less than 1 year,0,0,0
Ward 1,4473,HAWKS RIDGE,Child less than 1 year,0,0,0
Ward 1,4473,HAWKS RIDGE,No Response,0,0,0
Ward 1,4200,HIGH PARK,5 years or more,709,59,14
Ward 1,4200,HIGH PARK,No 3 years to less than 5 years,111,61,7
Ward 1,4200,HIGH PARK,1 year to less than 3 years,69,53,5
Ward 1,4200,HIGH PARK,Less than 1 year,32,61,2
Ward 1,4200,HIGH PARK,Child less than 1 year,6,3,1
Ward 1,4200,HIGH PARK,No Response,82,26,67
Ward 1,4230,JASPER PARK,5 years or more,328,60,5
Ward 1,4230,JASPER PARK,No 3 years to less than 5 years,54,28,0
Ward 1,4230,JASPER PARK,1 year to less than 3 years,41,61,1
Ward 1,4230,JASPER PARK,Less than 1 year,21,63,0
Ward 1,4230,JASPER PARK,Child less than 1 year,8,3,0
Ward 1,4230,JASPER PARK,No Response,272,383,504
Ward 1,4475,KINOKAMAU PLAINS AREA,5 years or more,37,0,0
Ward 1,4475,KINOKAMAU PLAINS AREA,No 3 years to less than 5 years,0,3,5
Ward 1,4475,KINOKAMAU PLAINS AREA,1 year to less than 3 years,1,2,0
Ward 1,4475,KINOKAMAU PLAINS AREA,Less than 1 year,0,0,0
Ward 1,4475,KINOKAMAU PLAINS AREA,Child less than 1 year,0,0,0
Ward 1,4475,KINOKAMAU PLAINS AREA,No Response,24,10,24
Ward 1,4240,LA PERLE,5 years or more,1968,359,37
Ward 1,4240,LA PERLE,No 3 years to less than 5 years,344,284,5
Ward 1,4240,LA PERLE,1 year to less than 3 years,242,392,10
Ward 1,4240,LA PERLE,Less than 1 year,198,464,10
Ward 1,4240,LA PERLE,Child less than 1 year,24,17,0
Ward 1,4240,LA PERLE,No Response,261,159,332
Ward 1,4485,LEWIS FARMS INDUSTRIAL,5 years or more,31,8,1
Ward 1,4485,LEWIS FARMS INDUSTRIAL,No 3 years to less than 5 years,0,1,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,1 year to less than 3 years,0,1,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,Less than 1 year,4,0,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,No Response,9,2,18
Ward 1,4290,MAYFIELD,5 years or more,958,103,15
Ward 1,4290,MAYFIELD,No 3 years to less than 5 years,211,65,6
Ward 1,4290,MAYFIELD,1 year to less than 3 years,121,112,10
Ward 1,4290,MAYFIELD,Less than 1 year,85,99,0
Ward 1,4290,MAYFIELD,Child less than 1 year,15,6,1
Ward 1,4290,MAYFIELD,No Response,66,14,79
Ward 1,4300,MCNAMARA INDUSTRIAL,5 years or more,0,0,0
Ward 1,4300,MCNAMARA INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4300,MCNAMARA INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4300,MCNAMARA INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4300,MCNAMARA INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4300,MCNAMARA INDUSTRIAL,No Response,0,0,0
Ward 1,4310,MEADOWLARK PARK,5 years or more,1285,71,35
Ward 1,4310,MEADOWLARK PARK,No 3 years to less than 5 years,178,45,3
Ward 1,4310,MEADOWLARK PARK,1 year to less than 3 years,150,72,6
Ward 1,4310,MEADOWLARK PARK,Less than 1 year,91,104,1
Ward 1,4310,MEADOWLARK PARK,Child less than 1 year,18,1,1
Ward 1,4310,MEADOWLARK PARK,No Response,384,48,105
Ward 1,4340,MORIN INDUSTRIAL,5 years or more,0,0,0
Ward 1,4340,MORIN INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4340,MORIN INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4340,MORIN INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4340,MORIN INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4340,MORIN INDUSTRIAL,No Response,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,5 years or more,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,No Response,0,0,0
Ward 1,3330,PARKVIEW,5 years or more,2024,37,20
Ward 1,3330,PARKVIEW,No 3 years to less than 5 years,367,66,0
Ward 1,3330,PARKVIEW,1 year to less than 3 years,214,72,2
Ward 1,3330,PARKVIEW,Less than 1 year,168,84,0
Ward 1,3330,PARKVIEW,Child less than 1 year,29,5,0
Ward 1,3330,PARKVIEW,No Response,165,18,63
Ward 1,4400,PLACE LARUE,5 years or more,0,0,0
Ward 1,4400,PLACE LARUE,No 3 years to less than 5 years,0,0,0
Ward 1,4400,PLACE LARUE,1 year to less than 3 years,0,0,0
Ward 1,4400,PLACE LARUE,Less than 1 year,0,0,0
Ward 1,4400,PLACE LARUE,Child less than 1 year,0,0,0
Ward 1,4400,PLACE LARUE,No Response,0,0,0
Ward 1,4710,POTTER GREENS,5 years or more,1062,2,4
Ward 1,4710,POTTER GREENS,No 3 years to less than 5 years,211,0,0
Ward 1,4710,POTTER GREENS,1 year to less than 3 years,91,16,0
Ward 1,4710,POTTER GREENS,Less than 1 year,75,5,0
Ward 1,4710,POTTER GREENS,Child less than 1 year,8,0,0
Ward 1,4710,POTTER GREENS,No Response,31,0,15
Ward 1,4410,POUNDMAKER INDUSTRIAL,5 years or more,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,No Response,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,5 years or more,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,No 3 years to less than 5 years,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,1 year to less than 3 years,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,Less than 1 year,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,Child less than 1 year,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,No Response,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,5 years or more,72,5,2
Ward 1,4470,RURAL WEST BIG LAKE,No 3 years to less than 5 years,3,1,0
Ward 1,4470,RURAL WEST BIG LAKE,1 year to less than 3 years,3,0,0
Ward 1,4470,RURAL WEST BIG LAKE,Less than 1 year,2,0,0
Ward 1,4470,RURAL WEST BIG LAKE,Child less than 1 year,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,No Response,33,5,26
Ward 1,4480,RURAL WEST LEWIS FARMS,5 years or more,0,0,0
Ward 1,4480,RURAL WEST LEWIS FARMS,No 3 years to less than 5 years,0,0,0
Ward 1,4480,RURAL WEST LEWIS FARMS,1 year to less than 3 years,0,0,0
Ward 1,4480,RURAL WEST LEWIS FARMS,Less than 1 year,0,0,0
Ward 1,4480,RURAL WEST LEWIS FARMS,Child less than 1 year,0,0,0
Ward 1,4480,RURAL WEST LEWIS FARMS,No Response,0,0,0
Ward 1,4487,SECORD,5 years or more,9,1,0
Ward 1,4487,SECORD,No 3 years to less than 5 years,195,0,2
Ward 1,4487,SECORD,1 year to less than 3 years,272,6,2
Ward 1,4487,SECORD,Less than 1 year,195,5,7
Ward 1,4487,SECORD,Child less than 1 year,26,1,1
Ward 1,4487,SECORD,No Response,114,6,72
Ward 1,4490,SHEFFIELD INDUSTRIAL,5 years or more,0,0,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,No Response,0,0,0
Ward 1,4500,SHERWOOD,5 years or more,368,116,8
Ward 1,4500,SHERWOOD,No 3 years to less than 5 years,57,60,0
Ward 1,4500,SHERWOOD,1 year to less than 3 years,41,76,5
Ward 1,4500,SHERWOOD,Less than 1 year,36,92,0
Ward 1,4500,SHERWOOD,Child less than 1 year,0,4,1
Ward 1,4500,SHERWOOD,No Response,152,190,47
Ward 1,4486,STEWART GREENS,5 years or more,0,0,0
Ward 1,4486,STEWART GREENS,No 3 years to less than 5 years,0,0,0
Ward 1,4486,STEWART GREENS,1 year to less than 3 years,0,0,0
Ward 1,4486,STEWART GREENS,Less than 1 year,0,0,0
Ward 1,4486,STEWART GREENS,Child less than 1 year,0,0,0
Ward 1,4486,STEWART GREENS,No Response,0,0,0
Ward 1,4510,STONE INDUSTRIAL,5 years or more,0,0,0
Ward 1,4510,STONE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4510,STONE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4510,STONE INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4510,STONE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4510,STONE INDUSTRIAL,No Response,0,0,0
Ward 1,4730,SUDER GREENS,5 years or more,790,8,12
Ward 1,4730,SUDER GREENS,No 3 years to less than 5 years,775,33,3
Ward 1,4730,SUDER GREENS,1 year to less than 3 years,455,52,12
Ward 1,4730,SUDER GREENS,Less than 1 year,258,69,0
Ward 1,4730,SUDER GREENS,Child less than 1 year,38,6,1
Ward 1,4730,SUDER GREENS,No Response,173,18,102
Ward 1,4520,SUMMERLEA,5 years or more,753,83,8
Ward 1,4520,SUMMERLEA,No 3 years to less than 5 years,129,95,5
Ward 1,4520,SUMMERLEA,1 year to less than 3 years,122,195,0
Ward 1,4520,SUMMERLEA,Less than 1 year,72,245,4
Ward 1,4520,SUMMERLEA,Child less than 1 year,4,10,0
Ward 1,4520,SUMMERLEA,No Response,58,39,219
Ward 1,4530,SUNWAPTA INDUSTRIAL,5 years or more,0,0,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3010,ATHLONE,Less than 1 year,90,209,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,No Response,0,0,0
Ward 1,4540,TERRA LOSA,5 years or more,846,84,6
Ward 1,4540,TERRA LOSA,No 3 years to less than 5 years,258,80,3
Ward 1,4540,TERRA LOSA,1 year to less than 3 years,171,114,5
Ward 1,4540,TERRA LOSA,Less than 1 year,116,149,6
Ward 1,4540,TERRA LOSA,Child less than 1 year,7,5,0
Ward 1,4540,TERRA LOSA,No Response,104,144,90
Ward 1,4471,TRUMPETER AREA,5 years or more,0,0,0
Ward 1,4471,TRUMPETER AREA,No 3 years to less than 5 years,0,0,0
Ward 1,4471,TRUMPETER AREA,1 year to less than 3 years,25,7,0
Ward 1,4471,TRUMPETER AREA,Less than 1 year,62,1,2
Ward 1,4471,TRUMPETER AREA,Child less than 1 year,1,0,0
Ward 1,4471,TRUMPETER AREA,No Response,29,0,32
Ward 1,4740,WEBBER GREENS,5 years or more,9,0,0
Ward 1,4740,WEBBER GREENS,No 3 years to less than 5 years,8,0,0
Ward 1,4740,WEBBER GREENS,1 year to less than 3 years,210,6,0
Ward 1,4740,WEBBER GREENS,Less than 1 year,271,9,0
Ward 1,4740,WEBBER GREENS,Child less than 1 year,12,0,0
Ward 1,4740,WEBBER GREENS,No Response,14,0,10
Ward 1,4580,WEST JASPER PLACE,5 years or more,615,312,12
Ward 1,4580,WEST JASPER PLACE,No 3 years to less than 5 years,84,198,8
Ward 1,4580,WEST JASPER PLACE,1 year to less than 3 years,55,352,8
Ward 1,4580,WEST JASPER PLACE,Less than 1 year,49,489,4
Ward 1,4580,WEST JASPER PLACE,Child less than 1 year,3,16,0
Ward 1,4580,WEST JASPER PLACE,No Response,199,398,134
Ward 1,4590,WEST MEADOWLARK PARK,5 years or more,1068,129,5
Ward 1,4590,WEST MEADOWLARK PARK,No 3 years to less than 5 years,189,146,6
Ward 1,4590,WEST MEADOWLARK PARK,1 year to less than 3 years,131,284,13
Ward 1,4590,WEST MEADOWLARK PARK,Less than 1 year,85,315,19
Ward 1,4590,WEST MEADOWLARK PARK,Child less than 1 year,18,19,0
Ward 1,4590,WEST MEADOWLARK PARK,No Response,167,173,173
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,5 years or more,0,0,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,No Response,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,5 years or more,1065,21,9
Ward 1,4620,WESTVIEW VILLAGE,No 3 years to less than 5 years,327,17,0
Ward 1,4620,WESTVIEW VILLAGE,1 year to less than 3 years,224,56,1
Ward 1,4620,WESTVIEW VILLAGE,Less than 1 year,152,56,3
Ward 1,4620,WESTVIEW VILLAGE,Child less than 1 year,14,1,0
Ward 1,4620,WESTVIEW VILLAGE,No Response,240,11,45
Ward 1,4630,WHITE INDUSTRIAL,5 years or more,0,0,0
Ward 1,4630,WHITE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4630,WHITE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4630,WHITE INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4630,WHITE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4630,WHITE INDUSTRIAL,No Response,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,5 years or more,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,No Response,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,5 years or more,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,No 3 years to less than 5 years,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,1 year to less than 3 years,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,Less than 1 year,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,Child less than 1 year,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,No Response,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,5 years or more,1,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,No 3 years to less than 5 years,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,1 year to less than 3 years,0,4,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,Less than 1 year,1,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,Child less than 1 year,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,No Response,3,0,8
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,5 years or more,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,Less than 1 year,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,Child less than 1 year,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,No Response,0,0,0
Ward 2,3460,ALBANY,5 years or more,0,0,0
Ward 2,3460,ALBANY,No 3 years to less than 5 years,0,0,0
Ward 2,3460,ALBANY,1 year to less than 3 years,0,0,0
Ward 2,3460,ALBANY,Less than 1 year,0,0,0
Ward 2,3460,ALBANY,Child less than 1 year,0,0,0
Ward 2,3460,ALBANY,No Response,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,5 years or more,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,No 3 years to less than 5 years,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,1 year to less than 3 years,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,Less than 1 year,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,Child less than 1 year,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,No Response,0,0,0
Ward 2,3010,ATHLONE,5 years or more,1604,172,23
Ward 2,3010,ATHLONE,No 3 years to less than 5 years,226,104,2
Ward 2,3010,ATHLONE,1 year to less than 3 years,180,195,6
Ward 2,3010,ATHLONE,Child less than 1 year,18,7,0
Ward 2,3010,ATHLONE,No Response,104,64,94
Ward 2,3020,BARANOW,5 years or more,166,28,4
Ward 2,3020,BARANOW,No 3 years to less than 5 years,112,73,6
Ward 2,3020,BARANOW,1 year to less than 3 years,130,110,8
Ward 2,3020,BARANOW,Less than 1 year,89,131,2
Ward 2,3020,BARANOW,Child less than 1 year,3,6,0
Ward 2,3020,BARANOW,No Response,44,100,125
Ward 2,4050,BONAVENTURE INDUSTRIAL,5 years or more,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,No Response,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,5 years or more,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,No Response,0,0,0
Ward 2,3060,CAERNARVON,5 years or more,1875,301,9
Ward 2,3060,CAERNARVON,No 3 years to less than 5 years,350,268,1
Ward 2,3060,CAERNARVON,1 year to less than 3 years,176,273,6
Ward 2,3060,CAERNARVON,Less than 1 year,149,391,1
Ward 2,3060,CAERNARVON,Child less than 1 year,28,22,0
Ward 2,3060,CAERNARVON,No Response,106,102,144
Ward 2,3070,CALDER,5 years or more,1359,376,10
Ward 2,3070,CALDER,No 3 years to less than 5 years,263,296,7
Ward 2,3070,CALDER,1 year to less than 3 years,187,413,9
Ward 2,3070,CALDER,Less than 1 year,145,474,16
Ward 2,3070,CALDER,Child less than 1 year,18,25,0
Ward 2,3070,CALDER,No Response,120,203,73
Ward 2,3090,CARLISLE,5 years or more,1567,347,14
Ward 2,3090,CARLISLE,No 3 years to less than 5 years,221,209,9
Ward 2,3090,CARLISLE,1 year to less than 3 years,171,283,13
Ward 2,3090,CARLISLE,Less than 1 year,125,400,8
Ward 2,3090,CARLISLE,Child less than 1 year,19,24,0
Ward 2,3090,CARLISLE,No Response,200,184,49
Ward 2,3470,CARLTON,5 years or more,1013,24,3
Ward 2,3470,CARLTON,No 3 years to less than 5 years,568,30,6
Ward 2,3470,CARLTON,1 year to less than 3 years,597,75,1
Ward 2,3470,CARLTON,Less than 1 year,193,55,0
Ward 2,3470,CARLTON,Child less than 1 year,36,3,0
Ward 2,3470,CARLTON,No Response,77,11,45
Ward 2,3150,CUMBERLAND,5 years or more,2994,90,33
Ward 2,3150,CUMBERLAND,No 3 years to less than 5 years,981,131,13
Ward 2,3150,CUMBERLAND,1 year to less than 3 years,551,258,10
Ward 2,3150,CUMBERLAND,Less than 1 year,264,236,1
Ward 2,3150,CUMBERLAND,Child less than 1 year,79,21,2
Ward 2,3150,CUMBERLAND,No Response,334,135,275
Ward 2,3160,DOMINION INDUSTRIAL,5 years or more,0,0,0
Ward 2,3160,DOMINION INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3160,DOMINION INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3160,DOMINION INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3160,DOMINION INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3160,DOMINION INDUSTRIAL,No Response,0,0,0
Ward 2,3170,DOVERCOURT,5 years or more,972,138,10
Ward 2,3170,DOVERCOURT,No 3 years to less than 5 years,167,93,0
Ward 2,3170,DOVERCOURT,1 year to less than 3 years,123,118,0
